adjudication_status,annotator_id,candidate_confidence,candidate_event_chain_stage,candidate_evidence_ids,candidate_id,candidate_opinion,candidate_rationale,candidate_sentiment,candidate_stakeholder,chain_confidence,edit_reason,event_id,event_name,evidence_ids,evidence_quotes,evidence_texts,exclusion_reason,gold_event_chain_order,gold_event_chain_stage,gold_evidence_ids,gold_notes,gold_opinion,gold_rationale,gold_sentiment,gold_stakeholder,gold_support_label,human_decision,issue_flags,missing_stages,notes,opinion,rationale,review_status,reviewer_id,sentiment,source_type,stakeholder,support_label,tuple_id,verification_label,verification_rationale,verification_score
,,0.9,conflict,ev-00062,E002_SOA_001,加装电梯影响采光，补偿方案不合理,低层业主钟阿姨认为影响采光，不满补偿方案，多次阻挠施工,negative,低层住户,0.4857,,E002,某区老旧小区加装电梯费用分摊争议,ev-00062,钟阿姨为低层业主之一，其与女儿刘女士认为，电梯加装工程影响其采光，高层业主并未与其协商好补偿方案;遂采取多种方式阻挠加装电梯,低层业主多次阻挠加装电梯施工被起诉 【发布时间：2023-09-20 17:10:06】 【稿件来源：】 【作者：】 【关闭】 住宅楼加装电梯影响采光 低层业主不满补偿方案 三番四次阻挠施工 后被施工单位诉至法院 【基本案情】 2018年11月，住建部门对涉案住宅楼核发《建设工程规划许可证》，同意加装电梯。 钟阿姨为低层业主之一，其与女儿刘女士认为，电梯加装工程影响其采光，高层业主并未与其协商好补偿方案，遂采取多种方式阻挠加装电梯，亦与高层业主发生多次诉讼。 2021年3月，业主张先生受多数住户委托，与某公司签订了...,not_final_human_decision,,conflict,ev-00062,,加装电梯影响采光，补偿方案不合理,低层业主钟阿姨认为影响采光，不满补偿方案，多次阻挠施工,negative,低层住户,supported,need_review,no_issue,diffusion;response;follow_up,,加装电梯影响采光，补偿方案不合理,低层业主钟阿姨认为影响采光，不满补偿方案，多次阻挠施工,unreviewed,,negative,system_candidate,低层住户,supported,E002_SOA_001,supported,证据中明确提到低层业主钟阿姨认为电梯加装影响采光、补偿方案不合理，且多次阻挠施工，完全支持候选元组。,1.0
,,0.85,conflict,ev-00066,E002_SOA_002,支持依法加装电梯，请求停止妨害行为,业主张先生委托施工，高层业主起诉低层业主排除妨害,neutral,高层住户,0.4857,,E002,某区老旧小区加装电梯费用分摊争议,ev-00066,徐某等业主系依据合法有效的既有住宅增设电梯开工备案通知单进行施工，人民法院判决范某停止对无锡市某花园小区某号楼加装电梯工程的阻挠行为。,最高人民法院发布老旧小区既有住宅加装电梯典型案例 【发布时间：2023-12-27 17:18:28】 【稿件来源：最高人民法院】 【作者：广州中院研究室】 【关闭】 依法加装电梯的业主有权请求相邻楼栋业主停止妨害加装电梯的行为 ——徐某等六人诉范某排除妨害纠纷案 一、基本案情 江苏省无锡市某花园小区某号楼某单元全体业主于2019年一致签字同意本单元增设电梯，于小区主要出入口及单元楼道张贴意见征集单、公示、承诺及图纸等相关材料，公示期间未收到异议。随后该增设电梯项目取得了主管部门的审批手续，于2020 年4月正式开...,not_final_human_decision,,conflict,ev-00066,verification_rationale: 证据支持'请求停止妨害行为'，但未明确提及'高层住户'，且'业主张先生委托施工'在证据中无对应，因此部分支持。; issue_flags: stakeholder_not_supported;rationale_not_supported,支持依法加装电梯，请求停止妨害行为,业主张先生委托施工，高层业主起诉低层业主排除妨害,neutral,高层住户,partially_supported,need_review,stakeholder_not_supported;rationale_not_supported,diffusion;response;follow_up,,支持依法加装电梯，请求停止妨害行为,业主张先生委托施工，高层业主起诉低层业主排除妨害,unreviewed,,neutral,system_candidate,高层住户,partially_supported,E002_SOA_002,partially_supported,证据支持'请求停止妨害行为'，但未明确提及'高层住户'，且'业主张先生委托施工'在证据中无对应，因此部分支持。,0.4
,,0.9,trigger,ev-00072,E002_SOA_003,发布典型案例支持依法加装电梯,最高人民法院与住房城乡建设部联合发布典型案例并答记者问,neutral,监管部门,0.4857,,E002,某区老旧小区加装电梯费用分摊争议,ev-00072,2023年11月8日上午，最高人民法院、住房城乡建设部联合发布老旧小区既有住宅加装电梯典型案例并回答记者提问。,最高人民法院 住房城乡建设部相关部门负责人 就老旧小区既有住宅加装电梯典型案例答记者问 来源：最高人民法院新闻局 发布时间：2023-11-08 15:50:27 字号： 小大 打印本页 2023年11月8日上午，最高人民法院、住房城乡建设部联合发布老旧小区既有住宅加装电梯典型案例并回答记者提问。最高人民法院民一庭庭长陈宜芳、住房城乡建设部城市建设司副司长刘李峰、最高人民法院民一庭副庭长吴景丽出席发布会，发布会由最高人民法院新闻局副局长王斌主持。 1.老旧小区既有住宅加装电梯是改善老年人、残疾人居住和出行条件的重要...,not_final_human_decision,,trigger,ev-00072,,发布典型案例支持依法加装电梯,最高人民法院与住房城乡建设部联合发布典型案例并答记者问,neutral,监管部门,supported,need_review,stakeholder_not_supported,diffusion;response;follow_up,,发布典型案例支持依法加装电梯,最高人民法院与住房城乡建设部联合发布典型案例并答记者问,unreviewed,,neutral,system_candidate,监管部门,supported,E002_SOA_003,supported,证据明确记载最高人民法院与住房城乡建设部联合发布典型案例并答记者问，支持了'发布典型案例支持依法加装电梯'的观点，且官方发布会语气中性，符合neutral情绪。,1.0
,,0.85,resolution,ev-00077,E002_SOA_004,积极推动老旧小区加装电梯工作,河北省对人大代表建议答复，表示扎实推进加装电梯工作,neutral,政府部门,0.4857,,E002,某区老旧小区加装电梯费用分摊争议,ev-00077,扎实推进既有住宅加装电梯工作;积极鼓励居民加装电梯,对河北省第十四届人民代表大会 第二次会议第1200号建议的答复 发布时间：2024-07-05 来源：提案处 宋风云代表： 您提出的'关于加快推进老旧小区加装电梯的建议'收悉，现答复如下： 近年来，我市聚焦群众急难愁盼问题，扎实推进既有住宅加装电梯工作，积极鼓励居民加装电梯，进一步完善既有住宅使用功能，提升居住品质。截至目前，我市既有住宅已加装电梯231部，2024年正在加装电梯18部，加装电梯数量位列全省第一位。'制定实施方案''方案联合审查''联合竣工验收'等加装电梯政策被列入住建部《城镇老旧小区改造可复制政策...,not_final_human_decision,,resolution,ev-00077,,积极推动老旧小区加装电梯工作,河北省对人大代表建议答复，表示扎实推进加装电梯工作,neutral,政府部门,supported,need_review,no_issue,diffusion;response;follow_up,,积极推动老旧小区加装电梯工作,河北省对人大代表建议答复，表示扎实推进加装电梯工作,unreviewed,,neutral,system_candidate,政府部门,supported,E002_SOA_004,supported,证据中政府答复明确表示'扎实推进既有住宅加装电梯工作'，与观点'积极推动老旧小区加装电梯工作'一致，情绪neutral符合官方正式语气，依据准确。,1.0
,,0.8,conflict,ev-00122,E003_SOA_001,保障性租赁住房申请手续简单、入住快，减轻了生活压力,李先生向丹江口市纪委监委工作人员表示入住廉租房减轻了房租压力,positive,市民,0.793,,E003,某市保障性租赁住房申请资格争议,ev-00122,'申请手续简单，入住也很快，省了一大笔房租钱，减轻了生活的压力。',丹江口： 跟进监督让'保障房'成'公平房' 日期： 2026-03-26 08:47:48 来源： 中共十堰市纪律检查委员会 '申请手续简单，入住也很快，省了一大笔房租钱，减轻了生活的压力。'近期，丹江口市纪委监委派出第二纪检监察组来到三官殿街道月亮湾廉租房小区开展走访，刚搬进小区的市民李先生一边领着工作人员参观新家，一边高兴地说。 就在几个月前，李先生还在为住房发愁。彼时，城区保障性住房需求持续攀升，存在'一房难求'的现象，而另一边，少数已配租的保障房却存在违规侵占、转租转借的乱象，'人等房'与'房等人'的结构性...,not_final_human_decision,,conflict,ev-00122,,保障性租赁住房申请手续简单、入住快，减轻了生活压力,李先生向丹江口市纪委监委工作人员表示入住廉租房减轻了房租压力,positive,市民,supported,need_review,no_issue,diffusion;follow_up,,保障性租赁住房申请手续简单、入住快，减轻了生活压力,李先生向丹江口市纪委监委工作人员表示入住廉租房减轻了房租压力,unreviewed,,positive,system_candidate,市民,supported,E003_SOA_001,supported,证据中市民李先生明确表示申请手续简单、入住快、减轻生活压力，情绪高兴，与候选元组完全一致。,1.0
,,0.6,conflict,ev-02538,E004_SOA_001,统租导致不得不搬离，虽获补偿仍感被动,租户谢萍因统租搬离，协商后退押金并补偿一个月房租,negative,租户,0.6173,,E004,某市城中村改造租户安置问题,ev-02538,因为统租不得不搬离，跟房东协商后，退了押金并补偿了一个月房租,,not_final_human_decision,,conflict,ev-02538,verification_rationale: 证据支持租户因统租搬离并获补偿的事实，但未体现其‘被动’情绪或负面态度，sentiment为推断。; issue_flags: sentiment_not_supported,统租导致不得不搬离，虽获补偿仍感被动,租户谢萍因统租搬离，协商后退押金并补偿一个月房租,negative,租户,partially_supported,need_review,sentiment_not_supported,diffusion;follow_up,,统租导致不得不搬离，虽获补偿仍感被动,租户谢萍因统租搬离，协商后退押金并补偿一个月房租,unreviewed,,negative,system_candidate,租户,partially_supported,E004_SOA_001,partially_supported,证据支持租户因统租搬离并获补偿的事实，但未体现其‘被动’情绪或负面态度，sentiment为推断。,0.5
,,0.5,conflict,ev-02538,E004_SOA_002,不愿给租户补贴，抵触统租政策,报道称有房东不愿给补贴，表明对统租政策的不满,negative,房东,0.6173,,E004,某市城中村改造租户安置问题,ev-02538,有房东不愿给补贴;第三方公司给到的租金比现在稍微高一点，但并不是政府出面跟我们签合同...;如果中间我们突然收不到房租又该去找谁？,,not_final_human_decision,,conflict,ev-02538,verification_rationale: 证据标题提到'有房东不愿给补贴'，但正文中房东的表述主要是对第三方公司签约模式的顾虑，并未明确表达'抵触统租政策'，因此观点部分支持，情绪negative有依据但过度推断。; issue_flags: opinion_overgeneralized,不愿给租户补贴，抵触统租政策,报道称有房东不愿给补贴，表明对统租政策的不满,negative,房东,partially_supported,need_review,opinion_overgeneralized,diffusion;follow_up,,不愿给租户补贴，抵触统租政策,报道称有房东不愿给补贴，表明对统租政策的不满,unreviewed,,negative,system_candidate,房东,partially_supported,E004_SOA_002,partially_supported,证据标题提到'有房东不愿给补贴'，但正文中房东的表述主要是对第三方公司签约模式的顾虑，并未明确表达'抵触统租政策'，因此观点部分支持，情绪negative有依据但过度推断。,0.5
,,0.7,trigger,ev-00190,E004_SOA_003,改造后租金以不涨为原则,住建局表态改造后租金不涨，作为官方回应,neutral,住建部门,0.6173,,E004,某市城中村改造租户安置问题,ev-00190,改造后的租金以不涨为原则，单套租金原则上与改造前基本持平,深圳白芒村'统租改造'暂缓签约，住建局表态改造后租金以不涨为原则 澎湃新闻记者 计思敏 综合报道 2023-06-14 15:38 来源：澎湃新闻 2023年5月3日，深圳，航拍白芒村。 视觉中国 图 近日，据媒体报道，深圳南山西丽街道白芒村'统租改造'签约已经暂缓，之前已经签约的还在推进相关工作，后续是否继续签约暂时未知。 6月14日，澎湃新闻从南山区西丽街道办事处获悉，白芒村的'统租改造'工作确已暂缓。南山区白芒村综合整治项目指挥部工作人员表示，目前是暂停的，再启动时间暂未确定，需等待进一步安排。前述人员未透露...,not_final_human_decision,,trigger,ev-00190,,改造后租金以不涨为原则,住建局表态改造后租金不涨，作为官方回应,neutral,住建部门,supported,need_review,no_issue,diffusion;follow_up,,改造后租金以不涨为原则,住建局表态改造后租金不涨，作为官方回应,unreviewed,,neutral,system_candidate,住建部门,supported,E004_SOA_003,supported,证据中深圳市住房建设局负责人明确表示改造后租金以不涨为原则，直接支持了opinion和rationale，且sentiment为中性，符合官方表态。,1.0
,,0.6,trigger,ev-02536,E004_SOA_004,城中村统租应努力办成好事，需完善执行,经济日报评论认为统租有益，但要解决当前问题,positive,媒体,0.6173,,E004,某市城中村改造租户安置问题,ev-02536,努力把城中村统租这件好事办好;从长远看，城中村统租能够为城市发展带来很多益处;制定规划要更加细致，充分考虑到各种可能出现的情况，做好相关预案,,not_final_human_decision,,trigger,ev-02536,,城中村统租应努力办成好事，需完善执行,经济日报评论认为统租有益，但要解决当前问题,positive,媒体,supported,need_review,no_issue,diffusion;follow_up,,城中村统租应努力办成好事，需完善执行,经济日报评论认为统租有益，但要解决当前问题,unreviewed,,positive,system_candidate,媒体,supported,E004_SOA_004,supported,经济日报评论明确表示城中村统租是好事，需要完善执行，证据支持观点、情绪和依据。,1.0
,,0.9,conflict,ev-00220,E005_SOA_001,质疑物业费涨价手续造假,业主发现2014年涨价通告中业委会虚构，手续造假,negative,业主,0.6944,,E005,某地物业费上涨引发业主维权,ev-00220,业主质疑当年涨价手续造假、主体不实;'通告落款是‘宝隆沁园春业委会’，说从2014年1月1日起物业费涨至5元，可我们小区 首届业委会2023年8月才成立，2014年哪来的业委会？'业主们质疑，这个业委会从未在相关部门备案，纯属伪造。,小区业委会公告物业费涨价，多年后业主发现：该业委会竟是虚构的 第一帮帮团 福州晋安区沁园春小区业主向帮帮团栏目求助：小区早年物业费从2.8元涨至5元，后续微调至4.5元并沿用至今。时隔十余年，一张2014年的涨价旧通告被曝光，业主质疑当年涨价手续造假、主体不实，记者随即实地走访核查真相。 01 物业费涨价 沁园春小区2008年相继交房，业主提供的《前期物业管理服务协议》显示，物业费按2.8元/㎡每月收取。可到了2014年，有业主接到物业电话，称物业费将涨到5元/㎡每月。 '当时物业说手续都齐了，邻居也都交了，我们就...,not_final_human_decision,,conflict,ev-00220,,质疑物业费涨价手续造假,业主发现2014年涨价通告中业委会虚构，手续造假,negative,业主,supported,need_review,no_issue,diffusion;follow_up,,质疑物业费涨价手续造假,业主发现2014年涨价通告中业委会虚构，手续造假,unreviewed,,negative,system_candidate,业主,supported,E005_SOA_001,supported,证据中明确记载业主质疑物业费涨价手续造假，并指出业委会虚构，与候选观点完全一致，情绪为负面。,1.0
