record_type,event_id,record_id,evidence_ids,independent_source_count,independent_sources,missing_evidence_ids,confidence_route,required_action
tuple,E001,LLM_CANON_E001_001,ev-00001;ev-00002;ev-00007;ev-00010;ev-00012;ev-00022;ev-00027,4,by.gov.cn;gz.gov.cn;new.qq.com;sohu.com,,silver_candidate,standard_review
tuple,E001,LLM_CANON_E001_002,ev-00010;ev-00022;ev-00023;ev-00033;ev-00034,5,gz.news.fang.com;m.110ask.com;m.jiwu.com;new.qq.com;sohu.com,,silver_candidate,standard_review
tuple,E001,LLM_CANON_E001_003,ev-00023,1,m.110ask.com,,low_confidence,human_review_required
tuple,E003,LLM_CANON_E003_001,ev-00056;ev-00059;ev-00060;ev-00061;ev-00062;ev-01435,5,163.com;m.fang.com;m.sohu.com;news.sohu.com;sz.news.fang.com,,silver_candidate,standard_review
tuple,E003,LLM_CANON_E003_002,ev-00056;ev-00059;ev-00060;ev-00061;ev-00062;ev-01440,5,m.fang.com;m.sohu.com;news.qq.com;news.sohu.com;sz.news.fang.com,,silver_candidate,standard_review
tuple,E003,LLM_CANON_E003_003,ev-00059;ev-00061;ev-00062;ev-01440;ev-01442,4,m.fang.com;news.qq.com;sz.news.fang.com;sz.oeeee.com,,silver_candidate,standard_review
tuple,E003,LLM_CANON_E003_004,ev-01449,1,finance.sina.com.cn,,low_confidence,human_review_required
tuple,E005,LLM_CANON_E005_001,ev-00096;ev-00097,1,kankanews.com,,low_confidence,human_review_required
tuple,E005,LLM_CANON_E005_002,ev-00096;ev-00097,1,kankanews.com,,low_confidence,human_review_required
tuple,E006,LLM_CANON_E006_001,ev-00116,1,sohu.com,,low_confidence,human_review_required
tuple,E006,LLM_CANON_E006_002,ev-00116,1,sohu.com,,low_confidence,human_review_required
tuple,E007,LLM_CANON_E007_001,ev-00136;ev-00137;ev-00139,3,api.app.anhuinews.com;k.sina.com.cn;news.anhuinews.com,,silver_candidate,standard_review
tuple,E007,LLM_CANON_E007_002,ev-00139,1,k.sina.com.cn,,low_confidence,human_review_required
tuple,E007,LLM_CANON_E007_003,ev-00139,1,k.sina.com.cn,,low_confidence,human_review_required
tuple,E009,LLM_CANON_E009_001,ev-00205;ev-00207;ev-01536;ev-01538,3,m.sohu.com;news.cnr.cn;web.shobserver.com,,silver_candidate,standard_review
tuple,E009,LLM_CANON_E009_002,ev-00205;ev-00207;ev-01538,3,m.sohu.com;news.cnr.cn;web.shobserver.com,,silver_candidate,standard_review
tuple,E009,LLM_CANON_E009_003,ev-00206;ev-00207,2,m.sohu.com;toutiao.com,,silver_candidate,standard_review
tuple,E009,LLM_CANON_E009_004,ev-00207,1,m.sohu.com,,low_confidence,human_review_required
tuple,E010,LLM_CANON_E010_001,ev-00224;ev-01556,1,kecheng.gov.cn,,low_confidence,human_review_required
tuple,E010,LLM_CANON_E010_002,ev-01562;ev-01563;ev-01564;ev-01565,3,m.fccs.com;qz.fccs.com;sohu.com,,silver_candidate,standard_review
tuple,E011,LLM_CANON_E011_001,ev-00242;ev-01581;ev-01584;ev-01586,4,3g.163.com;baike.sogou.com;m.gmw.cn;toutiao.com,,silver_candidate,standard_review
tuple,E011,LLM_CANON_E011_002,ev-00242;ev-01584;ev-01586;ev-01589,4,163.com;3g.163.com;m.gmw.cn;toutiao.com,,silver_candidate,standard_review
tuple,E011,LLM_CANON_E011_003,ev-00240;ev-00243;ev-00244;ev-01571;ev-01572;ev-01576;ev-01577;ev-01581;ev-01586;ev-01589,9,163.com;3g.163.com;baike.sogou.com;finance.ifeng.com;finance.sina.com.cn;infzm.com;m.sohu.com;news.sohu.com;toutiao.com,,silver_candidate,standard_review
tuple,E011,LLM_CANON_E011_004,ev-01572;ev-01581;ev-01586,3,3g.163.com;baike.sogou.com;m.sohu.com,,silver_candidate,standard_review
tuple,E011,LLM_CANON_E011_005,ev-00242;ev-00248;ev-01578;ev-01579;ev-01587;ev-01589,4,163.com;hswh.org.cn;k.sina.com.cn;toutiao.com,,silver_candidate,standard_review
tuple,E012,LLM_CANON_E012_001,ev-00260;ev-00261;ev-00264;ev-00265;ev-00269;ev-01591;ev-01592;ev-01595;ev-01603;ev-01605;ev-01606;ev-01607;ev-01608,6,infzm.com;kankanews.com;m.163.com;m.szhgh.com;sohu.com;toutiao.com,,silver_candidate,standard_review
tuple,E012,LLM_CANON_E012_002,ev-00263;ev-00264;ev-00269;ev-01592;ev-01602;ev-01606,5,kankanews.com;m.163.com;m.szhgh.com;news.ifeng.com;sohu.com,,silver_candidate,standard_review
tuple,E012,LLM_CANON_E012_003,ev-00263;ev-00266;ev-00269;ev-01596;ev-01606;ev-01607,6,amr.ahsz.gov.cn;infzm.com;kankanews.com;m.163.com;news.ifeng.com;toutiao.com,,silver_candidate,standard_review
tuple,E012,LLM_CANON_E012_004,ev-00263;ev-00265;ev-00266;ev-00268;ev-00269;ev-01591;ev-01596;ev-01597;ev-01598;ev-01599;ev-01600;ev-01601;ev-01602;ev-01606;ev-01607;ev-01610,11,amr.ahsz.gov.cn;cj.sina.com.cn;infzm.com;kankanews.com;m.163.com;m.szhgh.com;news.hnr.cn;news.ifeng.com;opinion.voc.com.cn;sohu.com;toutiao.com,,silver_candidate,standard_review
tuple,E012,LLM_CANON_E012_005,ev-00260;ev-00264;ev-00268;ev-00269;ev-01592;ev-01595;ev-01603;ev-01604;ev-01606,6,kankanews.com;m.163.com;m.szhgh.com;opinion.voc.com.cn;sohu.com;toutiao.com,,silver_candidate,standard_review
tuple,E013,LLM_CANON_E013_001,ev-00280;ev-00281;ev-00282;ev-00283;ev-00284;ev-00286;ev-00287;ev-01611;ev-01612;ev-01617;ev-01618;ev-01619;ev-01620;ev-01621;ev-01622;ev-01623;ev-01624;ev-01625;ev-01629;ev-01630,9,163.com;app.myzaker.com;finance.sina.com.cn;hinews.cn;m.sohu.com;new.qq.com;news.cctv.com;sohu.com;toutiao.com,,silver_candidate,standard_review
tuple,E013,LLM_CANON_E013_002,ev-00280;ev-00281;ev-00282;ev-00283;ev-00284;ev-00285;ev-00286;ev-00287;ev-01611;ev-01612;ev-01617;ev-01618;ev-01621;ev-01622;ev-01623;ev-01624;ev-01625;ev-01627,11,163.com;app.myzaker.com;cbgc.scol.com.cn;finance.sina.com.cn;hinews.cn;isee.weishi.qq.com;m.sohu.com;new.qq.com;news.cctv.com;sohu.com;toutiao.com,,silver_candidate,standard_review
tuple,E013,LLM_CANON_E013_003,ev-01617;ev-01618;ev-01622;ev-01624;ev-01625,5,163.com;finance.sina.com.cn;m.sohu.com;news.cctv.com;sohu.com,,silver_candidate,standard_review
tuple,E014,LLM_CANON_E014_001,ev-00309;ev-01640;ev-01642;ev-01643;ev-01644;ev-01647,6,m.sohu.com;m.szhgh.com;m.thepaper.cn;news.fznews.com.cn;news.sina.com.cn;sohu.com,,silver_candidate,standard_review
tuple,E014,LLM_CANON_E014_002,ev-00303;ev-00304;ev-01636;ev-01639;ev-01643;ev-01644,6,finance.sina.com.cn;jiemian.com;news.dayoo.com;news.sina.com.cn;sohu.com;thepaper.cn,,silver_candidate,standard_review
tuple,E014,LLM_CANON_E014_003,ev-00301;ev-00303;ev-00304;ev-00306;ev-00307;ev-00308;ev-01636;ev-01639;ev-01640;ev-01642;ev-01643;ev-01644;ev-01647,11,finance.sina.com.cn;jiemian.com;m.sohu.com;m.thepaper.cn;m.toutiao.com;news.dayoo.com;news.fznews.com.cn;news.sina.com.cn;sohu.com;thepaper.cn;toutiao.com,,silver_candidate,standard_review
tuple,E014,LLM_CANON_E014_004,ev-00300;ev-00301;ev-00303;ev-00304;ev-00305;ev-00306;ev-00307;ev-00308;ev-01636;ev-01639;ev-01640;ev-01642;ev-01643;ev-01644;ev-01647,12,finance.sina.com.cn;jiemian.com;m.baike.com;m.sohu.com;m.thepaper.cn;m.toutiao.com;news.dayoo.com;news.fznews.com.cn;news.sina.com.cn;sohu.com;thepaper.cn;toutiao.com,,silver_candidate,standard_review
tuple,E014,LLM_CANON_E014_005,ev-00300;ev-00320;ev-00323;ev-01649,1,toutiao.com,,low_confidence,human_review_required
tuple,E015,LLM_CANON_E015_001,ev-00326;ev-00329;ev-00330;ev-00331;ev-00333;ev-00347;ev-00348,6,cn.chinadaily.com.cn;finance.sina.cn;fzsx.gov.cn;news.jcrb.com;nmgcb.com.cn;toutiao.com,,silver_candidate,standard_review
tuple,E015,LLM_CANON_E015_002,ev-00332;ev-00334;ev-00346,1,toutiao.com,,low_confidence,human_review_required
tuple,E017,LLM_CANON_E017_001,ev-00403;ev-00404;ev-00405;ev-00406;ev-00407;ev-00408;ev-00409;ev-00411;ev-00412;ev-00423;ev-00425;ev-00436,9,163.com;edu.sina.com.cn;finance.sina.com.cn;m.sohu.com;m.thepaper.cn;new.qq.com;news.bjd.com.cn;news.china.com;toutiao.com,,silver_candidate,standard_review
