event_id,chain_id,event_chain,evidence_ids,evidence_texts,evidence_source_types,evidence_urls,evidence_titles,evidence_dates,review_decision,revised_event_chain,revised_evidence_ids,reviewer_note,reviewer_id,adjudication_status
E002,CHAIN_E002_001,小湾村、暮二村城中村改造项目启动签约 ||| 可建未建房屋建筑问题引发关注 ||| 浦东新区政府批复改造实施方案 ||| 居民100%签约清盘，安置房启动建设,ev-00044;ev-00036;ev-00049;ev-00041;ev-00042,"12月23日上午9时,唐镇小湾村、暮二村等地块“城中村”项目正式启动签约,此次签约将分成九个地块陆续启动。首先签约的是九号地块,共41产集土居民,当天100%签约,实现清盘。安置房源都在唐镇镇域内,分 ||| “房屋产权人”“符合建房条件人数”“核定可建总面积”......唐镇小湾村暮二村等地块“城中村”拔点改造项目持续推进。11月27日,基地可建未建房屋建筑 ||| 浦东新区人民政府关于同意《唐镇小湾村暮二村等地块“城中村”改造项目实施方案》的批复 索引号 SY-310115-2024-00190 文件编号 浦府〔2023〕209号 发布机构 区政府 公开类别 主 ||| 近日,随着最后一户签约完成,唐镇小湾村、暮二村等地块“城中村”改造项目(以下简称“小湾村项目”)848产(1000多户)居民100%签约实现清盘,村民们住上新房的愿望,以不落下一户的方式全部得以实现。 ||| 摘要:浦东小湾村将变身高新产业园区。2024年1月3日,浦东唐镇小湾村“城中村”改造项目提前3天实现100%居民征收签约。与此同时,首批征收安置房地块启动建设,将提供2500余套安置房源,建筑面积共约",mainstream_news ||| social_media ||| official ||| mainstream_news ||| social_media,https://www.jfdaily.com/sgh/detail?id=1212752 ||| https://www.toutiao.com/article/7307227346644304434/ ||| https://www.pudong.gov.cn/zwgk/14527.gkml_ywl_cxjsgl/2024/9/321833.html ||| https://m.thepaper.cn/newsDetail_forward_26021880 ||| https://www.163.com/dy/article/INP4R12A055040N3.html,,,uncertain,,,,,
E002,CHAIN_E002_002,改造项目征收评估启动 ||| 签约过程中出现可建未建等争议 ||| 区委领导调研推进城市更新工作 ||| 100%居民签约完成及社保方案公告,ev-01420;ev-00036;ev-01425;ev-00041;ev-00046,"共282户,唐镇城中村改造动迁评估即将展开,涉及小湾村、一心村、暮二村、唐四村、机口村等多个村组,未来动迁户将全部安置在唐镇区域内。沪浦预征地告〔2023〕第307号,涉及暮二村3、4、5、6、8组范 ||| “房屋产权人”“符合建房条件人数”“核定可建总面积”......唐镇小湾村暮二村等地块“城中村”拔点改造项目持续推进。11月27日,基地可建未建房屋建筑 ||| 1月2日,上海市委常委、浦东新区区委书记朱芝松前往合庆镇老集镇、南社区“城中村”改造项目现场,川沙新市镇城东社区D06B-08地块征收安置房项目现场调研,加快推进浦东城市更新工作。 合庆镇老集镇、南社 ||| 近日,随着最后一户签约完成,唐镇小湾村、暮二村等地块“城中村”改造项目(以下简称“小湾村项目”)848产(1000多户)居民100%签约实现清盘,村民们住上新房的愿望,以不落下一户的方式全部得以实现。 ||| 关于申请唐镇小湾村暮二村等地块“城中村”改造项目地块四被征地人员就业和社会保障方案的公告确认 索引号 SY-310115-2024-03317 文件编号 浦唐府〔2024〕35号 发布机构 唐镇 公开",social_media ||| social_media ||| forum ||| mainstream_news ||| official,https://www.163.com/dy/article/IGP2KRT10525L0GC.html ||| https://www.toutiao.com/article/7307227346644304434/ ||| https://www.thepaper.cn/newsDetail_forward_25871726 ||| https://m.thepaper.cn/newsDetail_forward_26021880 ||| https://www.pudong.gov.cn/zwgk/14526.gkml_ywl_shbz/2024/177/328029.html,,,uncertain,,,,,
E002,CHAIN_E002_003,政府批复城中村改造实施方案 ||| 外来租客大规模迁徙引发安置讨论 ||| 支持专业化租赁企业参与房源整租运营 ||| 安置房建设开工及被征地人员社保方案确认,ev-00049;ev-00042;ev-00038;ev-00048,"浦东新区人民政府关于同意《唐镇小湾村暮二村等地块“城中村”改造项目实施方案》的批复 索引号 SY-310115-2024-00190 文件编号 浦府〔2023〕209号 发布机构 区政府 公开类别 主 ||| 摘要:浦东小湾村将变身高新产业园区。2024年1月3日,浦东唐镇小湾村“城中村”改造项目提前3天实现100%居民征收签约。与此同时,首批征收安置房地块启动建设,将提供2500余套安置房源,建筑面积共约 ||| 二、工作措施 (一)支持专业化规模化住房租赁企业参与 支持专业化规模化住房租赁企业参与“城中村”房源整租运营。一是支持村集体经济组织、村民自主成立专业化规模化住房租赁企业运营租赁房源;二是支持村集体经 ||| 关于申请唐镇小湾村暮二村等地块“城中村”改造项目地块八被征地人员就业和社会保障方案的公告确认 索引号 SY-310115-2024-01606 文件编号 浦唐府〔2024〕12号 发布机构 唐镇 公开",official ||| social_media ||| mainstream_news ||| official,https://www.pudong.gov.cn/zwgk/14527.gkml_ywl_cxjsgl/2024/9/321833.html ||| https://www.163.com/dy/article/INP4R12A055040N3.html ||| https://news.bbaqw.com/zh/14613.htm ||| https://www.pudong.gov.cn/zwgk/14526.gkml_ywl_shbz/2024/90/325278.html,,,uncertain,,,,,
E015,CHAIN_E015_001,2024年3月10日，邯郸市肥乡区初一学生王某某被杀害 ||| 公安机关立即开展侦破，3月11日犯罪嫌疑人被全部抓获 ||| 官方通报案件进展 ||| 犯罪嫌疑人被依法采取刑事强制措施，案件在进一步处理,ev-00331;ev-00326;ev-00329;ev-00330,"“微观肥乡”17日发布通报:3月10日,邯郸市肥乡区初一学生王某某被杀害。案件发生后,肥乡区公安机关立即开展侦破工作。3月11日,涉案犯罪嫌疑人被全部抓获,现已依法采取刑事强制措施。司法机关将对犯罪行 ||| 邯郸市肥乡区委员会宣传部的官方微信公众号“微观肥乡”17日晚间发布通报:2024年3月10日,邯郸市肥乡区初一学生王某某被杀害。案件发生后,肥乡区高度重视,公安机关立即开展侦破工作。3月11日,涉案犯 ||| 邯郸市肥乡区委员会宣传部的官方微信公众号“微观肥乡”17日晚间发布通报:2024年3月10日,邯郸市肥乡区初一学生王某某被杀害。案件发生后,肥乡区高度重视,公安机关立即开展侦破工作。3月11日,涉案犯 ||| 邯郸市肥乡区委员会宣传部的官方微信公众号“微观肥乡”17日晚间发布通报:2024年3月10日,邯郸市肥乡区初一学生王某某被杀害。案件发生后,肥乡区高度重视,公安机关立即开展侦破工作。3月11日,涉案犯",official ||| social_media ||| social_media ||| social_media,http://fzsx.gov.cn/sx/fcsh/80475.htm ||| https://cn.chinadaily.com.cn/a/202403/18/WS65f78960a3109f7860dd5c49.html ||| http://www.nmgcb.com.cn/shehui/r-280693.html ||| http://news.jcrb.com/jsxw/2024/202403/t20240318_6351946.html,,,uncertain,,,,,
E015,CHAIN_E015_002,邯郸市肥乡区初一学生王某某被害事件发生 ||| 社会广泛关注，媒体大量报道引发公众同情与讨论 ||| 肥乡区高度重视，公安机关迅速介入并通报案情 ||| 涉案嫌疑人被抓获并采取强制措施,ev-00328;ev-00347;ev-00331;ev-00326,"近日,河北邯郸肥乡区发生了一起令人痛心的初中生被害事件。据报道,这起事件发生在2024年3月10日,地点位于肥乡区北高镇张庄村附近。 ||| 近日,邯郸市肥乡区发生了一起令人痛心的案件,一名初中生不幸遇害。肥乡区委员会宣传部通过其官方微信公众号“微观肥乡”于17日晚间发布通报,向公众详细说明了案件的情况及后续处理进展。 通报指出,2024年 ||| “微观肥乡”17日发布通报:3月10日,邯郸市肥乡区初一学生王某某被杀害。案件发生后,肥乡区公安机关立即开展侦破工作。3月11日,涉案犯罪嫌疑人被全部抓获,现已依法采取刑事强制措施。司法机关将对犯罪行 ||| 邯郸市肥乡区委员会宣传部的官方微信公众号“微观肥乡”17日晚间发布通报:2024年3月10日,邯郸市肥乡区初一学生王某某被杀害。案件发生后,肥乡区高度重视,公安机关立即开展侦破工作。3月11日,涉案犯",social_media ||| social_media ||| official ||| social_media,https://www.toutiao.com/article/7348447723126817295/ ||| https://www.toutiao.com/article/7348283749471158823 ||| http://fzsx.gov.cn/sx/fcsh/80475.htm ||| https://cn.chinadaily.com.cn/a/202403/18/WS65f78960a3109f7860dd5c49.html,,,uncertain,,,,,
E015,CHAIN_E015_003,2024年3月10日，学生王某某在肥乡区北高镇张庄村附近被害 ||| 多家媒体跟进报道，舆论呼吁加强未成年人保护 ||| 肥乡区委员会宣传部通过官方微信公众号发布案情通报 ||| 案件正在依法处理中,ev-00328;ev-00347;ev-00326;ev-00331,"近日,河北邯郸肥乡区发生了一起令人痛心的初中生被害事件。据报道,这起事件发生在2024年3月10日,地点位于肥乡区北高镇张庄村附近。 ||| 近日,邯郸市肥乡区发生了一起令人痛心的案件,一名初中生不幸遇害。肥乡区委员会宣传部通过其官方微信公众号“微观肥乡”于17日晚间发布通报,向公众详细说明了案件的情况及后续处理进展。 通报指出,2024年 ||| 邯郸市肥乡区委员会宣传部的官方微信公众号“微观肥乡”17日晚间发布通报:2024年3月10日,邯郸市肥乡区初一学生王某某被杀害。案件发生后,肥乡区高度重视,公安机关立即开展侦破工作。3月11日,涉案犯 ||| “微观肥乡”17日发布通报:3月10日,邯郸市肥乡区初一学生王某某被杀害。案件发生后,肥乡区公安机关立即开展侦破工作。3月11日,涉案犯罪嫌疑人被全部抓获,现已依法采取刑事强制措施。司法机关将对犯罪行",social_media ||| social_media ||| social_media ||| official,https://www.toutiao.com/article/7348447723126817295/ ||| https://www.toutiao.com/article/7348283749471158823 ||| https://cn.chinadaily.com.cn/a/202403/18/WS65f78960a3109f7860dd5c49.html ||| http://fzsx.gov.cn/sx/fcsh/80475.htm,,,uncertain,,,,,
E020,CHAIN_E020_001,家长曝光食堂食材发霉变质 ||| 社交媒体广泛传播引发关注 ||| 政府和教育部门介入调查 ||| 联合调查组新闻发布会公布结果,ev-01698;ev-01702;ev-01691;ev-00485,"针对成都七中实验学校小学部学生家长近日反映的食堂食品发霉变质问题,成都市温江区人民政府新闻办公室13日在官方微博通报称,温江区相关部门及时赶赴学校进行处理。目前,区市场监管局已对食品原料封存并送检,结 ||| 根据微博网友爆料,成都七中实验学校食堂内出现了各种发霉变质的水果、冷冻肉,有学生吃了身体出现异常。 网友@袍义酒行 在微博上曝光学校食堂图片 网友晒出了大量照片,照片内可见食堂操作间内脏乱不堪,部 ||| 3月12日,部分学生家长反映成都七中实验学校食堂有关问题。教育厅对此高度重视,立即派出工作组前往成都七中实验学校会同成都市教育局进行核查处置,有关调查核实和相关工作跟进情况,将及时通报。同时,已要求各 ||| 导读 今天(3月17日)上午10点30分,成都七中实验学校食堂管理问题成都市联合调查组举行新闻发布会,由成都市市场监管局、成都市卫健委、成都市教育局、成都市温江区政府、成都市公安局、四川源坤国科质量检",social_media ||| social_media ||| official ||| forum,http://views.ce.cn/view/ent/201903/15/t20190315_31684731.shtml ||| https://finance.sina.com.cn/wm/2019-03-13/doc-ihrfqzkc3636954.shtml ||| https://www.sc.gov.cn/10462/10464/13722/2019/3/13/70340e568b8f48a8ac44b1baab4c4c1f.shtml ||| https://zhuanlan.zhihu.com/p/59558895,,,uncertain,,,,,
E020,CHAIN_E020_002,3月12日家长反映食堂问题 ||| 网络谣言与家长担忧升级 ||| 国家市场监管总局要求核查 ||| 3月17日官方调查结果公布,ev-01691;ev-01710;ev-01695;ev-01706,"3月12日,部分学生家长反映成都七中实验学校食堂有关问题。教育厅对此高度重视,立即派出工作组前往成都七中实验学校会同成都市教育局进行核查处置,有关调查核实和相关工作跟进情况,将及时通报。同时,已要求各 ||| 来源:成都日报 2019-03-18 10:03 3月12日起,成都七中实验学校食品问题以各种版本在网络流传,引发社会各界关注。情绪之中,事实的脉络并不清晰。 起因,是不是一名学生家长“卧底食堂假 ||| 据市场监管总局网站3月13日消息,澎湃新闻(www.thepaper.cn)记者了解到,市场监管总局高度关注四川省成都市七中实验学校食堂食品原料存在的问题,已经要求四川省市场监管部门按照地方党委、政府 ||| 今天上午10点30分,成都七中实验学校食堂管理问题成都市联合调查组举行新闻发布会,由成都市市场监管局、成都市卫健委、成都市教育局、成都市温江区政府、成都市公安局、...",official ||| official ||| mainstream_news ||| official,https://www.sc.gov.cn/10462/10464/13722/2019/3/13/70340e568b8f48a8ac44b1baab4c4c1f.shtml ||| http://www.pidu.gov.cn/pidu/c134925/2019-03/18/content_17a67401251c41048c30da513c72d728.shtml ||| https://www.thepaper.cn/newsDetail_forward_3129164 ||| https://edu.sc.gov.cn/scedu/c100556/2019/3/17/1767dcaee3334a39ab02cb748649a755.shtml,,,uncertain,,,,,
E020,CHAIN_E020_003,网上曝光食堂食品质量问题 ||| 家长到校集中反映质疑 ||| 市场监管局封存送检食材 ||| 温江区长介绍事件处理措施,ev-01702;ev-01703;ev-01698;ev-01701,"根据微博网友爆料,成都七中实验学校食堂内出现了各种发霉变质的水果、冷冻肉,有学生吃了身体出现异常。 网友@袍义酒行 在微博上曝光学校食堂图片 网友晒出了大量照片,照片内可见食堂操作间内脏乱不堪,部 ||| 温江区区长马烈红介绍成都七中实验学校食堂管理问题相关情况 各位媒体朋友: 近期,因成都七中实验学校食堂问题引发了学生家长到学校集中反映,质疑食堂的管理,担忧孩子的健康,影响了很多孩子和家长的正常学习生 ||| 针对成都七中实验学校小学部学生家长近日反映的食堂食品发霉变质问题,成都市温江区人民政府新闻办公室13日在官方微博通报称,温江区相关部门及时赶赴学校进行处理。目前,区市场监管局已对食品原料封存并送检,结 ||| 图片来源:四川日报 发布会上,温江区区长马烈红就近期成都七中实验学校食堂问题,介绍了事情的具体经过,以及事情发生后采取的具体措施。 2019年3月10日下午学生返校时,成都七中实验学校小学部四年级1班",social_media ||| mainstream_news ||| social_media ||| mainstream_news,https://finance.sina.com.cn/wm/2019-03-13/doc-ihrfqzkc3636954.shtml ||| https://news.sina.com.cn/c/2019-03-17/doc-ihsxncvh3218342.shtml ||| http://views.ce.cn/view/ent/201903/15/t20190315_31684731.shtml ||| https://finance.sina.com.cn/roll/2019-03-17/doc-ihrfqzkc4566691.shtml,,,uncertain,,,,,
E049,CHAIN_E049_001,媒体调查披露聚合平台网约车阴阳账单和高抽成 ||| 司机投诉阴阳账单，乘客质疑抽成过高 ||| 交通运输新业态协同监管部际联席会议约谈平台 ||| 持续关注抽成透明化治理,ev-01217;ev-01382;ev-01386;ev-01220;ev-01400;ev-01390,"“乘客支付155.06元,而平台却显示乘客支付了102.89元。”1月15日,某网约车平台(阳光出行)司机陈晨(化名)在某投诉平台上称。 1月14日,陈晨接到由北京朝阳站到北京西站的外派订单。据他表示 ||| 网约车抽成近五成,保障司机权益才能长久发展 2024-01-16 17:56:52 网约车的发展不该滑向零和博弈的局面。只有确保司机的合法权益得到保障,收入构成合理、透明,抽成比例合适,他们才有更强大 ||| 7月29日消息,从交通运输部获悉,交通运输新业态协同监管部际联席会议办公室当日组织对多家网约车平台、聚合平台公司进行约谈。约谈要求,进一步规范经营行为,合理制定运营规则,加强与司机群体的沟通协商,落实 ||| 摘要:交通运输部明确要求网约车主要平台抽成在18%-30%区间内,但随着网约车聚合模式兴起,聚合平台上出现“阴阳账单”,即司机端、乘客端存在两套订单价格,严重侵害了司机和消费者合法权益,埋下聚合平台网 ||| 全国人大代表、重庆市出租车驾驶员殷其龙:网约车平台抽成可能超40%,建议加强平台监管,明确抽成比例,这样网约车司机的收入也能相应提高。(工人日报客户端记者 陈丹丹) ||| 网约车聚合平台正在打车出行中扮演越来越重要的角色,与此同时,平台对第三方网约车公司缺乏监管,带来的问题也引发了关注。有关专家认为,应进一步明确网约车聚合平台、网约车公司间的权责界定,压实平台责任。 ―",mainstream_news ||| public_web ||| social_media ||| official ||| mainstream_news ||| mainstream_news,https://tech.ifeng.com/c/8WOAmlKXkWQ ||| https://guancha.gmw.cn/zhuanlan/2024-01/16/content_37092423.htm ||| https://www.163.com/dy/article/IASV9IJ20519U3I5.html ||| http://www.dyzx.gov.cn/contents/40/11128.html ||| https://www.workercn.cn/c/2026-03-07/8749933.shtml ||| https://news.youth.cn/sh/202508/t20250805_16157369.htm,,,uncertain,,,,,
