event_id,tuple_id,stakeholder,opinion,sentiment,rationale,event_chain,evidence_ids,evidence_texts,evidence_source_types,evidence_urls,evidence_titles,evidence_dates,adjudication_priority_score,priority_bucket,priority_reason,review_decision,revised_stakeholder,revised_opinion,revised_sentiment,revised_rationale,revised_evidence_ids,reviewer_note,reviewer_id,adjudication_status
E015,LLM_E015_EXP_001,肥乡区相关部门,河北省邯郸市肥乡区初中生被害事件相关工作中，政府部门依法依规进行处理并回应社会关切,neutral,官方文件ev-00331记录了肥乡区相关部门的立场和行动,CHAIN_E015_001: 2024年3月10日，邯郸市肥乡区初一学生王某某被杀害 -> 公安机关立即开展侦破，3月11日犯罪嫌疑人被全部抓获 -> 官方通报案件进展 -> 犯罪嫌疑人被依法采取刑事强制措施，案件在进一步处理 ||| CHAIN_E015_002: 邯郸市肥乡区初一学生王某某被害事件发生 -> 社会广泛关注，媒体大量报道引发公众同情与讨论 -> 肥乡区高度重视，公安机关迅速介入并通报案情 -> 涉案嫌疑人被抓获并采取强制措施 ||| CHAIN_E015_003: 2024年3月10日，学生王某某在肥乡区北高镇张庄村附近被害 -> 多家媒体跟进报道，舆论呼吁加强未成年人保护 -> 肥乡区委员会宣传部通过官方微信公众号发布案情通报 -> 案件正在依法处理中,ev-00331,"“微观肥乡”17日发布通报:3月10日,邯郸市肥乡区初一学生王某某被杀害。案件发生后,肥乡区公安机关立即开展侦破工作。3月11日,涉案犯罪嫌疑人被全部抓获,现已依法采取刑事强制措施。司法机关将对犯罪行",official,http://fzsx.gov.cn/sx/fcsh/80475.htm,,,0.620,high,weak_support_label;few_evidence;single_source_type,uncertain,,,,,,,,
E049,LLM_E049_005,专家,应进一步明确聚合平台与网约车公司的权责，压实平台责任,neutral,专家观点呼吁厘清责任，保障各方权益,CHAIN_E049_001: 媒体调查披露聚合平台网约车阴阳账单和高抽成 -> 司机投诉阴阳账单，乘客质疑抽成过高 -> 交通运输新业态协同监管部际联席会议约谈平台 -> 持续关注抽成透明化治理 ||| CHAIN_E049_EXP_001: 媒体和社交平台披露网约车聚合平台存在“阴阳账单”、抽成不透明等问题 -> 司机、乘客和公众围绕平台抽成比例、账单差异和收入分配提出质疑 -> 交通运输新业态协同监管部际联席会议约谈网约车平台和聚合平台，要求规范经营行为 -> 专家和人大代表进一步建议明确聚合平台权责、加强抽成比例监管并保障司机收入,ev-01390,"网约车聚合平台正在打车出行中扮演越来越重要的角色,与此同时,平台对第三方网约车公司缺乏监管,带来的问题也引发了关注。有关专家认为,应进一步明确网约车聚合平台、网约车公司间的权责界定,压实平台责任。 ―",mainstream_news,https://news.youth.cn/sh/202508/t20250805_16157369.htm,,,0.480,medium,few_evidence;single_source_type;short_candidate_text,uncertain,,,,,,,,
E050,LLM_E050_003,乘客,网约车费用越来越高，怀疑与平台高抽成有关,negative,媒体报道乘客抱怨打车变贵,CHAIN_E050_001: 新华社调查揭露网约车平台高抽成 -> 司机和媒体公开质疑平台抽成不透明 -> 滴滴发布说明回应抽成质疑 -> 滴滴承诺持续推进公开透明 ||| CHAIN_E050_002: 媒体报道网约车平台高额抽成 -> 网约车司机反映收入下降并投诉 -> 滴滴官方回应称少数现象并改进 -> 滴滴排查原因并公布抽成数据 ||| CHAIN_E050_003: 司机和媒体通过个别账单质疑抽成 -> 滴滴确认存在部分订单抽成过高 -> 滴滴解释抽成构成并承诺改进 -> 舆论持续关注平台透明化,ev-02131,"IT之家5月7日消息 近期,新华社揭露网约车平台高额抽成,网约车市场有个怪现象:乘客表示打车越来越贵,司机却感叹挣钱越来越难... 快报 滴滴官方回应抽成高不透明:少数现象,会改进 中新经纬客户端5月",public_web,https://www.ashea.com.cn/zhuanlan/t-di-di_80.html,,,0.480,medium,few_evidence;single_source_type;short_candidate_text,uncertain,,,,,,,,
E002,LLM_E002_003,浦东新区政府,批准改造项目实施方案并提供政策支持,positive,浦东新区人民政府正式批复《唐镇小湾村暮二村等地块“城中村”改造项目实施方案》，体现政策支持。,CHAIN_E002_001: 小湾村、暮二村城中村改造项目启动签约 -> 可建未建房屋建筑问题引发关注 -> 浦东新区政府批复改造实施方案 -> 居民100%签约清盘，安置房启动建设 ||| CHAIN_E002_002: 改造项目征收评估启动 -> 签约过程中出现可建未建等争议 -> 区委领导调研推进城市更新工作 -> 100%居民签约完成及社保方案公告 ||| CHAIN_E002_003: 政府批复城中村改造实施方案 -> 外来租客大规模迁徙引发安置讨论 -> 支持专业化租赁企业参与房源整租运营 -> 安置房建设开工及被征地人员社保方案确认,ev-00049,浦东新区人民政府关于同意《唐镇小湾村暮二村等地块“城中村”改造项目实施方案》的批复 索引号 SY-310115-2024-00190 文件编号 浦府〔2023〕209号 发布机构 区政府 公开类别 主,official,https://www.pudong.gov.cn/zwgk/14527.gkml_ywl_cxjsgl/2024/9/321833.html,,,0.320,medium,few_evidence;single_source_type,uncertain,,,,,,,,
E020,LLM_E020_004,市场监管总局,高度关注事件，要求四川省市场监管部门按地方政府部署依法处置,neutral,市场监管总局关注到事件后，要求省级市场监管部门配合地方党委政府依法妥善处理，确保食品安全。,CHAIN_E020_001: 家长曝光食堂食材发霉变质 -> 社交媒体广泛传播引发关注 -> 政府和教育部门介入调查 -> 联合调查组新闻发布会公布结果 ||| CHAIN_E020_002: 3月12日家长反映食堂问题 -> 网络谣言与家长担忧升级 -> 国家市场监管总局要求核查 -> 3月17日官方调查结果公布 ||| CHAIN_E020_003: 网上曝光食堂食品质量问题 -> 家长到校集中反映质疑 -> 市场监管局封存送检食材 -> 温江区长介绍事件处理措施,ev-01695,"据市场监管总局网站3月13日消息,澎湃新闻(www.thepaper.cn)记者了解到,市场监管总局高度关注四川省成都市七中实验学校食堂食品原料存在的问题,已经要求四川省市场监管部门按照地方党委、政府",mainstream_news,https://www.thepaper.cn/newsDetail_forward_3129164,,,0.320,medium,few_evidence;single_source_type,uncertain,,,,,,,,
E020,LLM_E020_005,温江区政府,通报事件处理进展，封存食品原料并送检,positive,温江区政府新闻办公室在官方微博通报称，相关部门已赶赴学校处理，区市场监管局对食品原料封存送检。,CHAIN_E020_001: 家长曝光食堂食材发霉变质 -> 社交媒体广泛传播引发关注 -> 政府和教育部门介入调查 -> 联合调查组新闻发布会公布结果 ||| CHAIN_E020_002: 3月12日家长反映食堂问题 -> 网络谣言与家长担忧升级 -> 国家市场监管总局要求核查 -> 3月17日官方调查结果公布 ||| CHAIN_E020_003: 网上曝光食堂食品质量问题 -> 家长到校集中反映质疑 -> 市场监管局封存送检食材 -> 温江区长介绍事件处理措施,ev-01698,"针对成都七中实验学校小学部学生家长近日反映的食堂食品发霉变质问题,成都市温江区人民政府新闻办公室13日在官方微博通报称,温江区相关部门及时赶赴学校进行处理。目前,区市场监管局已对食品原料封存并送检,结",social_media,http://views.ce.cn/view/ent/201903/15/t20190315_31684731.shtml,,,0.320,medium,few_evidence;single_source_type,uncertain,,,,,,,,
E049,LLM_E049_002,交通运输部（监管机构）,约谈聚合平台，要求规范经营、合理制定运营规则、加强与司机沟通协商,positive,官方公告显示监管机构已采取行动促进行业规范,CHAIN_E049_001: 媒体调查披露聚合平台网约车阴阳账单和高抽成 -> 司机投诉阴阳账单，乘客质疑抽成过高 -> 交通运输新业态协同监管部际联席会议约谈平台 -> 持续关注抽成透明化治理 ||| CHAIN_E049_EXP_001: 媒体和社交平台披露网约车聚合平台存在“阴阳账单”、抽成不透明等问题 -> 司机、乘客和公众围绕平台抽成比例、账单差异和收入分配提出质疑 -> 交通运输新业态协同监管部际联席会议约谈网约车平台和聚合平台，要求规范经营行为 -> 专家和人大代表进一步建议明确聚合平台权责、加强抽成比例监管并保障司机收入,ev-01386,"7月29日消息,从交通运输部获悉,交通运输新业态协同监管部际联席会议办公室当日组织对多家网约车平台、聚合平台公司进行约谈。约谈要求,进一步规范经营行为,合理制定运营规则,加强与司机群体的沟通协商,落实",social_media,https://www.163.com/dy/article/IASV9IJ20519U3I5.html,,,0.320,medium,few_evidence;single_source_type,uncertain,,,,,,,,
E049,LLM_E049_004,全国人大代表,建议加强平台监管，明确抽成比例，提高司机收入,neutral,人大代表在公开场合提出监管建议,CHAIN_E049_001: 媒体调查披露聚合平台网约车阴阳账单和高抽成 -> 司机投诉阴阳账单，乘客质疑抽成过高 -> 交通运输新业态协同监管部际联席会议约谈平台 -> 持续关注抽成透明化治理 ||| CHAIN_E049_EXP_001: 媒体和社交平台披露网约车聚合平台存在“阴阳账单”、抽成不透明等问题 -> 司机、乘客和公众围绕平台抽成比例、账单差异和收入分配提出质疑 -> 交通运输新业态协同监管部际联席会议约谈网约车平台和聚合平台，要求规范经营行为 -> 专家和人大代表进一步建议明确聚合平台权责、加强抽成比例监管并保障司机收入,ev-01400,"全国人大代表、重庆市出租车驾驶员殷其龙:网约车平台抽成可能超40%,建议加强平台监管,明确抽成比例,这样网约车司机的收入也能相应提高。(工人日报客户端记者 陈丹丹)",mainstream_news,https://www.workercn.cn/c/2026-03-07/8749933.shtml,,,0.320,medium,few_evidence;single_source_type,uncertain,,,,,,,,
E050,LLM_E050_001,网约车司机,平台抽成比例过高且计算方式不透明，司机收入占比低,negative,司机和媒体质疑抽成比例过高，且对每单抽成比例和计算方式不知情,CHAIN_E050_001: 新华社调查揭露网约车平台高抽成 -> 司机和媒体公开质疑平台抽成不透明 -> 滴滴发布说明回应抽成质疑 -> 滴滴承诺持续推进公开透明 ||| CHAIN_E050_002: 媒体报道网约车平台高额抽成 -> 网约车司机反映收入下降并投诉 -> 滴滴官方回应称少数现象并改进 -> 滴滴排查原因并公布抽成数据 ||| CHAIN_E050_003: 司机和媒体通过个别账单质疑抽成 -> 滴滴确认存在部分订单抽成过高 -> 滴滴解释抽成构成并承诺改进 -> 舆论持续关注平台透明化,ev-02136,"近期,有网约车司机和媒体对网约车平台抽成提出质疑,认为一些平台抽成比例过高,且司机和乘客对每一单的抽成比例、计算方式不知情。5月7号,滴滴出行发布说明显示,2020年滴滴网约车司机收入占乘客应付总额的",public_web,https://www.hebtv.com/0/0rmhlm/mt/992kp/hbxwmzl992kp/10269575.shtml,,,0.320,medium,few_evidence;single_source_type,uncertain,,,,,,,,
E002,LLM_E002_001,小湾村、暮二村居民,支持城中村改造，100%完成签约,positive,多来源报道显示848户居民在签约期内全部完成签约，无遗留户，表明居民普遍支持改造方案。,CHAIN_E002_001: 小湾村、暮二村城中村改造项目启动签约 -> 可建未建房屋建筑问题引发关注 -> 浦东新区政府批复改造实施方案 -> 居民100%签约清盘，安置房启动建设 ||| CHAIN_E002_002: 改造项目征收评估启动 -> 签约过程中出现可建未建等争议 -> 区委领导调研推进城市更新工作 -> 100%居民签约完成及社保方案公告 ||| CHAIN_E002_003: 政府批复城中村改造实施方案 -> 外来租客大规模迁徙引发安置讨论 -> 支持专业化租赁企业参与房源整租运营 -> 安置房建设开工及被征地人员社保方案确认,ev-00042;ev-00044;ev-00041,"摘要:浦东小湾村将变身高新产业园区。2024年1月3日,浦东唐镇小湾村“城中村”改造项目提前3天实现100%居民征收签约。与此同时,首批征收安置房地块启动建设,将提供2500余套安置房源,建筑面积共约 ||| 12月23日上午9时,唐镇小湾村、暮二村等地块“城中村”项目正式启动签约,此次签约将分成九个地块陆续启动。首先签约的是九号地块,共41产集土居民,当天100%签约,实现清盘。安置房源都在唐镇镇域内,分 ||| 近日,随着最后一户签约完成,唐镇小湾村、暮二村等地块“城中村”改造项目(以下简称“小湾村项目”)848产(1000多户)居民100%签约实现清盘,村民们住上新房的愿望,以不落下一户的方式全部得以实现。",social_media ||| mainstream_news ||| mainstream_news,https://www.163.com/dy/article/INP4R12A055040N3.html ||| https://www.jfdaily.com/sgh/detail?id=1212752 ||| https://m.thepaper.cn/newsDetail_forward_26021880,,,0.000,low,low_risk,uncertain,,,,,,,,
