event_id,candidate_chain_id,source_type,event_chain,evidence_ids,human_decision,gold_event_chain,gold_evidence_ids,edit_reason,reviewer_id,adjudication_status,notes
E001,E001_CHAIN_CANDIDATE,system_candidate,trigger;diffusion;conflict;response;resolution;follow_up,,,trigger;diffusion;conflict;response;resolution;follow_up,,,,,
E002,E002_CHAIN_CANDIDATE,system_candidate,trigger;diffusion;conflict;response;resolution;follow_up,ev-00072;ev-00061;ev-00075;ev-00066;ev-00067;ev-00054;ev-00077;ev-00083;ev-00086,,trigger;diffusion;conflict;response;resolution;follow_up,ev-00072;ev-00061;ev-00075;ev-00066;ev-00067;ev-00054;ev-00077;ev-00083;ev-00086,,,,
E003,E003_CHAIN_CANDIDATE,system_candidate,trigger;diffusion;conflict;response;resolution;follow_up,ev-00147;ev-00112;ev-00127;ev-02529;ev-00122;ev-02531;ev-02519;ev-00144;ev-00111;ev-00130,,trigger;diffusion;conflict;response;resolution;follow_up,ev-00147;ev-00112;ev-00127;ev-02529;ev-00122;ev-02531;ev-02519;ev-00144;ev-00111;ev-00130,,,,
E004,E004_CHAIN_CANDIDATE,system_candidate,trigger;diffusion;conflict;response;resolution;follow_up,ev-02536;ev-00190;ev-02537;ev-00175;ev-02545;ev-02532;ev-02538;ev-00182;ev-02533;ev-02544,,trigger;diffusion;conflict;response;resolution;follow_up,ev-02536;ev-00190;ev-02537;ev-00175;ev-02545;ev-02532;ev-02538;ev-00182;ev-02533;ev-02544,,,,
E005,E005_CHAIN_CANDIDATE,system_candidate,trigger;diffusion;conflict;response;resolution;follow_up,ev-00218;ev-00203;ev-00250;ev-00228;ev-00220;ev-00212;ev-00230;ev-00209;ev-00216;ev-00231,,trigger;diffusion;conflict;response;resolution;follow_up,ev-00218;ev-00203;ev-00250;ev-00228;ev-00220;ev-00212;ev-00230;ev-00209;ev-00216;ev-00231,,,,
E006,E006_CHAIN_CANDIDATE,system_candidate,trigger;diffusion;conflict;response;resolution;follow_up,ev-00296;ev-00258;ev-00298;ev-00278;ev-00263;ev-00260;ev-00271;ev-00254;ev-00299;ev-00297;ev-00289,,trigger;diffusion;conflict;response;resolution;follow_up,ev-00296;ev-00258;ev-00298;ev-00278;ev-00263;ev-00260;ev-00271;ev-00254;ev-00299;ev-00297;ev-00289,,,,
E007,E007_CHAIN_CANDIDATE,system_candidate,trigger;diffusion;conflict;response;resolution;follow_up,ev-00320;ev-00309;ev-00341;ev-00324;ev-00329;ev-00306;ev-00335;ev-00303;ev-00345;ev-00327;ev-00328;ev-00337,,trigger;diffusion;conflict;response;resolution;follow_up,ev-00320;ev-00309;ev-00341;ev-00324;ev-00329;ev-00306;ev-00335;ev-00303;ev-00345;ev-00327;ev-00328;ev-00337,,,,
E008,E008_CHAIN_CANDIDATE,system_candidate,trigger;diffusion;conflict;response;resolution;follow_up,ev-00392;ev-00380;ev-00360;ev-00385;ev-00382;ev-00390;ev-00367;ev-00364,,trigger;diffusion;conflict;response;resolution;follow_up,ev-00392;ev-00380;ev-00360;ev-00385;ev-00382;ev-00390;ev-00367;ev-00364,,,,
E009,E009_CHAIN_CANDIDATE,system_candidate,trigger;diffusion;conflict;response;resolution;follow_up,ev-02560;ev-00412;ev-00447;ev-02562;ev-00429;ev-00438;ev-00430;ev-00431;ev-00432;ev-00407,,trigger;diffusion;conflict;response;resolution;follow_up,ev-02560;ev-00412;ev-00447;ev-02562;ev-00429;ev-00438;ev-00430;ev-00431;ev-00432;ev-00407,,,,
E010,E010_CHAIN_CANDIDATE,system_candidate,trigger;diffusion;conflict;response;resolution;follow_up,ev-00454;ev-00453;ev-00483;ev-00449;ev-00476;ev-00484;ev-00455;ev-00471;ev-00488;ev-00451,,trigger;diffusion;conflict;response;resolution;follow_up,ev-00454;ev-00453;ev-00483;ev-00449;ev-00476;ev-00484;ev-00455;ev-00471;ev-00488;ev-00451,,,,
