record_type,event_id,record_id,evidence_ids,independent_source_count,independent_sources,missing_evidence_ids,confidence_route,required_action
tuple,E001,LLM_E001_001,ev-00001;ev-00008;ev-00015,3,by.gov.cn;gz.gov.cn;new.qq.com,,silver_candidate,standard_review
tuple,E001,LLM_E001_002,ev-00001;ev-00002;ev-00007,2,gz.gov.cn;new.qq.com,,silver_candidate,standard_review
tuple,E001,LLM_E001_003,ev-00010,1,sohu.com,,low_confidence,human_review_required
tuple,E001,LLM_E001_004,ev-00010,1,sohu.com,,low_confidence,human_review_required
tuple,E001,LLM_E001_005,ev-00022,1,new.qq.com,,low_confidence,human_review_required
tuple,E001,LLM_E001_006,ev-00023,1,m.110ask.com,,low_confidence,human_review_required
tuple,E002,LLM_E002_001,ev-00049,1,pudong.gov.cn,,low_confidence,human_review_required
tuple,E002,LLM_E002_002,ev-00046;ev-00047;ev-00048,1,pudong.gov.cn,,low_confidence,human_review_required
tuple,E002,LLM_E002_003,ev-00041;ev-00042;ev-00044,3,163.com;jfdaily.com;m.thepaper.cn,,silver_candidate,standard_review
tuple,E002,LLM_E002_004,ev-00042;ev-00044,2,163.com;jfdaily.com,,silver_candidate,standard_review
tuple,E002,LLM_E002_005,ev-01416;ev-00042,2,163.com;pudong.gov.cn,,silver_candidate,standard_review
tuple,E002,LLM_E002_006,ev-00039;ev-01412;ev-01413,2,chinapipe.net;sh.bidcenter.com.cn,,silver_candidate,standard_review
tuple,E003,LLM_E003_001,ev-00056;ev-00060;ev-01438,3,m.sohu.com;news.sohu.com;xiaoqushuo.com,,silver_candidate,standard_review
tuple,E003,LLM_E003_002,ev-01438,1,xiaoqushuo.com,,low_confidence,human_review_required
tuple,E003,LLM_E003_003,ev-00056;ev-00057;ev-00060;ev-01437,4,cbi360.net;finance.eastmoney.com;m.sohu.com;news.sohu.com,,silver_candidate,standard_review
tuple,E003,LLM_E003_004,ev-00059;ev-00061;ev-00062;ev-01438;ev-00065,4,m.fang.com;sz.news.fang.com;szlh.gov.cn;xiaoqushuo.com,,silver_candidate,standard_review
tuple,E003,LLM_E003_005,ev-00057;ev-00059;ev-00061;ev-00062;ev-01435,4,163.com;finance.eastmoney.com;m.fang.com;sz.news.fang.com,,silver_candidate,standard_review
tuple,E003,LLM_E003_006,ev-01436,1,pnr.sz.gov.cn,,low_confidence,human_review_required
tuple,E004,LLM_E004_001,ev-00077;ev-00081;ev-00082;ev-00083;ev-01455,5,163.com;business.china.com;finance.jrj.com.cn;new.qq.com;sohu.com,,silver_candidate,standard_review
tuple,E004,LLM_E004_002,ev-00080;ev-00086;ev-00087,2,gz.gov.cn;hp.gov.cn,,silver_candidate,standard_review
tuple,E004,LLM_E004_003,ev-00080;ev-00086;ev-00087,2,gz.gov.cn;hp.gov.cn,,silver_candidate,standard_review
tuple,E004,LLM_E004_004,ev-00081;ev-00082;ev-00083;ev-00084,4,business.china.com;new.qq.com;sohu.com;toutiao.com,,silver_candidate,standard_review
tuple,E004,LLM_E004_005,ev-00084,1,toutiao.com,,low_confidence,human_review_required
tuple,E004,LLM_E004_006,ev-00077;ev-00081;ev-00082;ev-00083;ev-00085;ev-01455,5,163.com;business.china.com;finance.jrj.com.cn;new.qq.com;sohu.com,,silver_candidate,standard_review
tuple,E005,LLM_E005_001,ev-00096;ev-00097,1,kankanews.com,,low_confidence,human_review_required
tuple,E005,LLM_E005_002,ev-00096;ev-00097,1,kankanews.com,,low_confidence,human_review_required
tuple,E005,LLM_E005_003,ev-00096;ev-00097,1,kankanews.com,,low_confidence,human_review_required
tuple,E005,LLM_E005_004,ev-00096;ev-00097,1,kankanews.com,,low_confidence,human_review_required
tuple,E005,LLM_E005_005,ev-00111,1,shanghai.gov.cn,,low_confidence,human_review_required
tuple,E005,LLM_E005_006,ev-00112,1,shanghai.gov.cn,,low_confidence,human_review_required
tuple,E006,LLM_E006_001,ev-00116,1,sohu.com,,low_confidence,human_review_required
tuple,E006,LLM_E006_002,ev-00116,1,sohu.com,,low_confidence,human_review_required
tuple,E006,LLM_E006_003,ev-00116,1,sohu.com,,low_confidence,human_review_required
tuple,E006,LLM_E006_004,ev-00125,1,xiaoqushuo.com,,low_confidence,human_review_required
tuple,E006,LLM_E006_005,ev-00130,1,gz.gov.cn,,low_confidence,human_review_required
tuple,E006,LLM_E006_006,ev-00133,1,scjgj.gz.gov.cn,,low_confidence,human_review_required
tuple,E007,LLM_E007_001,ev-00137,1,api.app.anhuinews.com,,low_confidence,human_review_required
tuple,E007,LLM_E007_002,ev-00137,1,api.app.anhuinews.com,,low_confidence,human_review_required
tuple,E007,LLM_E007_003,ev-00137,1,api.app.anhuinews.com,,low_confidence,human_review_required
tuple,E007,LLM_E007_004,ev-00137,1,api.app.anhuinews.com,,low_confidence,human_review_required
tuple,E007,LLM_E007_005,ev-00139,1,k.sina.com.cn,,low_confidence,human_review_required
tuple,E007,LLM_E007_006,ev-00139,1,k.sina.com.cn,,low_confidence,human_review_required
tuple,E008,LLM_E008_001,ev-00164;ev-00179;ev-00156,3,doc88.com;syney.net;ykbyq.lncourt.gov.cn,,silver_candidate,standard_review
tuple,E008,LLM_E008_002,ev-00164;ev-00179;ev-00165,3,lawyer.110.com;syney.net;ykbyq.lncourt.gov.cn,,silver_candidate,standard_review
tuple,E008,LLM_E008_003,ev-00165;ev-00179,2,lawyer.110.com;ykbyq.lncourt.gov.cn,,silver_candidate,standard_review
tuple,E008,LLM_E008_004,ev-00156;ev-00164;ev-00179,3,doc88.com;syney.net;ykbyq.lncourt.gov.cn,,silver_candidate,standard_review
tuple,E008,LLM_E008_005,ev-00161,1,lawtime.cn,,low_confidence,human_review_required
tuple,E008,LLM_E008_006,ev-00156;ev-00165;ev-00179,3,doc88.com;lawyer.110.com;ykbyq.lncourt.gov.cn,,silver_candidate,standard_review
tuple,E009,LLM_E009_001,ev-00205;ev-01536,1,news.cnr.cn,,low_confidence,human_review_required
tuple,E009,LLM_E009_002,ev-00205;ev-01536,1,news.cnr.cn,,low_confidence,human_review_required
tuple,E009,LLM_E009_003,ev-00207;ev-01536,2,m.sohu.com;news.cnr.cn,,silver_candidate,standard_review
tuple,E009,LLM_E009_004,ev-00207,1,m.sohu.com,,low_confidence,human_review_required
tuple,E009,LLM_E009_005,ev-00205,1,news.cnr.cn,,low_confidence,human_review_required
tuple,E009,LLM_E009_006,ev-00206,1,toutiao.com,,low_confidence,human_review_required
tuple,E011,LLM_E011_001,ev-00243;ev-01572;ev-01576,3,finance.ifeng.com;infzm.com;m.sohu.com,,silver_candidate,standard_review
tuple,E011,LLM_E011_002,ev-00242;ev-01571,2,finance.sina.com.cn;toutiao.com,,silver_candidate,standard_review
tuple,E011,LLM_E011_003,ev-00242;ev-00249,2,163.com;toutiao.com,,silver_candidate,standard_review
tuple,E011,LLM_E011_004,ev-00242;ev-00248,2,k.sina.com.cn;toutiao.com,,silver_candidate,standard_review
tuple,E011,LLM_E011_005,ev-00245;ev-00249,2,163.com;sohu.com,,silver_candidate,standard_review
tuple,E011,LLM_E011_006,ev-00246,1,163.com,,low_confidence,human_review_required
tuple,E012,LLM_E012_001,ev-01591;ev-00262;ev-00261,3,163.com;m.szhgh.com;toutiao.com,,silver_candidate,standard_review
tuple,E012,LLM_E012_002,ev-00260;ev-01594,2,163.com;toutiao.com,,silver_candidate,standard_review
tuple,E012,LLM_E012_003,ev-00268;ev-01597,2,cj.sina.com.cn;opinion.voc.com.cn,,silver_candidate,standard_review
tuple,E012,LLM_E012_004,ev-00266,1,toutiao.com,,low_confidence,human_review_required
tuple,E012,LLM_E012_005,ev-01593,1,law.rednet.cn,,low_confidence,human_review_required
tuple,E012,LLM_E012_006,ev-01597;ev-00269,2,cj.sina.com.cn;kankanews.com,,silver_candidate,standard_review
tuple,E013,LLM_E013_001,ev-00280;ev-01624,2,news.cctv.com;toutiao.com,,silver_candidate,standard_review
tuple,E013,LLM_E013_002,ev-00284;ev-01611,2,app.myzaker.com;news.cctv.com,,silver_candidate,standard_review
tuple,E013,LLM_E013_003,ev-01621;ev-01623;ev-00285,3,hinews.cn;isee.weishi.qq.com;new.qq.com,,silver_candidate,standard_review
tuple,E013,LLM_E013_004,ev-01624;ev-01622,2,m.sohu.com;news.cctv.com,,silver_candidate,standard_review
tuple,E013,LLM_E013_005,ev-00285,1,isee.weishi.qq.com,,low_confidence,human_review_required
tuple,E013,LLM_E013_006,ev-01617;ev-01618,2,finance.sina.com.cn;sohu.com,,silver_candidate,standard_review
tuple,E014,LLM_E014_001,ev-00309;ev-01640,2,m.sohu.com;m.szhgh.com,,silver_candidate,standard_review
tuple,E014,LLM_E014_002,ev-00302;ev-00303;ev-00304;ev-01639,4,jiemian.com;mnsac.com;news.dayoo.com;thepaper.cn,,silver_candidate,standard_review
tuple,E014,LLM_E014_003,ev-00300;ev-00320;ev-00323,1,toutiao.com,,low_confidence,human_review_required
tuple,E014,LLM_E014_004,ev-00301;ev-00306;ev-00307,1,toutiao.com,,low_confidence,human_review_required
tuple,E014,LLM_E014_005,ev-00308;ev-00324;ev-01640,3,m.sohu.com;m.toutiao.com;toutiao.com,,silver_candidate,standard_review
tuple,E014,LLM_E014_006,ev-00325,1,zhuanlan.zhihu.com,,low_confidence,human_review_required
tuple,E015,LLM_E015_001,ev-00326;ev-00329;ev-00333,3,cn.chinadaily.com.cn;finance.sina.cn;nmgcb.com.cn,,silver_candidate,standard_review
tuple,E015,LLM_E015_002,ev-00331;ev-00333;ev-00348,3,finance.sina.cn;fzsx.gov.cn;toutiao.com,,silver_candidate,standard_review
tuple,E015,LLM_E015_003,ev-00331,1,fzsx.gov.cn,,low_confidence,human_review_required
tuple,E015,LLM_E015_004,ev-00327,1,toutiao.com,,low_confidence,human_review_required
tuple,E015,LLM_E015_005,ev-00346,1,toutiao.com,,low_confidence,human_review_required
tuple,E015,LLM_E015_006,ev-00346,1,toutiao.com,,low_confidence,human_review_required
tuple,E016,LLM_E016_001,ev-00364;ev-00382,2,fangcheng.01ny.cn;sohu.com,,silver_candidate,standard_review
tuple,E016,LLM_E016_002,ev-00368,1,m.jiemian.com,,low_confidence,human_review_required
tuple,E016,LLM_E016_003,ev-00366;ev-00367;ev-00369,3,news.china.com;sohu.com;toutiao.com,,silver_candidate,standard_review
tuple,E016,LLM_E016_004,ev-00380,1,m.163.com,,low_confidence,human_review_required
tuple,E016,LLM_E016_005,ev-00361;ev-00362;ev-00370,3,c.m.163.com;jiemian.com;news.china.com,,silver_candidate,standard_review
tuple,E016,LLM_E016_006,ev-00381;ev-00382;ev-00384,2,sohu.com;toutiao.com,,silver_candidate,standard_review
tuple,E017,LLM_E017_001,ev-00403;ev-00404;ev-00409,3,edu.sina.com.cn;finance.sina.com.cn;news.bjd.com.cn,,silver_candidate,standard_review
tuple,E017,LLM_E017_002,ev-00403;ev-00405;ev-00408,3,finance.sina.com.cn;news.bjd.com.cn;news.china.com,,silver_candidate,standard_review
tuple,E017,LLM_E017_003,ev-00403;ev-00405;ev-00409,3,edu.sina.com.cn;finance.sina.com.cn;news.bjd.com.cn,,silver_candidate,standard_review
tuple,E017,LLM_E017_004,ev-00423;ev-00424;ev-00425,3,m.thepaper.cn;new.qq.com;toutiao.com,,silver_candidate,standard_review
tuple,E017,LLM_E017_005,ev-00406;ev-00424;ev-00425,2,m.thepaper.cn;new.qq.com,,silver_candidate,standard_review
tuple,E017,LLM_E017_006,ev-00410;ev-00423;ev-00424,3,new.qq.com;sohu.com;toutiao.com,,silver_candidate,standard_review
tuple,E018,LLM_E018_001,ev-00437;ev-00440;ev-00446,3,app.myzaker.com;sohu.com;toutiao.china.com,,silver_candidate,standard_review
tuple,E018,LLM_E018_002,ev-00439;ev-01652;ev-01653,2,163.com;toutiao.china.com,,silver_candidate,standard_review
tuple,E018,LLM_E018_003,ev-00441,1,toutiao.china.com,,low_confidence,human_review_required
tuple,E018,LLM_E018_004,ev-01651;ev-00443;ev-01657,3,gz.news.fang.com;m.fang.com;toutiao.china.com,,silver_candidate,standard_review
tuple,E018,LLM_E018_005,ev-01651,1,toutiao.china.com,,low_confidence,human_review_required
tuple,E018,LLM_E018_006,ev-00442;ev-00445;ev-01657,2,m.fang.com;sohu.com,,silver_candidate,standard_review
tuple,E019,LLM_E019_001,ev-00458;ev-01680,2,finance.sina.com.cn;toutiao.com,,silver_candidate,standard_review
tuple,E019,LLM_E019_002,ev-00461,1,m.xfb315.com,,low_confidence,human_review_required
tuple,E019,LLM_E019_003,ev-01677;ev-01678,1,tousu.sina.cn,,low_confidence,human_review_required
tuple,E019,LLM_E019_004,ev-00458,1,finance.sina.com.cn,,low_confidence,human_review_required
tuple,E019,LLM_E019_005,ev-01676,1,sd.china.com,,low_confidence,human_review_required
tuple,E019,LLM_E019_006,ev-00460;ev-01682,1,163.com,,low_confidence,human_review_required
tuple,E021,LLM_E021_001,ev-00498;ev-00500;ev-00505;ev-01716,4,finance.sina.com.cn;news.southcn.com;thepaper.cn;toutiao.com,,silver_candidate,standard_review
