event_id,tuple_id,stakeholder,opinion,sentiment,rationale,evidence_ids,supporting_evidence_text,human_judgment,error_type,corrected_stakeholder,corrected_opinion,corrected_sentiment,corrected_rationale,corrected_evidence_ids,guideline_change_needed,prompt_change_needed,notes
E001,,,,,,,,missing_gold_tuple,missing_tuple,,,,,,,,
E002,LLM_E002_001,低层住户,反对加装电梯，认为影响采光且补偿方案未协商好，多次阻挠施工,negative,ev-00062中低层业主因采光问题阻挠施工，并对补偿方案不满，被施工单位起诉,ev-00062,ev-00062: 低层业主多次阻挠加装电梯施工被起诉 【发布时间：2023-09-20 17:10:06】 【稿件来源：】 【作者：】 【关闭】 住宅楼加装电梯影响采光 低层业主不满补偿方案 三番四次阻挠施工 后被施工单位诉至法院 【基本案情】 2018年11月，住建部门对涉案住宅楼核发《建设工程规划许可证》，同意加装电梯。 钟阿姨为低层业主之一，其与女儿刘女士认为，电梯加装工程影响其采光，高层业主并未与其协商好补偿方案，遂采取多种方式阻挠加装电梯，亦与高层业主发生多次诉讼。 2021年3月，业主张先生受多数住户委托，与某公司签订了《建筑工程施工合同》，约定由某公司承包加装电梯井道工程。施工期间，钟阿姨曾多次在施工现场甚至站在挖掘机旁阻挠施工，影响某公司施工进度。 2021年8月，某公司将钟阿姨、刘女士诉至法院，主张其二人阻挠施工，导致至今未能完工，请求法院判令钟阿姨、刘女士不得对电梯施工进行阻挠和破坏，并以每天3000元的标准赔偿该司自2021年6月29日起至二人停止阻挠施工之日止的损失。 【裁判结果】 广州市海珠区人民法院一审判决：钟阿姨不得对电梯施工进行阻挠和破坏，并向某公司支付3600元，驳回某,,,,,,,,,,candidate_chains=3
E002,LLM_E002_002,高层住户,支持加装电梯，愿意出资并推动工程，认为出行便利受益大,positive,ev-00068中32户业主同意加装电梯并出资，ev-00070反映高层老年住户出行困难，加梯需求强烈,ev-00068;ev-00070,"ev-00068: 冲上热搜！老人反对加装电梯，建好又想补交钱使用，被全楼拒绝！法院判了→ 2023-11-12 09:31:13 来源：法治网 11日下午，'老人反对装电梯建好又想用被全楼拒绝'冲上热搜，引发热议。 近日，最高人民法院发布老旧小区既有住宅加装电梯典型案例。 其中一个案例就是老人反对装电梯建好又想用被全楼拒绝，因为邻居认为他让工程延误1年多。以下为案例内容—— 未同意加装电梯业主补交出资后有权使用电梯 ——郭某与谢某等建筑物区分所有权纠纷案 一、基本案情 广东省广州市荔湾区某小区某栋9层住宅楼业主于2017-2018年商议加装电梯，44户业主中有32户业主同意。居住于3楼、年近八旬的业主郭某因有异议未参与出资。电梯投入使用后，郭某提出希望在补交相应集资款后使用电梯，但32户业主认为郭某前期对加装电梯有异议，导致加装电梯工程延误一年多，反对其使用电梯。郭某向人民法院起诉，请求确认其在按前期加装电梯筹资方案支付10077元费用后，对新建电梯拥有与32户业主同等的权利和义务。 二、裁判结果 广东省广州市荔湾区人民法院审理认为，案涉电梯在使用属性上系建筑物的共有部分，郭某与其他业主对电梯享有使用权
ev-00070: 凝聚各方力量，加速实现'加梯梦' ——昌平区霍营街道华龙苑南里小区 信息来源：北京市住房和城乡建设委员会 发布时间：2023年10月08日 一、基本情况 昌平区华龙苑南里小区始建于上世纪九十年代，小区内30栋老楼均为无电梯的五层或六层住宅楼，共154个单元。小区居住有2128户、约6000余人。常住居民以退休的老年人居多，其中年龄超过60岁的老人近1600人，占到小区人口的三成左右。该小区建设年代较久，基础设施老化、设施设备不完善，特别是随着人口老龄化加剧，小区内老人、小孩上、下楼出行困难的问题越来越显著，居民加装电梯的需求也越来越强烈。 二、主要做法与成效 （一）以'线上为主，线下为辅'方式开展加梯政策宣传 街道、社区根据居民诉求，积极开展加装电梯政策宣传。为做到加梯、防疫两不误，开展以'线上为主，线下为辅'方式进行政策宣传，对年轻业主采取线上宣传，对老年业主采取线下宣传，让每位业主都能够了解相关政策，动员业主积极参与和支持。 （二）有序开展居民协商，破解居民疑虑 加装电梯推进过程中，居民意见达成一致是第一关。为促进居民协商一致，化解低层住户疑虑，街道、社区委托实施主体到现场实地勘察",,,,,,,,,,candidate_chains=3
E002,LLM_E002_003,社区居委会,组织居民协商，宣传政策，协调各方利益，推动加装电梯,positive,ev-00075明确街道和社区利用党建工作协调委员会作为协商平台，ev-00070展示街道社区开展线上线下宣传和协商,ev-00075;ev-00070,"ev-00075: 主题分类：城乡建设、环境保护/城乡建设（含住房）/老旧小区综合整治 制发单位：北京市住房和城乡建设委员会 有 效 性：现行有效 成文日期：2022年01月17日 发布日期：2022年02月10日 发文字号：京建发〔2022〕11号 北京市住房和城乡建设委员会印发《关于进一步做好既有多层住宅加装电梯业主协商工作指引》的通知 各有关单位： 为进一步做好本市既有多层住宅加装电梯工作，指导各区建立完善协商机制，组织引导居民协商，促进居民达成一致意见，市住房城乡建设委制定了《关于进一步做好既有多层住宅加装电梯业主协商工作指引》，现印发给你们，请参照执行。执行中有何问题和建议，请及时反馈我委。 北京市住房和城乡建设委员会 2022年1月17日 关于进一步做好既有多层住宅加装电梯业主协商工作指引 第一条 为进一步做好既有多层住宅加装电梯居民协商工作，依据国家和本市相关法律法规及《北京市老旧小区综合整治工作手册》，结合本市实际，制定本工作指引。 第二条 属地街道（乡镇）和社区利用党建工作协调委员会作为既有住宅加装电梯业主协商工作平台，组织业委会（物管会）、责任规划师、实施主体、物业服务人、设计单位、施
ev-00070: 凝聚各方力量，加速实现'加梯梦' ——昌平区霍营街道华龙苑南里小区 信息来源：北京市住房和城乡建设委员会 发布时间：2023年10月08日 一、基本情况 昌平区华龙苑南里小区始建于上世纪九十年代，小区内30栋老楼均为无电梯的五层或六层住宅楼，共154个单元。小区居住有2128户、约6000余人。常住居民以退休的老年人居多，其中年龄超过60岁的老人近1600人，占到小区人口的三成左右。该小区建设年代较久，基础设施老化、设施设备不完善，特别是随着人口老龄化加剧，小区内老人、小孩上、下楼出行困难的问题越来越显著，居民加装电梯的需求也越来越强烈。 二、主要做法与成效 （一）以'线上为主，线下为辅'方式开展加梯政策宣传 街道、社区根据居民诉求，积极开展加装电梯政策宣传。为做到加梯、防疫两不误，开展以'线上为主，线下为辅'方式进行政策宣传，对年轻业主采取线上宣传，对老年业主采取线下宣传，让每位业主都能够了解相关政策，动员业主积极参与和支持。 （二）有序开展居民协商，破解居民疑虑 加装电梯推进过程中，居民意见达成一致是第一关。为促进居民协商一致，化解低层住户疑虑，街道、社区委托实施主体到现场实地勘察",,,,,,,,,,candidate_chains=3
E002,LLM_E002_004,高层住户,认为费用应按楼层受益大小分摊，高层应多出资，低层少或不出资,neutral,ev-00059给出各层出资比例指导，体现高层多出、低层少出原则，反映多数高层用户接受此分摊方案,ev-00059,ev-00059: '各层业主分别该出多少钱？'往往是老楼加装电梯前期协商过程中居民的争议点。8月26日，市住建委发布《关于公布既有多层住宅加装电梯业主出资比例指导标准的通知》，为各层业主加装电梯的分摊费用提供了参考。 老楼加装电梯是北京市重要民生实事项目之一。北京自开展加装电梯工作以来，加装电梯资金筹集主要以业主自筹为主，并遵循'谁受益、谁出资，谁使用、谁付费'的原则筹资加装电梯。但是在居民协商过程中，由于低层住户受益小、高层住户受益大，各层业主究竟该如何分摊费用，很难达成一致意见。 为了使居民意愿达成一致，积极推动既有多层住宅加装电梯工作，市住建委在总结本市既有多层住宅加装电梯成功案例的基础上，发布了该通知。根据通知，对于入户方式为半层入户的6层老楼，1层业主不用出资，2层业主出资比例为4%至6%，3层业主出资比例为11%至13%，4层业主出资比例为19%至21%，5层业主出资比例为27%至29%，6层住户出资比例为32%至34%。 此外，对于入户方式为平层入户的6层老楼，如果没有新增连廊，各层业主出资的指导比例区间与半层入户的相同。而如果有新增连廊的话，除了一层业主外，其他楼层的业主将均摊出资费用。,,,,,,,,,,candidate_chains=3
E002,LLM_E002_005,施工单位,因低层住户阻挠施工导致工期延误，起诉要求停止阻挠并赔偿损失,negative,ev-00062中施工单位将阻挠施工的低层业主诉至法院，要求排除妨害并赔偿每日3000元损失,ev-00062,ev-00062: 低层业主多次阻挠加装电梯施工被起诉 【发布时间：2023-09-20 17:10:06】 【稿件来源：】 【作者：】 【关闭】 住宅楼加装电梯影响采光 低层业主不满补偿方案 三番四次阻挠施工 后被施工单位诉至法院 【基本案情】 2018年11月，住建部门对涉案住宅楼核发《建设工程规划许可证》，同意加装电梯。 钟阿姨为低层业主之一，其与女儿刘女士认为，电梯加装工程影响其采光，高层业主并未与其协商好补偿方案，遂采取多种方式阻挠加装电梯，亦与高层业主发生多次诉讼。 2021年3月，业主张先生受多数住户委托，与某公司签订了《建筑工程施工合同》，约定由某公司承包加装电梯井道工程。施工期间，钟阿姨曾多次在施工现场甚至站在挖掘机旁阻挠施工，影响某公司施工进度。 2021年8月，某公司将钟阿姨、刘女士诉至法院，主张其二人阻挠施工，导致至今未能完工，请求法院判令钟阿姨、刘女士不得对电梯施工进行阻挠和破坏，并以每天3000元的标准赔偿该司自2021年6月29日起至二人停止阻挠施工之日止的损失。 【裁判结果】 广州市海珠区人民法院一审判决：钟阿姨不得对电梯施工进行阻挠和破坏，并向某公司支付3600元，驳回某,,,,,,,,,,candidate_chains=3
E003,,,,,,,,missing_gold_tuple,missing_tuple,,,,,,,,
E004,LLM_E004_001,租户,城中村改造导致租金上涨，租户生活负担加重,negative,多篇新闻报道显示租户因拆迁面临房租上涨，转租困难,ev-00169;ev-00161;ev-00162,"ev-00169: 城中村改造拉动房租上涨 大河网-河南日报 2007.06.26 04:11 □文／图 本报记者汤传稷 郑州正在推进城中村改造，多个城中村正在进行拆迁和改建。与此同时，一些城中村房租再次上涨，而三环附近的村庄开始大兴土木，为即将到来的租住人流高峰及未来可能的拆迁做准备。 城中村改造对解决'脏乱差'问题、提升城市形象、充分利用土地资源无疑有着积极意义，但伴随而来的问题也不容忽视：郑州计划三年中将三环之内的116个城中村改造完毕，如此大规模的改造，会对租房者的生存状态产生什么影响呢？ 房租上涨影响百万人 近来，郑州一些城中村的房租再次上涨，让租房者叫苦不迭。 在二七区孙八寨村，大小房间的租金均有不同程度上涨。一般单间在150元以上，标准间180元，一室一厅300元，两室一厅500元，与前一段时间相比，此次上涨幅度平均在30元左右，而门面房上涨100到300元不等。在郑州市常寨、枣庄等城中村，房租价位更在孙八寨之上。记者了解到，最近，城中村房租普遍上涨，尽管涨幅不尽相同。 在很多城中村，要想租到中意的房子，选择余地越来越小了。6月24日，记者在七里河村及岔河村寻租一标准间，走遍数条街道竟没有找
ev-00161: 城中村大量拆迁 房租普涨 本报讯 本报讯（见习记者 翟莹 袁超一 孔慧慧）2009年底，武汉市决定，用三年时间把二环线内54个城中村全部拆迁，到今年初，33个城中村已基本完成拆迁。随着大量城中村被拆，剩余城中村及附近房源的房租水涨船高，在高房租的压力下，曾经聚集在此的'蚁族'该何去何从？ 城中村房租普涨三至五成 今年初，洪山区熊家咀开始拆迁，大量'蚁族'涌入附近的小何西村。毕业不久的杨柳就是其中一员。之前住在熊家咀城中村，因为拆迁就搬出来重新找房子。 '房子不好找，房租涨了不少。'在小何西村，记者见到了杨柳。她算是典型的'蚁族'，老家在襄阳，毕业后一直从事平面设计方面的工作，月收入不足1500元。杨柳说，原来住的地方，房租才260元，加上水电费20元，两人一平摊，一个月才140元，而如今在小何西村一些私房，同样的条件起码要400元。 除了像杨柳这样的新住户面临房租大涨的境况外，小何西村的一些老房客也'被涨价'，现从事IT培训的李杰在小何西村住了一年多，起初房价（单间）是380元，目前已涨到了460元。 记者走访陈家湾、关山、马家湾、余家头等地的城中村，发现房租均有所上涨，涨幅为30％～
ev-00162: 陈寨等启动拆迁 带动周边小区房租上涨 2015-11-11 08:14 来源：中原网--郑州晚报 北环中方园路附近的一家中介负责人表示，通常情况下，一个城中村拆迁改造，原来租住在这个村子里的人会向附近的城中村或者商品房小区转移，进而带动这些地方房租的上涨。 正在找房的租房户 （郑州晚报记者 马健 图） 根据政府相关部门的计划，今年年底郑州市区包括陈寨、庙里、张家村等要开始拆迁，40万'郑漂'将再寻住处，是否会引起该区域新一轮房租上涨？郑州晚报记者昨日实地采访发现，村民们房屋出租、租户生活都很平静，不过今年以来房租确实在上涨，平均涨幅在10%左右。 动向 陈寨等城中村要拆完 昨日上午，郑州晚报记者来到陈寨实地调查。大街上、村子里人来人往，租房户也都是正常租房，记者没有找到要拆迁的通知信息。以租房者的身份，记者来到紧靠文化路不远的另一租户陈先生家里。看到有人前来租房，陈先生连忙过来招呼：'来来来，我带着你看看我的房子，合适你就租。'记者上了电梯，跟着陈先生上上下下看了3个楼层的房间。'我这标间月租是750块钱，押金300块钱，交房租非常灵活，一次交一个月。'陈先生说。看到记者想再看看其他房",,,,,,,,,,candidate_chains=3
E004,LLM_E004_002,外来务工人员,要求改善住房条件，出台农民工住房保障制度,negative,人大代表调研揭示民工住房困境，建议住房保障,ev-00174,ev-00174: 人大代表调研民工住房困境 夏天蜈蚣'光临'床铺是常事 http://www.cnnb.com.cn 中国宁波网 01月29日 16:00 浙江在线杭州1月29日讯(记者 李敏 廖小清 梁国瑞)他是宁波江北一位普通的环卫工人，也是我省首位农民工人大代表，他叫徐辉。 今年，他关注着我省1700多万农民工的居住状况，用他并不具有太多文采、却实实在在的笔触写下了感人至深的建议——《关于出台农民工住房保障制度的建议》。为了这份建议，他历时半年进行调研。 28日晚，当记者拨通他电话，请他过目下稿子，他谦和得直说记者太客气了。他说，自己为了人代会做调研，走进自己的外来务工朋友群体，深入他们的生活，了解他们的住房困境，并为他们鼓与呼，其实只是份内的事情。 29日一大早，徐辉代表早早地在驻地等候记者，一身笔挺的服装，代表证悬挂在胸前。 租房到底有多难，有多贵？ 大量的人口由小城镇和农村涌入到城市中，形成了具有中国特色的民工潮。10年前，来自安徽芜湖的徐辉也是民工潮中的一员。 近年来，各大城市推出了一系列住房体系，但始终不能满足外来务工人员的住房需求，城市中住房的租金偏高，相对便宜的房子又位置偏远，使得广,,,,,,,,,,candidate_chains=3
E004,LLM_E004_003,街道办/政府,承认房租上涨但表示将趋于平稳,neutral,政府答复中说明房租由市场决定，随房源增加将平稳,ev-00166,"ev-00166: 郑州市政府对网友咨询'城中村改造'问题的答复 2008年03月18日 来源：郑州市政府 郑州市委常委、副市长 穆为民接受访谈 访谈直播现场 郑州市政府关于网友就'城中村改造'提出的相关问题的部分答复 1楼网友：请问城中村每平米赔偿多少钱？ 回复：城中村改造的拆迁安置补偿标准请查阅郑政文[2007]103号（见附件2）和市长办公会议纪要[2007]61号（见附件5）。 3楼网友：二层和三层的赔偿差别,允许盖三层,现在的房子是二层,到拆的时候,是不是有好的政策?怎么赔偿? 回复：城中村改造的拆迁安置补偿标准请查阅郑政文[2007]103号（见附件2）和市长办公会议纪要[2007]61号（见附件5）。 4楼网友：城中村改造过后，房租是否会比现在的高的更离谱呢！ 回复：房租的高低是由市场供求关系所决定的。城中村改造中，由于拆迁相对较多，而工程建设则需要一定的建设周期，用于出租的房源会减少，房价随之会有所提高。随着城中村改造的进展，用于出租的房源增加，房租将会逐渐趋于平稳。 7楼网友：政府的赔偿款是按照什么标准给的？市中心的房价还是郊区的房价？ 回复：城中村改造的拆迁安置补偿标准请查阅郑政文[2",,,,,,,,,,candidate_chains=3
