record_type,event_id,record_id,evidence_ids,independent_source_count,independent_sources,missing_evidence_ids,confidence_route,required_action
tuple,E001,LLM_E001_001,ev-00023;ev-00010,2,m.110ask.com;sohu.com,,silver_candidate,standard_review
tuple,E001,LLM_E001_002,ev-00001;ev-00002,2,gz.gov.cn;new.qq.com,,silver_candidate,standard_review
tuple,E001,LLM_E001_003,ev-00010,1,sohu.com,,low_confidence,human_review_required
tuple,E001,LLM_E001_004,ev-00023,1,m.110ask.com,,low_confidence,human_review_required
tuple,E002,LLM_E002_001,ev-00042;ev-00044;ev-00041,3,163.com;jfdaily.com;m.thepaper.cn,,silver_candidate,standard_review
tuple,E002,LLM_E002_002,ev-00042;ev-00046;ev-00047;ev-00048,2,163.com;pudong.gov.cn,,silver_candidate,standard_review
tuple,E002,LLM_E002_003,ev-00049,1,pudong.gov.cn,,low_confidence,human_review_required
tuple,E003,LLM_E003_001,ev-00056;ev-00060;ev-01438,3,m.sohu.com;news.sohu.com;xiaoqushuo.com,,silver_candidate,standard_review
tuple,E003,LLM_E003_002,ev-01438,1,xiaoqushuo.com,,low_confidence,human_review_required
tuple,E003,LLM_E003_003,ev-01440;ev-01436,2,news.qq.com;pnr.sz.gov.cn,,silver_candidate,standard_review
tuple,E005,LLM_E005_001,ev-00096;ev-00097,1,kankanews.com,,low_confidence,human_review_required
tuple,E005,LLM_E005_002,ev-00096,1,kankanews.com,,low_confidence,human_review_required
tuple,E006,LLM_E006_001,ev-00116,1,sohu.com,,low_confidence,human_review_required
tuple,E007,LLM_E007_001,ev-00137;ev-00139,2,api.app.anhuinews.com;k.sina.com.cn,,silver_candidate,standard_review
tuple,E007,LLM_E007_002,ev-00139,1,k.sina.com.cn,,low_confidence,human_review_required
tuple,E008,LLM_E008_001,ev-00179;ev-00180,2,ykbyq.lncourt.gov.cn;zhuanlan.zhihu.com,,silver_candidate,standard_review
tuple,E008,LLM_E008_002,ev-00179;ev-00180,2,ykbyq.lncourt.gov.cn;zhuanlan.zhihu.com,,silver_candidate,standard_review
tuple,E008,LLM_E008_003,ev-00179,1,ykbyq.lncourt.gov.cn,,low_confidence,human_review_required
tuple,E009,LLM_E009_001,ev-00205;ev-01536,1,news.cnr.cn,,low_confidence,human_review_required
tuple,E009,LLM_E009_002,ev-00205;ev-01536,1,news.cnr.cn,,low_confidence,human_review_required
tuple,E009,LLM_E009_003,ev-00206,1,toutiao.com,,low_confidence,human_review_required
tuple,E011,LLM_E011_001,ev-01584,1,m.gmw.cn,,low_confidence,human_review_required
tuple,E011,LLM_E011_002,ev-01572;ev-01576,2,finance.ifeng.com;m.sohu.com,,silver_candidate,standard_review
tuple,E011,LLM_E011_003,ev-01584;ev-01585,2,m.gmw.cn;sohu.com,,silver_candidate,standard_review
tuple,E011,LLM_E011_004,ev-00242;ev-01589,2,163.com;toutiao.com,,silver_candidate,standard_review
tuple,E011,LLM_E011_005,ev-00246,1,163.com,,low_confidence,human_review_required
tuple,E012,LLM_E012_001,ev-00264;ev-01603;ev-01591,2,m.szhgh.com;sohu.com,,silver_candidate,standard_review
tuple,E012,LLM_E012_002,ev-01593,1,law.rednet.cn,,low_confidence,human_review_required
tuple,E012,LLM_E012_003,ev-00268;ev-01599,2,opinion.voc.com.cn;toutiao.com,,silver_candidate,standard_review
