event_id,tuple_id,stakeholder,opinion,sentiment,rationale,evidence_ids,event_chain_stage,support_status,confidence
E003,E003_SOA_001,金钻豪园业主,希望政府解决钉子户问题以加快回迁,neutral,业主希望复制木头龙模式，由政府帮助解决钉子户房屋征收问题,ev-01442,resolution,candidate_supported,0.8
E003,E003_SOA_002,政府部门,正在协调解决过渡安置费问题，尝试引入国企盘活项目,neutral,官方正在逐步协调解决，试图引入国企盘活项目,ev-00059,response,candidate_supported,0.7
E003,E003_SOA_003,金钻豪园业主,开发商拖欠22年过渡安置费，项目已停工,negative,业主反映开发商拖欠22年过渡安置费，去年项目停工,ev-00056,unknown,candidate_supported,0.9
E004,E004_SOA_001,横沙社区,请求政府行政处理留守户房屋拆迁补偿安置争议,neutral,横沙社区通过投票决议向黄埔区政府申请行政处理留守户争议,ev-00077|ev-00081|ev-00082|ev-00083|ev-00085,unknown,candidate_supported,0.8
E004,E004_SOA_002,留守户/村民,担忧施工安全危及未签约房屋,negative,村民反映旧改拆迁现场未做足够安全围蔽，担心危及相邻未签约房屋,ev-00084,unknown,candidate_unclear,0.7
E004,E004_SOA_003,黄埔区政府,发布横沙旧村改造项目剩余地块改造通告,neutral,黄埔区政府发布通告，涉及横沙旧村改造项目剩余地块改造事宜,ev-00080,unknown,candidate_supported,0.8
E005,E005_SOA_001,虹凉馨苑小区居民,反对物业费三年连涨,negative,居民因物业费连涨三年与物业激烈争吵并拍台子,ev-00096|ev-00097,conflict,candidate_supported,0.9
E005,E005_SOA_002,小区物业公司,主张物业费三年连涨,neutral,物业提出三年连续涨价方案引发居民激烈争吵,ev-00096|ev-00097,conflict,candidate_supported,0.7
E006,E006_SOA_001,美心翡翠明庭小区业主,质疑物业费涨价投票结果存在造假,negative,追问公示投票结果与实际调查为何相差大，质疑作假,ev-00116,unknown,candidate_supported,0.9
E007,E007_SOA_001,蓝色康园小区业主,物业费上涨不合理，怀疑物业偷偷涨价,negative,原本每平方米一块多的物业费涨到两块多，业主怀疑偷偷涨价,ev-00139,resolution,candidate_supported,0.9
E007,E007_SOA_002,蓝色康园小区业主,物业占用公共空间做宿舍并乱收公摊费用,negative,物业疑似占用公共空间做宿舍，水电费未公示，业主怀疑公摊费用被多收,ev-00137,unknown,candidate_supported,0.9
E007,E007_SOA_003,广州市物业管理行业协会,督促涉事物业尽快整改,neutral,市物管协会正在督促该小区物业方尽快整改,ev-00139,resolution,candidate_supported,0.9
E008,E008_SOA_001,高层业主,一楼业主变卦阻挠加装电梯，应停止阻挠,negative,四五六楼业主因一楼2户业主变卦阻挠加装电梯，将其告上法庭,ev-00180|ev-00164,conflict,candidate_supported,0.84
E008,E008_SOA_002,李阿姨,期盼电梯尽快完工投入使用，方便出行,positive,李阿姨表示电梯入户后再也不用爬楼，轮椅可以直接进屋,ev-00197|ev-00198,follow_up,candidate_supported,0.84
E009,E009_SOA_001,公租房住户,商品房业主圈占车位导致停车困难,negative,公租房住户反映至少上百个车位被商品房业主圈占，导致停车困难,ev-00205,diffusion,candidate_supported,0.9
E009,E009_SOA_002,政府部门,正依法依规处置并督促化解纠纷,neutral,深圳市相关方面正依法依规处置，并督促开发商、物业公司化解纠纷,ev-00206,response,candidate_supported,0.9
