event_id,tuple_id,stakeholder,opinion,sentiment,rationale,event_chain,evidence_ids,evidence_texts,evidence_source_types,evidence_urls,evidence_titles,evidence_dates,independent_source_count,confidence_route,required_action,adjudication_priority_score,priority_bucket,priority_reason,review_decision,revised_stakeholder,revised_opinion,revised_sentiment,revised_rationale,revised_evidence_ids,reviewer_note,reviewer_id,adjudication_status,annotator_id
E001,LLM_E001_006,三元里城中村居民,居民对城中村改造本身的同意率较高，但对拆迁补偿方案的支持率明显较低。,mixed,公共网页称截至5月30日，三元里城中村居民同意城中村改造比率超过80%，但拆迁补偿方案支持比率为33.62%，显示对改造与补偿方案态度存在差异。,,ev-00023,"属于白云新城辐射带的三元里村,改造已是大势所趋。截至5月30日,三元里城中村的居民同意城中村改造比率超过了80%,拆迁补偿方案支持比率为33.62%。城中村改造,集体和居民最直接的得益是什么?改造后,",public_web,https://m.110ask.com/zhishi/4553253002018355922.html,,,1,low_confidence,human_review_required,0.970,high,weak_support_label;low_confidence_cross_source;few_evidence;single_source_type,uncertain,,,,,,,annotator_B,independent_review,annotator_B
E005,LLM_E005_005,上海市住房管理相关部门,强调要规范住宅小区物业服务行为、提升物业服务质量，以满足居民对物业服务的需求。,positive,上海市官方文件《上海市住宅小区物业服务质量提升行动方案》提出规范住宅小区物业服务行为、推动物业服务行业高质量发展、满足人民需求；但证据未显示该文件直接回应虹凉馨苑事件。,,ev-00111,"关于印发《上海市住宅小区物业服务质量提升行动方案》的通知 沪房物业〔2025〕78号 临港新片区管委会,各区住房保障房屋管理局: 为进一步规范住宅小区物业服务行为,推动物业服务行业高质量发展,满足人民",official,https://www.shanghai.gov.cn/nw12344/20250613/3524699f67764879bd1bade6534f08de.html,,,1,low_confidence,human_review_required,0.970,high,weak_support_label;low_confidence_cross_source;few_evidence;single_source_type,uncertain,,,,,,,annotator_B,independent_review,annotator_B
E005,LLM_E005_006,上海物业治理信息公开机制,倡导通过信息公开让居民了解物业费对应的服务内容及物业合同履行情况。,positive,官方材料提到“四亮”服务以信息公开推动小区治理，并提出居民常见困惑包括每月交物业费却不知道物业提供哪些服务、合同服务内容是否做到；但证据未直接指向虹凉馨苑。,,ev-00112,"“四亮”服务 以信息公开推动小区治理 共建共治共享 你有没有过这样的困惑 ——每月交了物业费, 不知道物业提供哪些服务? 物业服务合同里写的服务内容, 物业到底做到了没有? 去年初, 我们推出的“四亮",official,https://www.shanghai.gov.cn/nw17239/20260325/ba259e957c8345a4b63ec35aa907f5d8.html,,,1,low_confidence,human_review_required,0.970,high,weak_support_label;low_confidence_cross_source;few_evidence;single_source_type,uncertain,,,,,,,annotator_B,independent_review,annotator_B
E006,LLM_E006_004,大龙街道办,作为美心翡翠明庭小区所属街道，对该小区物业费争议具有属地管理关联,neutral,证据显示美心翡翠明庭小区属于大龙街道管辖，但未直接呈现街道办对本次涨价表决争议的具体表态。,,ev-00125,美心翡翠明庭小区 美心翡翠明庭小区属于什么街道管辖大龙街道 / 详细地址:市莲路汉碁工业区汉碁大道1号 / 联系电话:020-39269383 美心翡翠明庭小区属于哪个派出所广州市番禺区大龙派出所 /,public_web,https://www.xiaoqushuo.com/guangzhou/K7FGSS8BRW,,,1,low_confidence,human_review_required,0.970,high,weak_support_label;low_confidence_cross_source;few_evidence;single_source_type,uncertain,,,,,,,annotator_B,independent_review,annotator_B
E006,LLM_E006_006,广州市市场监督管理局,物业服务收费应加强明码标价管理,neutral,证据为广州市市场监督管理局关于加强物业服务收费明码标价管理的通知，可作为本次物业费争议的监管规范背景，但未直接涉及美心翡翠明庭个案。,,ev-00133,广州市市场监督管理局政府信息公开 索引号: 11440100MB2C91891K/2007-00098 分类: 名称: 关于加强物业服务收费明码标价管理的通知 文号: 穗价[2007]229号 发布日,official,https://scjgj.gz.gov.cn/gkmlpt/content/5/5494/post_5494668.html,,,1,low_confidence,human_review_required,0.970,high,weak_support_label;low_confidence_cross_source;few_evidence;single_source_type,uncertain,,,,,,,annotator_B,independent_review,annotator_B
E009,LLM_E009_004,关注该事件的公众或舆论,对央广网关于绿地新都会停车位争议的报道产生关注。,neutral,证据明确称央广网4月28日独家报道发布后“引发关注”，但未细分具体公众群体态度。,,ev-00207,"央广网北京4月29日消息(记者张胜坡)4月28日,央广网发布独家报道《私自用水泥墩圈占小区停车位?商品房业主与公租房住户停车位之争背后》,引发关注。 据此前报道,近日,深圳市光明区绿地新都会小区的公租",mainstream_news,https://m.sohu.com/a/777771356_121687421/?pvid=000115_3w_a,,,1,low_confidence,human_review_required,0.970,high,weak_support_label;low_confidence_cross_source;few_evidence;single_source_type,uncertain,,,,,,,annotator_B,independent_review,annotator_B
E009,LLM_E009_006,深圳市相关方面,表示正在依法依规处置停车位使用权相关事件、核实网传信息，并将督促开发商和物业公司化解纠纷。,neutral,证据提到深圳市相关方面将依法依规处置、核实网传信息并督促开发商物业化解停车位使用权纠纷；但该证据未明确指向绿地新都会事件，事件匹配较弱。,,ev-00206,"记者6日在采访中了解到,深圳市相关方面正在依法依规对该起事件进行处置,并对网传信息进行核实处理,后续还将针对事件中暴露出的停车位使用权问题,督促开发商、物业公司做好相关纠纷化解工作。",social_media,https://www.toutiao.com/article/7106408237708100100/,,,1,low_confidence,human_review_required,0.970,high,weak_support_label;low_confidence_cross_source;few_evidence;single_source_type,uncertain,,,,,,,annotator_B,independent_review,annotator_B
E011,LLM_E011_006,发声律师,认为涉事学生可以就食品安全问题主张十倍赔偿。,negative,证据提到官方调查确认异物为鼠头后，有律师发言称学生可以十倍索赔，但未提供该律师姓名和完整法律论证。,,ev-00246,"6月17日,广受社会关注的“鼠头鸭脖”事件的官方调查结果盖棺定论,据国内权威动物专家专业辨识,该异物为老鼠类啮齿动物头部。在此之后,网友发现此前涉事学校的调查声明已经不见。有律师发言:学生可以十倍索赔",social_media,https://www.163.com/dy/article/I7ESNDE2055616LO.html?spss=dy_author,,,1,low_confidence,human_review_required,0.970,high,weak_support_label;low_confidence_cross_source;few_evidence;single_source_type,uncertain,,,,,,,annotator_B,independent_review,annotator_B
E022,LLM_E022_005,多名受害者,实名举报或反映药王谷“抗癌中心”相关问题。,negative,十堰论坛转载的南都记者报道摘要称，多名受害者实名举证/举报相关问题，但摘录文本不完整。,,ev-00538,"正文摘要: 12月2日晚,湖北十堰武当山特区卫健局、市监局、公安局联合发布通报称,对网友关注的“药王谷抗癌中心”事件高度重视,相关部门此前已依法立案,正在开展全面调查。南都记者注意到,多名受害者实名举",forum,https://www.shiyan.com/forum.php?mod=viewthread&tid=712788&from=album,,,1,low_confidence,human_review_required,0.970,high,weak_support_label;low_confidence_cross_source;few_evidence;single_source_type,uncertain,,,,,,,annotator_B,independent_review,annotator_B
E027,LLM_E027_004,上海市浦东新区人民检察院,浦东新区检察院办理了上海各大医院“医托”团伙诈骗案，显示司法机关介入追究相关诈骗行为。,positive,报道称上海市浦东新区人民检察院办理一起“医托”团伙诈骗案，涉及上海各大医院、被害人1800余人、涉案金额700余万元；具体金额与事件描述存在差异，但支持检察机关介入同类医托团伙案。,,ev-01812,"在上海各大医院进行“医托”诈骗,共涉及被害人1800余人,涉案金额达700余万元......近日,上海市浦东新区人民检察院(以下简称“浦东新区检察院”)办理了一起“医托”团伙诈骗案。 1月31日,澎湃",mainstream_news,https://finance.sina.com.cn/jjxw/2024-01-31/doc-inafmpiw1469884.shtml,,,1,low_confidence,human_review_required,0.970,high,weak_support_label;low_confidence_cross_source;few_evidence;single_source_type,uncertain,,,,,,,annotator_B,independent_review,annotator_B
