event_id,tuple_id,stakeholder,opinion,sentiment,rationale,evidence_ids,supporting_evidence_text,tuple_generation_status,chain_generation_status,preannotation_note,human_judgment,error_type,corrected_stakeholder,corrected_opinion,corrected_sentiment,corrected_rationale,corrected_evidence_ids,guideline_change_needed,prompt_change_needed,notes
E001,,,,,,,,api_failure,success,tuple_error=api_timeout: LLM API call failed after retries: The read operation timed out | tuple_warning=evidence pack truncated from 50 to 4 rows; 4 evidence texts clipped to 300 chars | chain_warning=evidence pack truncated from 50 to 8 rows; 8 evidence texts clipped to 500 chars | candidate_chains=3,,,,,,,,,,
E002,LLM_E002_001,低层住户,反对加装电梯，认为影响采光且补偿方案未协商好，多次阻挠施工,negative,ev-00062中低层业主因采光问题阻挠施工，并对补偿方案不满，被施工单位起诉,ev-00062,ev-00062: 低层业主多次阻挠加装电梯施工被起诉 【发布时间：2023-09-20 17:10:06】 【稿件来源：】 【作者：】 【关闭】 住宅楼加装电梯影响采光 低层业主不满补偿方案 三番四次阻挠施工 后被施工单位诉至法院 【基本案情】 2018年11月，住建部门对涉案住宅楼核发《建设工程规划许可证》，同意加装电梯。 钟阿姨为低层业主之一，其与女儿刘女士认为，电梯加装工程影响其采光，高层业主并未与其协商好补偿方案，遂采取多种方式阻挠加装电梯，亦与高层业主发生多次诉讼。 2021年3月，业主张先生受多数住户委托，与某公司签订了《建筑工程施工合同》，约定由某公司承包加装电梯井道工程。施工期间，钟阿姨曾多次在施工现场甚至站在挖掘机旁阻挠施工，影响某公司施工进度。 2021年8月，某公司将钟阿姨、刘女士诉至法院，主张其二人阻挠施工，导致至今未能完工，请求法院判令钟阿姨、刘女士不得对电梯施工进行阻挠和破坏，并以每天3000元的标准赔偿该司自2021年6月29日起至二人停止阻挠施工之日止的损失。 【裁判结果】 广州市海珠区人民法院一审判决：钟阿姨不得对电梯施工进行阻挠和破坏，并向某公司支付3600元，驳回某,success,success,tuple_warning=evidence pack truncated from 50 to 8 rows; 8 evidence texts clipped to 500 chars | chain_warning=evidence pack truncated from 50 to 8 rows; 8 evidence texts clipped to 500 chars | candidate_chains=3,,,,,,,,,,candidate_chains=3
E002,LLM_E002_002,高层住户,支持加装电梯，愿意出资并推动工程，认为出行便利受益大,positive,ev-00068中32户业主同意加装电梯并出资，ev-00070反映高层老年住户出行困难，加梯需求强烈,ev-00068;ev-00070,"ev-00068: 冲上热搜！老人反对加装电梯，建好又想补交钱使用，被全楼拒绝！法院判了→ 2023-11-12 09:31:13 来源：法治网 11日下午，'老人反对装电梯建好又想用被全楼拒绝'冲上热搜，引发热议。 近日，最高人民法院发布老旧小区既有住宅加装电梯典型案例。 其中一个案例就是老人反对装电梯建好又想用被全楼拒绝，因为邻居认为他让工程延误1年多。以下为案例内容—— 未同意加装电梯业主补交出资后有权使用电梯 ——郭某与谢某等建筑物区分所有权纠纷案 一、基本案情 广东省广州市荔湾区某小区某栋9层住宅楼业主于2017-2018年商议加装电梯，44户业主中有32户业主同意。居住于3楼、年近八旬的业主郭某因有异议未参与出资。电梯投入使用后，郭某提出希望在补交相应集资款后使用电梯，但32户业主认为郭某前期对加装电梯有异议，导致加装电梯工程延误一年多，反对其使用电梯。郭某向人民法院起诉，请求确认其在按前期加装电梯筹资方案支付10077元费用后，对新建电梯拥有与32户业主同等的权利和义务。 二、裁判结果 广东省广州市荔湾区人民法院审理认为，案涉电梯在使用属性上系建筑物的共有部分，郭某与其他业主对电梯享有使用权
ev-00070: 凝聚各方力量，加速实现'加梯梦' ——昌平区霍营街道华龙苑南里小区 信息来源：北京市住房和城乡建设委员会 发布时间：2023年10月08日 一、基本情况 昌平区华龙苑南里小区始建于上世纪九十年代，小区内30栋老楼均为无电梯的五层或六层住宅楼，共154个单元。小区居住有2128户、约6000余人。常住居民以退休的老年人居多，其中年龄超过60岁的老人近1600人，占到小区人口的三成左右。该小区建设年代较久，基础设施老化、设施设备不完善，特别是随着人口老龄化加剧，小区内老人、小孩上、下楼出行困难的问题越来越显著，居民加装电梯的需求也越来越强烈。 二、主要做法与成效 （一）以'线上为主，线下为辅'方式开展加梯政策宣传 街道、社区根据居民诉求，积极开展加装电梯政策宣传。为做到加梯、防疫两不误，开展以'线上为主，线下为辅'方式进行政策宣传，对年轻业主采取线上宣传，对老年业主采取线下宣传，让每位业主都能够了解相关政策，动员业主积极参与和支持。 （二）有序开展居民协商，破解居民疑虑 加装电梯推进过程中，居民意见达成一致是第一关。为促进居民协商一致，化解低层住户疑虑，街道、社区委托实施主体到现场实地勘察",success,success,tuple_warning=evidence pack truncated from 50 to 8 rows; 8 evidence texts clipped to 500 chars | chain_warning=evidence pack truncated from 50 to 8 rows; 8 evidence texts clipped to 500 chars | candidate_chains=3,,,,,,,,,,candidate_chains=3
E002,LLM_E002_003,社区居委会,组织居民协商，宣传政策，协调各方利益，推动加装电梯,positive,ev-00075明确街道和社区利用党建工作协调委员会作为协商平台，ev-00070展示街道社区开展线上线下宣传和协商,ev-00075;ev-00070,"ev-00075: 主题分类：城乡建设、环境保护/城乡建设（含住房）/老旧小区综合整治 制发单位：北京市住房和城乡建设委员会 有 效 性：现行有效 成文日期：2022年01月17日 发布日期：2022年02月10日 发文字号：京建发〔2022〕11号 北京市住房和城乡建设委员会印发《关于进一步做好既有多层住宅加装电梯业主协商工作指引》的通知 各有关单位： 为进一步做好本市既有多层住宅加装电梯工作，指导各区建立完善协商机制，组织引导居民协商，促进居民达成一致意见，市住房城乡建设委制定了《关于进一步做好既有多层住宅加装电梯业主协商工作指引》，现印发给你们，请参照执行。执行中有何问题和建议，请及时反馈我委。 北京市住房和城乡建设委员会 2022年1月17日 关于进一步做好既有多层住宅加装电梯业主协商工作指引 第一条 为进一步做好既有多层住宅加装电梯居民协商工作，依据国家和本市相关法律法规及《北京市老旧小区综合整治工作手册》，结合本市实际，制定本工作指引。 第二条 属地街道（乡镇）和社区利用党建工作协调委员会作为既有住宅加装电梯业主协商工作平台，组织业委会（物管会）、责任规划师、实施主体、物业服务人、设计单位、施
ev-00070: 凝聚各方力量，加速实现'加梯梦' ——昌平区霍营街道华龙苑南里小区 信息来源：北京市住房和城乡建设委员会 发布时间：2023年10月08日 一、基本情况 昌平区华龙苑南里小区始建于上世纪九十年代，小区内30栋老楼均为无电梯的五层或六层住宅楼，共154个单元。小区居住有2128户、约6000余人。常住居民以退休的老年人居多，其中年龄超过60岁的老人近1600人，占到小区人口的三成左右。该小区建设年代较久，基础设施老化、设施设备不完善，特别是随着人口老龄化加剧，小区内老人、小孩上、下楼出行困难的问题越来越显著，居民加装电梯的需求也越来越强烈。 二、主要做法与成效 （一）以'线上为主，线下为辅'方式开展加梯政策宣传 街道、社区根据居民诉求，积极开展加装电梯政策宣传。为做到加梯、防疫两不误，开展以'线上为主，线下为辅'方式进行政策宣传，对年轻业主采取线上宣传，对老年业主采取线下宣传，让每位业主都能够了解相关政策，动员业主积极参与和支持。 （二）有序开展居民协商，破解居民疑虑 加装电梯推进过程中，居民意见达成一致是第一关。为促进居民协商一致，化解低层住户疑虑，街道、社区委托实施主体到现场实地勘察",success,success,tuple_warning=evidence pack truncated from 50 to 8 rows; 8 evidence texts clipped to 500 chars | chain_warning=evidence pack truncated from 50 to 8 rows; 8 evidence texts clipped to 500 chars | candidate_chains=3,,,,,,,,,,candidate_chains=3
E002,LLM_E002_004,高层住户,认为费用应按楼层受益大小分摊，高层应多出资，低层少或不出资,neutral,ev-00059给出各层出资比例指导，体现高层多出、低层少出原则，反映多数高层用户接受此分摊方案,ev-00059,ev-00059: '各层业主分别该出多少钱？'往往是老楼加装电梯前期协商过程中居民的争议点。8月26日，市住建委发布《关于公布既有多层住宅加装电梯业主出资比例指导标准的通知》，为各层业主加装电梯的分摊费用提供了参考。 老楼加装电梯是北京市重要民生实事项目之一。北京自开展加装电梯工作以来，加装电梯资金筹集主要以业主自筹为主，并遵循'谁受益、谁出资，谁使用、谁付费'的原则筹资加装电梯。但是在居民协商过程中，由于低层住户受益小、高层住户受益大，各层业主究竟该如何分摊费用，很难达成一致意见。 为了使居民意愿达成一致，积极推动既有多层住宅加装电梯工作，市住建委在总结本市既有多层住宅加装电梯成功案例的基础上，发布了该通知。根据通知，对于入户方式为半层入户的6层老楼，1层业主不用出资，2层业主出资比例为4%至6%，3层业主出资比例为11%至13%，4层业主出资比例为19%至21%，5层业主出资比例为27%至29%，6层住户出资比例为32%至34%。 此外，对于入户方式为平层入户的6层老楼，如果没有新增连廊，各层业主出资的指导比例区间与半层入户的相同。而如果有新增连廊的话，除了一层业主外，其他楼层的业主将均摊出资费用。,success,success,tuple_warning=evidence pack truncated from 50 to 8 rows; 8 evidence texts clipped to 500 chars | chain_warning=evidence pack truncated from 50 to 8 rows; 8 evidence texts clipped to 500 chars | candidate_chains=3,,,,,,,,,,candidate_chains=3
E002,LLM_E002_005,施工单位,因低层住户阻挠施工导致工期延误，起诉要求停止阻挠并赔偿损失,negative,ev-00062中施工单位将阻挠施工的低层业主诉至法院，要求排除妨害并赔偿每日3000元损失,ev-00062,ev-00062: 低层业主多次阻挠加装电梯施工被起诉 【发布时间：2023-09-20 17:10:06】 【稿件来源：】 【作者：】 【关闭】 住宅楼加装电梯影响采光 低层业主不满补偿方案 三番四次阻挠施工 后被施工单位诉至法院 【基本案情】 2018年11月，住建部门对涉案住宅楼核发《建设工程规划许可证》，同意加装电梯。 钟阿姨为低层业主之一，其与女儿刘女士认为，电梯加装工程影响其采光，高层业主并未与其协商好补偿方案，遂采取多种方式阻挠加装电梯，亦与高层业主发生多次诉讼。 2021年3月，业主张先生受多数住户委托，与某公司签订了《建筑工程施工合同》，约定由某公司承包加装电梯井道工程。施工期间，钟阿姨曾多次在施工现场甚至站在挖掘机旁阻挠施工，影响某公司施工进度。 2021年8月，某公司将钟阿姨、刘女士诉至法院，主张其二人阻挠施工，导致至今未能完工，请求法院判令钟阿姨、刘女士不得对电梯施工进行阻挠和破坏，并以每天3000元的标准赔偿该司自2021年6月29日起至二人停止阻挠施工之日止的损失。 【裁判结果】 广州市海珠区人民法院一审判决：钟阿姨不得对电梯施工进行阻挠和破坏，并向某公司支付3600元，驳回某,success,success,tuple_warning=evidence pack truncated from 50 to 8 rows; 8 evidence texts clipped to 500 chars | chain_warning=evidence pack truncated from 50 to 8 rows; 8 evidence texts clipped to 500 chars | candidate_chains=3,,,,,,,,,,candidate_chains=3
E003,LLM_E003_001,住建部门/政府,保障房资格审核是维护公平性的关键，需要多部门信息化比对防止骗租,positive,基于上海审核案例，表明政府积极采取措施确保公平,ev-00121,ev-00121: 评论：保障房资格审核是维护公平性的第一关口 新华网2012/02/06 10:00 今年保障房将基本建成500万套以上，随着建设不断提速，保障房供应高峰将至。能否公平分配，成为保障房这一'民心工程'的生命线。上海探索建立起涵盖10多个部门、单位的信息化比对专线，对保障房申请者的经济状况进行全方位审核，累计对68000多户保障房申请家庭进行经济状况核对，检出不符合条件者9700余户。 '全方位监控'：能否防止审核'表面化'？ 资格审核，维护住房保障制度公平性的关口。 张某未缴纳养老金等'三金'，李某和小张均有公司为其缴纳'三金'；张某目前未缴纳公积金，李某和小张公积金状态均正常，月缴存额分别为300元、276元；张某全年收入为3.3万余元，李某无税务反馈信息，小张全年收入为2万余元；李某拥有小汽车一辆；张某和李某未开立证券账户，但小张在某证券公司开立账户，截至核对时点的市值为2.5万元…… 这是记者日前在上海市居民经济状况核对中心采访时了解到的道核实流程。 信息显示，上海居民张某为协保人员，其妻子李某及女儿小张为在职人员。该家庭申请上海共有产权房。根据要求，申报2010年2月至2011年,success,success,tuple_warning=evidence pack truncated from 50 to 4 rows; 4 evidence texts clipped to 300 chars | chain_warning=evidence pack truncated from 50 to 4 rows; 4 evidence texts clipped to 300 chars | candidate_chains=1,,,,,,,,,,candidate_chains=1
E003,LLM_E003_002,媒体/评论者,保障性住房分配乱象源于保障对象不明确、申请人资格核实困难和违法成本过低,negative,世联地产分析指出分配乱象的深层原因,ev-00120,ev-00120: 世联地产新评:保障性住房分配乱象的原因分析 房天下2011/06/02 10:17 保障性住房分配乱象的原因分析 政府大力兴建保障性住房的目的是为了解决住房市场化带来的外部性问题，即为低收入住房困难家庭提供他们有能力负担的住房，保障人们的居住权利，维护社会公平。然而，在当前保障性住房分配过程中，骗购骗租保障性住房等种种乱象频频见诸报端。究其原因，世联地产研究认为，保障性住房的保障对象不明确、申请人资格核实困难、申请造假者违法成本过低等多种因素造成了保障性住房分配乱象丛生。 保障性住房的保障对象不明确 政府对廉租房和经济适用房作过明确的界定。1999年出台的《城镇廉租住房管理办法》规定：'城镇廉租住房是指政府和单位在住房领域实施社会保障职能，向具有城镇常住居民户口的收入家庭提供的租金相对低廉的普通住房。'2007年修订后的《经济适用住房管理办法》规定：'经济适用住房是指政府提供政策优惠，限定套型面积和销售价格，按照合理标准建设，面向城市低收入住房困难家庭供应，具有保障性质的政策性住房。'廉租房和经济适用房的保障对象很明确，前者是收入家庭，后者是低收入住房困难家庭。 然而，政府对保障性住房,success,success,tuple_warning=evidence pack truncated from 50 to 4 rows; 4 evidence texts clipped to 300 chars | chain_warning=evidence pack truncated from 50 to 4 rows; 4 evidence texts clipped to 300 chars | candidate_chains=1,,,,,,,,,,candidate_chains=1
E003,LLM_E003_003,企业外来员工/青年租户,住宿困难是企业招工和留人的难题，希望政府牵头建设保租房,neutral,人大代表建议中反映企业外来员工住宿需求,ev-00128,ev-00128: 关于加快推进建设公共租赁住房的建议 发布日期：2022-03-30 11:35:00 来源：苏州市吴中区人民政府 代 表 姓 名 沈勇华 建议号 第147号 事 由 ：关于加快推进建设公共租赁住房的建议 内 容： 企业外来员工住宿问题一直是困扰许多企业的一个难题，给企业招工、留住人才带来较大压力，近几年随着农村拆迁力度的加大，企业周边可租房源越来越少，租房环境越来越差，外来员工住宿成本也不断增大，还存在诸多安全隐患，也给周边群众和村庄人居环境管理带来诸多不便和影响。 建 议 ： 由政府牵头，组织相关职能部门在走访、调研企业外来员工住宿需求的基础上加以认真研究，针对大多数企业无条件自建宿舍的实际情况，出台相关政策，加快推进集体土地租赁住房项目的建设，为一线员工、高层次人才推出公租房、人才房等房源，更好的为企业员工提供一个低成本、高品质的就业环境，吸引更多的人才在这里扎根创业。同时要完善各类生活配套设施，营造更好、更具吸引力的宜居宜业环境，着力解决企业外来员工'住房难'问题，让企业引得进、留得住人才，进一步优化营商环境，更好的为企业服务。 承 办 单 位 住建局 备 注 沈勇华代表： 您提,success,success,tuple_warning=evidence pack truncated from 50 to 4 rows; 4 evidence texts clipped to 300 chars | chain_warning=evidence pack truncated from 50 to 4 rows; 4 evidence texts clipped to 300 chars | candidate_chains=1,,,,,,,,,,candidate_chains=1
E003,LLM_E003_004,住建部门/政府,推进工业（产业）园区配建保租房，提高配套比例，解决产业工人和人才住房问题,positive,泉州做法获住建部推广，证明该举措有效,ev-00133,ev-00133: 推进工业（产业）园区配建，让产业工人、引进人才安居 我市保租房经验获住建部推广 2023年11月03日 为工业园区配套建设的保租房解决了企业员工的后顾之忧 （林劲峰 摄） 本报讯 （记者谢曦 通讯员纪曾晓）小户型、低租金的保障性租赁住房，正成为我市满足新市民、青年人过渡性住房需求的重要力量。 为加快补齐住房租赁短板，我市结合全市工业（产业）园区标准化建设专项行动，将产业园区中工业项目配套建设行政办公及生活服务设施的用地面积占比上限由7%提高到15%，建筑面积占比上限相应提高到30%，积极推进工业（产业）园区配建保障性租赁住房，为产业工人、引进人才解决住房问题。今年，我市这一做法入选发展保障性租赁住房可复制可推广经验清单，获住建部推广。 走进位于洛江区的泉州市劲力工程机械有限公司保障性租赁住房宿舍楼，食堂、公共客厅、运动器械一应俱全。'小而美'的宿舍内配备了床、卫生间、空调、热水器、洗衣池等设施，基本实现'拎包入住'。 '大家每月都轮流打扫过道、楼梯，环境比较整洁。上班只需提前10分钟起床，厂区里还有篮球场。'来自龙岩的技术主管王焕乾对居住环境十分满意。'公司招聘时，提供宿舍这一点对新员,success,success,tuple_warning=evidence pack truncated from 50 to 4 rows; 4 evidence texts clipped to 300 chars | chain_warning=evidence pack truncated from 50 to 4 rows; 4 evidence texts clipped to 300 chars | candidate_chains=1,,,,,,,,,,candidate_chains=1
