record_type,event_id,record_id,evidence_ids,independent_source_count,independent_sources,missing_evidence_ids,confidence_route,required_action
tuple,E005,LLM_CANON_E005_001,ev-00096;ev-00097,1,kankanews.com,,low_confidence,human_review_required
tuple,E005,LLM_CANON_E005_002,ev-00096;ev-00097,1,kankanews.com,,low_confidence,human_review_required
tuple,E006,LLM_CANON_E006_001,ev-00116,1,sohu.com,,low_confidence,human_review_required
tuple,E046,LLM_CANON_E046_001,ev-01159,1,finance.eastmoney.com,,low_confidence,human_review_required
tuple,E046,LLM_CANON_E046_002,ev-01159,1,finance.eastmoney.com,,low_confidence,human_review_required
tuple,E048,LLM_CANON_E048_001,ev-01198;ev-01199;ev-01200;ev-01201,4,new.qq.com;partners.sina.cn;toutiao.com;view.inews.qq.com,,silver_candidate,standard_review
tuple,E004,LLM_CANON_E004_001,ev-00077;ev-00081;ev-00082;ev-00083;ev-00085;ev-01455;ev-01456;ev-01460,6,163.com;business.china.com;finance.jrj.com.cn;finance.stockstar.com;new.qq.com;sohu.com,,silver_candidate,standard_review
tuple,E004,LLM_CANON_E004_002,ev-00080;ev-00086;ev-00087,2,gz.gov.cn;hp.gov.cn,,silver_candidate,standard_review
tuple,E004,LLM_CANON_E004_003,ev-00080;ev-00086;ev-00087,2,gz.gov.cn;hp.gov.cn,,silver_candidate,standard_review
tuple,E004,LLM_CANON_E004_004,ev-01461;ev-01462;ev-01463,2,iyiou.com;tdzx.fuzhou.gov.cn,,silver_candidate,standard_review
tuple,E004,LLM_CANON_E004_005,ev-00084,1,toutiao.com,,low_confidence,human_review_required
tuple,E001,LLM_CANON_E001_001,ev-00001;ev-00002;ev-00004;ev-00007;ev-00008;ev-00009;ev-00010;ev-00015;ev-00022;ev-00029;ev-00030,7,by.gov.cn;cbgc.scol.com.cn;gz.gov.cn;gzdaily.dayoo.com;ipaper.oeeee.com;new.qq.com;sohu.com,,silver_candidate,standard_review
tuple,E001,LLM_CANON_E001_002,ev-00010;ev-00023;ev-00028,3,m.110ask.com;new.qq.com;sohu.com,,silver_candidate,standard_review
tuple,E001,LLM_CANON_E001_003,ev-00023,1,m.110ask.com,,low_confidence,human_review_required
