event_id,candidate_id,source_type,stakeholder,opinion,sentiment,rationale,evidence_ids,support_label,human_decision,gold_stakeholder,gold_opinion,gold_sentiment,gold_rationale,gold_evidence_ids,gold_support_label,edit_reason,reviewer_id,adjudication_status,notes,event_name,tuple_id,candidate_stakeholder,candidate_opinion,candidate_sentiment,candidate_rationale,candidate_evidence_ids,candidate_event_chain_stage,candidate_confidence,verification_label,verification_score,verification_rationale,issue_flags,evidence_quotes,evidence_texts,chain_confidence,missing_stages,gold_event_chain_stage,gold_event_chain_order,gold_notes,annotator_id,review_status
E001,LLM_E001_001,llm_preannotation,三元里村村民,总体上同意城中村改造，但对补偿安置方案的支持率偏低，存在诉求和不满,mixed,ev-00023显示改造同意率超过80%，但补偿方案支持率仅33.62%；ev-00010显示村民对征拆启动感到振奋，但支持率低表明存在不满,ev-00023;ev-00010,supported,accept,三元里村村民,总体上同意城中村改造，但对补偿安置方案的支持率偏低，存在诉求和不满,mixed,ev-00023显示改造同意率超过80%，但补偿方案支持率仅33.62%；ev-00010显示村民对征拆启动感到振奋，但支持率低表明存在不满,ev-00023;ev-00010,supported,,auto_reviewer,,,广州市白云区三元里村城中村改造补偿安置方案发布事件,LLM_E001_001,三元里村村民,总体上同意城中村改造，但对补偿安置方案的支持率偏低，存在诉求和不满,mixed,ev-00023显示改造同意率超过80%，但补偿方案支持率仅33.62%；ev-00010显示村民对征拆启动感到振奋，但支持率低表明存在不满,ev-00023;ev-00010,unknown,,supported,,,,,"属于白云新城辐射带的三元里村,改造已是大势所趋。截至5月30日,三元里城中村的居民同意城中村改造比率超过了80%,拆迁补偿方案支持比率为33.62%。城中村改造,集体和居民最直接的得益是什么?改造后,;经过长达十年的停滞,广州市白云区三元里村的旧城改造项目迎来了实质性进展。根据最新消息,白云区已成立13个征收工作组进驻三元里村,正式启动征拆工作。居民对这一变化感到振奋,已有多人主动前往工作组咨询征收",,,unknown,,,auto_reviewer,reviewed
E001,LLM_E001_002,llm_preannotation,广州市白云区政府,发布补偿安置方案，确保安置房全部回迁至改造范围内，并遵循‘拆一补一’原则,positive,官方文件及新闻报道强调安置方案内容，体现政府推进改造的积极立场,ev-00001;ev-00002,supported,accept,广州市白云区政府,发布补偿安置方案，确保安置房全部回迁至改造范围内，并遵循‘拆一补一’原则,positive,官方文件及新闻报道强调安置方案内容，体现政府推进改造的积极立场,ev-00001;ev-00002,supported,,auto_reviewer,,,广州市白云区三元里村城中村改造补偿安置方案发布事件,LLM_E001_002,广州市白云区政府,发布补偿安置方案，确保安置房全部回迁至改造范围内，并遵循‘拆一补一’原则,positive,官方文件及新闻报道强调安置方案内容，体现政府推进改造的积极立场,ev-00001;ev-00002,unknown,,supported,,,,,"1月10日,记者从广州市白云区获悉,根据已批复的三元里村城中村改造方案,村民的安置房全部回迁在改造范围内,即三元里街辖内。对于集体土地上的村民住宅,符合“一户一宅”等安置条件且选择安置的,按照“拆一补;南都讯1月10日,南都记者获悉,根据已批复的广州市白云区三元里村城中村改造方案,村民的安置房全部回迁在改造范围内,即三元里街辖内。对于集体土地上的村民住宅,符合“一户一宅”等安置条件且选择安置的,按照",,,unknown,,,auto_reviewer,reviewed
E001,LLM_E001_003,llm_preannotation,对改造持积极态度的村民,对征拆工作组进驻感到振奋，并主动前往咨询征收事宜,positive,"ev-00010 описано, что村民激动并咨询工作组",ev-00010,supported,accept,对改造持积极态度的村民,对征拆工作组进驻感到振奋，并主动前往咨询征收事宜,positive,"ev-00010 описано, что村民激动并咨询工作组",ev-00010,supported,,auto_reviewer,,,广州市白云区三元里村城中村改造补偿安置方案发布事件,LLM_E001_003,对改造持积极态度的村民,对征拆工作组进驻感到振奋，并主动前往咨询征收事宜,positive,"ev-00010 описано, что村民激动并咨询工作组",ev-00010,unknown,,supported,,,,,"经过长达十年的停滞,广州市白云区三元里村的旧城改造项目迎来了实质性进展。根据最新消息,白云区已成立13个征收工作组进驻三元里村,正式启动征拆工作。居民对这一变化感到振奋,已有多人主动前往工作组咨询征收",,,unknown,,,auto_reviewer,reviewed
E001,LLM_E001_004,llm_preannotation,对补偿方案不满的村民,仅33.62%的村民支持拆迁补偿方案，多数人可能对补偿标准不满,negative,ev-00023显示补偿方案支持率低，暗示负面情绪,ev-00023,supported,accept,对补偿方案不满的村民,仅33.62%的村民支持拆迁补偿方案，多数人可能对补偿标准不满,negative,ev-00023显示补偿方案支持率低，暗示负面情绪,ev-00023,supported,,auto_reviewer,,,广州市白云区三元里村城中村改造补偿安置方案发布事件,LLM_E001_004,对补偿方案不满的村民,仅33.62%的村民支持拆迁补偿方案，多数人可能对补偿标准不满,negative,ev-00023显示补偿方案支持率低，暗示负面情绪,ev-00023,unknown,,supported,,,,,"属于白云新城辐射带的三元里村,改造已是大势所趋。截至5月30日,三元里城中村的居民同意城中村改造比率超过了80%,拆迁补偿方案支持比率为33.62%。城中村改造,集体和居民最直接的得益是什么?改造后,",,,unknown,,,auto_reviewer,reviewed
E002,LLM_E002_001,llm_preannotation,小湾村、暮二村居民,支持城中村改造，100%完成签约,positive,多来源报道显示848户居民在签约期内全部完成签约，无遗留户，表明居民普遍支持改造方案。,ev-00042;ev-00044;ev-00041,supported,accept,小湾村、暮二村居民,支持城中村改造，100%完成签约,positive,多来源报道显示848户居民在签约期内全部完成签约，无遗留户，表明居民普遍支持改造方案。,ev-00042;ev-00044;ev-00041,supported,,auto_reviewer,,,上海市浦东新区唐镇小湾村、暮二村城中村改造签约与租客迁徙事件,LLM_E002_001,小湾村、暮二村居民,支持城中村改造，100%完成签约,positive,多来源报道显示848户居民在签约期内全部完成签约，无遗留户，表明居民普遍支持改造方案。,ev-00042;ev-00044;ev-00041,unknown,,supported,,,,,"摘要:浦东小湾村将变身高新产业园区。2024年1月3日,浦东唐镇小湾村“城中村”改造项目提前3天实现100%居民征收签约。与此同时,首批征收安置房地块启动建设,将提供2500余套安置房源,建筑面积共约;12月23日上午9时,唐镇小湾村、暮二村等地块“城中村”项目正式启动签约,此次签约将分成九个地块陆续启动。首先签约的是九号地块,共41产集土居民,当天100%签约,实现清盘。安置房源都在唐镇镇域内,分;近日,随着最后一户签约完成,唐镇小湾村、暮二村等地块“城中村”改造项目(以下简称“小湾村项目”)848产(1000多户)居民100%签约实现清盘,村民们住上新房的愿望,以不落下一户的方式全部得以实现。",,,unknown,,,auto_reviewer,reviewed
E002,LLM_E002_002,llm_preannotation,浦东新区唐镇政府,积极推动改造，提供安置房源和就业保障方案,positive,官方文件显示政府批复实施方案、启动安置房建设，并针对被征地人员制定就业和社会保障方案。,ev-00042;ev-00046;ev-00047;ev-00048,supported,accept,浦东新区唐镇政府,积极推动改造，提供安置房源和就业保障方案,positive,官方文件显示政府批复实施方案、启动安置房建设，并针对被征地人员制定就业和社会保障方案。,ev-00042;ev-00046;ev-00047;ev-00048,supported,,auto_reviewer,,,上海市浦东新区唐镇小湾村、暮二村城中村改造签约与租客迁徙事件,LLM_E002_002,浦东新区唐镇政府,积极推动改造，提供安置房源和就业保障方案,positive,官方文件显示政府批复实施方案、启动安置房建设，并针对被征地人员制定就业和社会保障方案。,ev-00042;ev-00046;ev-00047;ev-00048,unknown,,supported,,,,,"摘要:浦东小湾村将变身高新产业园区。2024年1月3日,浦东唐镇小湾村“城中村”改造项目提前3天实现100%居民征收签约。与此同时,首批征收安置房地块启动建设,将提供2500余套安置房源,建筑面积共约;关于申请唐镇小湾村暮二村等地块“城中村”改造项目地块四被征地人员就业和社会保障方案的公告确认 索引号 SY-310115-2024-03317 文件编号 浦唐府〔2024〕35号 发布机构 唐镇 公开;关于申请唐镇小湾村暮二村等地块“城中村”改造项目地块五被征地人员就业和社会保障方案的公告确认 索引号 SY-310115-2024-03318 文件编号 浦唐府〔2024〕36号 发布机构 唐镇 公开;关于申请唐镇小湾村暮二村等地块“城中村”改造项目地块八被征地人员就业和社会保障方案的公告确认 索引号 SY-310115-2024-01606 文件编号 浦唐府〔2024〕12号 发布机构 唐镇 公开",,,unknown,,,auto_reviewer,reviewed
E002,LLM_E002_003,llm_preannotation,浦东新区政府,批准改造项目实施方案并提供政策支持,positive,浦东新区人民政府正式批复《唐镇小湾村暮二村等地块“城中村”改造项目实施方案》，体现政策支持。,ev-00049,supported,accept,浦东新区政府,批准改造项目实施方案并提供政策支持,positive,浦东新区人民政府正式批复《唐镇小湾村暮二村等地块“城中村”改造项目实施方案》，体现政策支持。,ev-00049,supported,,auto_reviewer,,,上海市浦东新区唐镇小湾村、暮二村城中村改造签约与租客迁徙事件,LLM_E002_003,浦东新区政府,批准改造项目实施方案并提供政策支持,positive,浦东新区人民政府正式批复《唐镇小湾村暮二村等地块“城中村”改造项目实施方案》，体现政策支持。,ev-00049,unknown,,supported,,,,,浦东新区人民政府关于同意《唐镇小湾村暮二村等地块“城中村”改造项目实施方案》的批复 索引号 SY-310115-2024-00190 文件编号 浦府〔2023〕209号 发布机构 区政府 公开类别 主,,,unknown,,,auto_reviewer,reviewed
E003,LLM_E003_001,llm_preannotation,原业主（拆迁户）,对开发商长期拖欠过渡安置费表示强烈不满和担心，要求尽快支付所欠款项,negative,多篇证据直接反映开发商拖欠2022年过渡安置费，项目停工，业主多次反馈无果,ev-00056;ev-00060;ev-01438,supported,accept,原业主（拆迁户）,对开发商长期拖欠过渡安置费表示强烈不满和担心，要求尽快支付所欠款项,negative,多篇证据直接反映开发商拖欠2022年过渡安置费，项目停工，业主多次反馈无果,ev-00056;ev-00060;ev-01438,supported,,auto_reviewer,,,深圳市罗湖区金钻豪园旧改过渡安置费拖欠事件,LLM_E003_001,原业主（拆迁户）,对开发商长期拖欠过渡安置费表示强烈不满和担心，要求尽快支付所欠款项,negative,多篇证据直接反映开发商拖欠2022年过渡安置费，项目停工，业主多次反馈无果,ev-00056;ev-00060;ev-01438,unknown,,supported,,,,,"金钻豪园开发商拆迁户的22年的过渡安置费,开发商还未支付; 去年项目已经停工一段时间,见首轮哥公众号文章: 罗湖金钻豪园安居房,现在进度如何了? 对金钻豪园安居房不了解的可以看之前首轮哥公众号的文章:;最近热心粉丝爆料: 金钻豪园开发商拆迁户的22年的过渡安置费,开发商还未支付; 去年项目已经停工一段时间,见首轮哥公众号文章: 罗湖金钻豪园安居房,现在进度如何了? 对金钻豪园安居房不了解的可以看之前;[深圳市罗湖区] - 小区概况 罗湖区金钻豪园旧改拖欠租金安置费,原本今年4月份就应该收到旧改租金补偿款的我一直没收到这笔费用,其间去开发商办公室和街道办事处去咨询和反应这个问题,但是金钻豪园开发商一",,,unknown,,,auto_reviewer,reviewed
E003,LLM_E003_002,llm_preannotation,原业主（拆迁户）,对过渡安置费被长期拖欠感到无助和愤怒，多次前往开发商和街道办事处反应问题但未解决,negative,ev-01438详细描述业主前往开发商办公室和街道办咨询反应，但开发商推诿、街道办无果,ev-01438,supported,accept,原业主（拆迁户）,对过渡安置费被长期拖欠感到无助和愤怒，多次前往开发商和街道办事处反应问题但未解决,negative,ev-01438详细描述业主前往开发商办公室和街道办咨询反应，但开发商推诿、街道办无果,ev-01438,supported,,auto_reviewer,,,深圳市罗湖区金钻豪园旧改过渡安置费拖欠事件,LLM_E003_002,原业主（拆迁户）,对过渡安置费被长期拖欠感到无助和愤怒，多次前往开发商和街道办事处反应问题但未解决,negative,ev-01438详细描述业主前往开发商办公室和街道办咨询反应，但开发商推诿、街道办无果,ev-01438,unknown,,supported,,,,,"[深圳市罗湖区] - 小区概况 罗湖区金钻豪园旧改拖欠租金安置费,原本今年4月份就应该收到旧改租金补偿款的我一直没收到这笔费用,其间去开发商办公室和街道办事处去咨询和反应这个问题,但是金钻豪园开发商一",,,unknown,,,auto_reviewer,reviewed
E003,LLM_E003_003,llm_preannotation,罗湖区翠竹街道办事处,对金钻豪园旧改项目资金和盘活问题持续关注，积极协调引入中信城开等新合作方以推动问题解决,positive,ev-01440提到在多方的共同努力下签署盘活合作协议，且ev-01436显示后续用地批复，表明政府角色,ev-01440;ev-01436,partially_supported,accept,罗湖区翠竹街道办事处,对金钻豪园旧改项目资金和盘活问题持续关注，积极协调引入中信城开等新合作方以推动问题解决,positive,ev-01440提到在多方的共同努力下签署盘活合作协议，且ev-01436显示后续用地批复，表明政府角色,ev-01440;ev-01436,partially_supported,,auto_reviewer,,,深圳市罗湖区金钻豪园旧改过渡安置费拖欠事件,LLM_E003_003,罗湖区翠竹街道办事处,对金钻豪园旧改项目资金和盘活问题持续关注，积极协调引入中信城开等新合作方以推动问题解决,positive,ev-01440提到在多方的共同努力下签署盘活合作协议，且ev-01436显示后续用地批复，表明政府角色,ev-01440;ev-01436,unknown,,partially_supported,,,,,"困扰600余户回迁业主多年的深圳市罗湖区金钻豪园城市更新项目,近日取得了突破性进展。在多方的共同努力下,该项目正式签署了盘活合作协议,成功引入中信城开、中信金融资产联合体作为新的合作主体。这标志着这个;市规划和自然资源局罗湖管理局关于罗湖区翠竹街道金钻豪园城市更新单元项目(一期)用地批复的公告 日期: 2025-09-26 来源: 罗湖区翠竹街道金钻豪园城市更新单元项目(一期)用地已经审批通过,已取",,,unknown,,verification_rationale: ; issue_flags: ,auto_reviewer,reviewed
