event_id,gold_tuple_count,gold_evidence_id_count,selected_evidence_id_count,gold_evidence_in_prompt_count,gold_evidence_in_prompt_ratio,gold_evidence_in_chain_count,gold_evidence_in_chain_ratio,predicted_tuple_count,matched_tuple_count,zero_prediction,parse_success,chain_confidence,num_chain_stages_covered,gold_evidence_not_in_prompt,gold_evidence_not_in_chain,selected_non_gold_evidence_count,zero_prediction_reason
E001,4,4,12,2,0.5,2,0.5,0,0,True,True,0.2089,3,ev-00010|ev-00023,ev-00002|ev-00023,10,weak_chain_confidence_despite_some_gold_prompt_overlap
E002,3,7,12,5,0.7143,0,0.0,0,0,True,True,0.0,0,ev-00048|ev-00049,ev-00041|ev-00042|ev-00044|ev-00046|ev-00047|ev-00048|ev-00049,7,gold_evidence_absent_from_event_chain
E003,3,5,12,2,0.4,1,0.2,3,0,False,True,0.0104,1,ev-01436|ev-01438|ev-01440,ev-00056|ev-00060|ev-01436|ev-01440,10,weak_chain_confidence_despite_some_gold_prompt_overlap
E004,3,4,12,3,0.75,0,0.0,3,2,False,True,0.0132,1,ev-01460,ev-00076|ev-00080|ev-00081|ev-01460,9,gold_evidence_absent_from_event_chain
E005,3,2,12,2,1.0,1,0.5,2,2,False,True,0.0325,1,,ev-00097,10,weak_chain_confidence_despite_some_gold_prompt_overlap
E006,3,3,12,3,1.0,0,0.0,1,1,False,True,0.1769,1,,ev-00116|ev-00119|ev-00124,9,gold_evidence_absent_from_event_chain
E007,3,3,12,2,0.6667,1,0.3333,3,2,False,True,0.2556,2,ev-00154,ev-00137|ev-00154,10,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E008,3,2,12,1,0.5,2,1.0,2,0,False,True,0.3898,2,ev-00179,,11,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E009,3,3,12,2,0.6667,0,0.0,2,1,False,True,0.3552,2,ev-01536,ev-00205|ev-00206|ev-01536,10,gold_evidence_absent_from_event_chain
E010,3,3,12,1,0.3333,0,0.0,0,0,True,True,0.0,0,ev-00238|ev-01564,ev-00225|ev-00238|ev-01564,11,gold_evidence_absent_from_event_chain
E011,5,7,12,3,0.4286,2,0.2857,4,3,False,True,0.5292,3,ev-01576|ev-01584|ev-01585|ev-01589,ev-00242|ev-01576|ev-01584|ev-01585|ev-01589,9,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E012,5,8,12,5,0.625,4,0.5,4,1,False,True,0.6525,4,ev-01591|ev-01599|ev-01603,ev-00260|ev-00264|ev-01591|ev-01603,7,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E013,3,7,12,2,0.2857,2,0.2857,2,2,False,True,0.5362,4,ev-00291|ev-01621|ev-01622|ev-01625|ev-01630,ev-00291|ev-01621|ev-01622|ev-01625|ev-01630,10,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E014,3,6,12,3,0.5,0,0.0,1,1,False,True,0.1634,1,ev-01640|ev-01642|ev-01644,ev-00300|ev-00301|ev-00309|ev-01640|ev-01642|ev-01644,9,gold_evidence_absent_from_event_chain
E015,3,6,12,6,1.0,5,0.8333,2,1,False,True,0.4785,3,,ev-00333,6,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E016,4,6,12,3,0.5,3,0.5,3,1,False,True,0.312,1,ev-00385|ev-00390|ev-00400,ev-00362|ev-00390|ev-00400,9,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E017,3,5,12,5,1.0,4,0.8,1,1,False,True,0.5127,3,,ev-00407,7,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E018,4,7,12,4,0.5714,1,0.1429,2,1,False,True,0.3877,2,ev-01651|ev-01653|ev-01654,ev-00437|ev-00439|ev-00445|ev-01651|ev-01653|ev-01654,8,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E019,5,12,12,4,0.3333,2,0.1667,2,2,False,True,0.2155,1,ev-01673|ev-01676|ev-01677|ev-01678|ev-01680|ev-01682|ev-01683|ev-01685,ev-00460|ev-00461|ev-01673|ev-01676|ev-01677|ev-01678|ev-01680|ev-01682|ev-01683|ev-01685,8,weak_chain_confidence_despite_some_gold_prompt_overlap
E020,5,13,12,7,0.5385,9,0.6923,3,3,False,True,0.7629,4,ev-00482|ev-00485|ev-01697|ev-01698|ev-01702|ev-01706,ev-00482|ev-01697|ev-01702|ev-01706,5,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E021,3,5,12,3,0.6,5,1.0,4,2,False,True,0.7622,4,ev-01714|ev-01722,,9,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E022,3,4,12,4,1.0,2,0.5,2,1,False,True,0.6677,4,,ev-00520|ev-00521,8,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E023,5,8,12,2,0.25,4,0.5,2,2,False,True,0.6573,3,ev-00552|ev-00563|ev-00564|ev-00565|ev-00570|ev-00581,ev-00552|ev-00565|ev-00570|ev-00581,10,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E024,3,5,12,2,0.4,0,0.0,3,2,False,True,0.199,2,ev-01760|ev-01761|ev-01762,ev-00584|ev-00586|ev-01760|ev-01761|ev-01762,10,gold_evidence_absent_from_event_chain
E025,3,4,12,3,0.75,3,0.75,2,2,False,True,0.8096,4,ev-01777,ev-01777,9,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
E026,3,6,12,4,0.6667,1,0.1667,3,1,False,True,0.3681,2,ev-01792|ev-01799,ev-00623|ev-00626|ev-00627|ev-01792|ev-01799,8,llm_or_prompt_declined_extraction_despite_some_gold_prompt_overlap
