event_id,chain_id,event_chain,evidence_ids,evidence_texts,evidence_source_types,evidence_urls,evidence_titles,evidence_dates,review_decision,revised_event_chain,revised_evidence_ids,reviewer_note,reviewer_id,adjudication_status
E001,CHAIN_E001_001,白云区政府印发三元里村城中村改造补偿安置方案 ||| 村民对补偿方案支持率仅33.62%，引发争议 ||| 政府解释“拆一补一”原则及回迁安置细节 ||| 白云区成立13个征收工作组进驻三元里村，启动征拆,ev-00001;ev-00029;ev-00023;ev-00007;ev-00008;ev-00010,"1月10日,记者从广州市白云区获悉,根据已批复的三元里村城中村改造方案,村民的安置房全部回迁在改造范围内,即三元里街辖内。对于集体土地上的村民住宅,符合“一户一宅”等安置条件且选择安置的,按照“拆一补 ||| 三元里村城中村改造项目补偿安置方案已印发 三元里村城中村改造项目效果图 广州日报全媒体记者庄小龙 通讯员郑少敏 摄 广州日报讯 (全媒体记者汤南 通讯员周亚君、郑少敏)1月10日,记者从广州市白 ||| 属于白云新城辐射带的三元里村,改造已是大势所趋。截至5月30日,三元里城中村的居民同意城中村改造比率超过了80%,拆迁补偿方案支持比率为33.62%。城中村改造,集体和居民最直接的得益是什么?改造后, ||| 记者近日从广州市白云区三元里街了解到,根据已批复的三元里村城中村改造方案,村民的安置房全部回迁在改造范围内,即三元里街辖内。对于集体土地上的村民住宅,符合“一户一宅”等安置条件且选择安置的,按照“拆一 ||| 对于集体土地上的村民住宅,符合“一户一宅”等安置条件且选择安置的,按照“拆一补一”的原则,按房屋实测面积且不超过280平方米进行核定安置面积。日前,白云区政府印发三元里村城中村改造项目土地及房屋征收补 ||| 经过长达十年的停滞,广州市白云区三元里村的旧城改造项目迎来了实质性进展。根据最新消息,白云区已成立13个征收工作组进驻三元里村,正式启动征拆工作。居民对这一变化感到振奋,已有多人主动前往工作组咨询征收",official ||| mainstream_news ||| public_web ||| mainstream_news ||| mainstream_news ||| mainstream_news,https://www.gz.gov.cn/zwfw/zxfw/zffw/content/post_10072842.html ||| https://gzdaily.dayoo.com/h5/html5/2025-01/11/content_866_877324.htm?curr= ||| https://m.110ask.com/zhishi/4553253002018355922.html ||| https://new.qq.com/rain/a/20250112A01OVR00 ||| https://new.qq.com/rain/a/20250112A01PZS00 ||| https://www.sohu.com/a/881537084_121885030,,,uncertain,,,,,
E001,CHAIN_E001_002,三元里村城中村改造补偿安置方案发布 ||| 居民同意改造率超80%，但补偿方案支持率低 ||| 2025年5月发布“村改居独栋村居类型”住宅房屋扶助方案征求意见稿 ||| 2025年6月发布旧村地块国有土地上房屋征收补偿补充方案征求意见稿,ev-00001;ev-00023;ev-00018;ev-00013,"1月10日,记者从广州市白云区获悉,根据已批复的三元里村城中村改造方案,村民的安置房全部回迁在改造范围内,即三元里街辖内。对于集体土地上的村民住宅,符合“一户一宅”等安置条件且选择安置的,按照“拆一补 ||| 属于白云新城辐射带的三元里村,改造已是大势所趋。截至5月30日,三元里城中村的居民同意城中村改造比率超过了80%,拆迁补偿方案支持比率为33.62%。城中村改造,集体和居民最直接的得益是什么?改造后, ||| 广州市白云区人民政府国有土地上房屋征收办公室关于广州市白云区三元里村城中村改造项目“村改居独栋村居类型”住宅房屋扶助方案(征求意见稿)征求公众意见的公告 2025-05-09 广州市白云区人民政府国有 ||| 发布日期:2025-06-25 11:19:51 来源:区土地开发中心 字体大小:大中小 《关于广州市白云区三元里村城中村改造项目旧村地块国有土地上房屋征收补偿补充方案(征求意见稿)征求公众意见的公告",official ||| public_web ||| official ||| official,https://www.gz.gov.cn/zwfw/zxfw/zffw/content/post_10072842.html ||| https://m.110ask.com/zhishi/4553253002018355922.html ||| https://www.by.gov.cn/zwgk/zdlyxxgkzl/gytdsfwzsbcxxgkzl ||| https://www.by.gov.cn/zwgk/zdlyxxgkzl/gytdsfwzsbcxxgkzl/gytdsfwzsxmxx/content/post_10325899.html,,,uncertain,,,,,
E001,CHAIN_E001_003,方案发布后引发社会关注 ||| 部分居民对安置和补偿标准提出质疑 ||| 政府组织征收工作组进驻，开展政策咨询和签约 ||| 改造项目按计划推进,ev-00010;ev-00015;ev-00023;ev-00001,"经过长达十年的停滞,广州市白云区三元里村的旧城改造项目迎来了实质性进展。根据最新消息,白云区已成立13个征收工作组进驻三元里村,正式启动征拆工作。居民对这一变化感到振奋,已有多人主动前往工作组咨询征收 ||| 云府办〔2025〕11号 三元里街、景泰街道办事处,区土地开发中心(区征地办)、区规划和自然资源分局、区公安分局、区民政局、区司法局、区财政局、区人力资源社会保障局、市生态环境局白云分局、区住房建设交 ||| 属于白云新城辐射带的三元里村,改造已是大势所趋。截至5月30日,三元里城中村的居民同意城中村改造比率超过了80%,拆迁补偿方案支持比率为33.62%。城中村改造,集体和居民最直接的得益是什么?改造后, ||| 1月10日,记者从广州市白云区获悉,根据已批复的三元里村城中村改造方案,村民的安置房全部回迁在改造范围内,即三元里街辖内。对于集体土地上的村民住宅,符合“一户一宅”等安置条件且选择安置的,按照“拆一补",mainstream_news ||| official ||| public_web ||| official,https://www.sohu.com/a/881537084_121885030 ||| https://www.by.gov.cn/zwgk/zdlyxxgkzl/zdxxgkzl/zdbcazfaggxx/content/post_10077363.html ||| https://m.110ask.com/zhishi/4553253002018355922.html ||| https://www.gz.gov.cn/zwfw/zxfw/zffw/content/post_10072842.html,,,uncertain,,,,,
E002,CHAIN_E002_001,小湾村、暮二村城中村改造项目启动签约 ||| 可建未建房屋建筑问题引发关注 ||| 浦东新区政府批复改造实施方案 ||| 居民100%签约清盘，安置房启动建设,ev-00044;ev-00036;ev-00049;ev-00041;ev-00042,"12月23日上午9时,唐镇小湾村、暮二村等地块“城中村”项目正式启动签约,此次签约将分成九个地块陆续启动。首先签约的是九号地块,共41产集土居民,当天100%签约,实现清盘。安置房源都在唐镇镇域内,分 ||| “房屋产权人”“符合建房条件人数”“核定可建总面积”......唐镇小湾村暮二村等地块“城中村”拔点改造项目持续推进。11月27日,基地可建未建房屋建筑 ||| 浦东新区人民政府关于同意《唐镇小湾村暮二村等地块“城中村”改造项目实施方案》的批复 索引号 SY-310115-2024-00190 文件编号 浦府〔2023〕209号 发布机构 区政府 公开类别 主 ||| 近日,随着最后一户签约完成,唐镇小湾村、暮二村等地块“城中村”改造项目(以下简称“小湾村项目”)848产(1000多户)居民100%签约实现清盘,村民们住上新房的愿望,以不落下一户的方式全部得以实现。 ||| 摘要:浦东小湾村将变身高新产业园区。2024年1月3日,浦东唐镇小湾村“城中村”改造项目提前3天实现100%居民征收签约。与此同时,首批征收安置房地块启动建设,将提供2500余套安置房源,建筑面积共约",mainstream_news ||| social_media ||| official ||| mainstream_news ||| social_media,https://www.jfdaily.com/sgh/detail?id=1212752 ||| https://www.toutiao.com/article/7307227346644304434/ ||| https://www.pudong.gov.cn/zwgk/14527.gkml_ywl_cxjsgl/2024/9/321833.html ||| https://m.thepaper.cn/newsDetail_forward_26021880 ||| https://www.163.com/dy/article/INP4R12A055040N3.html,,,uncertain,,,,,
E002,CHAIN_E002_002,改造项目征收评估启动 ||| 签约过程中出现可建未建等争议 ||| 区委领导调研推进城市更新工作 ||| 100%居民签约完成及社保方案公告,ev-01420;ev-00036;ev-01425;ev-00041;ev-00046,"共282户,唐镇城中村改造动迁评估即将展开,涉及小湾村、一心村、暮二村、唐四村、机口村等多个村组,未来动迁户将全部安置在唐镇区域内。沪浦预征地告〔2023〕第307号,涉及暮二村3、4、5、6、8组范 ||| “房屋产权人”“符合建房条件人数”“核定可建总面积”......唐镇小湾村暮二村等地块“城中村”拔点改造项目持续推进。11月27日,基地可建未建房屋建筑 ||| 1月2日,上海市委常委、浦东新区区委书记朱芝松前往合庆镇老集镇、南社区“城中村”改造项目现场,川沙新市镇城东社区D06B-08地块征收安置房项目现场调研,加快推进浦东城市更新工作。 合庆镇老集镇、南社 ||| 近日,随着最后一户签约完成,唐镇小湾村、暮二村等地块“城中村”改造项目(以下简称“小湾村项目”)848产(1000多户)居民100%签约实现清盘,村民们住上新房的愿望,以不落下一户的方式全部得以实现。 ||| 关于申请唐镇小湾村暮二村等地块“城中村”改造项目地块四被征地人员就业和社会保障方案的公告确认 索引号 SY-310115-2024-03317 文件编号 浦唐府〔2024〕35号 发布机构 唐镇 公开",social_media ||| social_media ||| forum ||| mainstream_news ||| official,https://www.163.com/dy/article/IGP2KRT10525L0GC.html ||| https://www.toutiao.com/article/7307227346644304434/ ||| https://www.thepaper.cn/newsDetail_forward_25871726 ||| https://m.thepaper.cn/newsDetail_forward_26021880 ||| https://www.pudong.gov.cn/zwgk/14526.gkml_ywl_shbz/2024/177/328029.html,,,uncertain,,,,,
E002,CHAIN_E002_003,政府批复城中村改造实施方案 ||| 外来租客大规模迁徙引发安置讨论 ||| 支持专业化租赁企业参与房源整租运营 ||| 安置房建设开工及被征地人员社保方案确认,ev-00049;ev-00042;ev-00038;ev-00048,"浦东新区人民政府关于同意《唐镇小湾村暮二村等地块“城中村”改造项目实施方案》的批复 索引号 SY-310115-2024-00190 文件编号 浦府〔2023〕209号 发布机构 区政府 公开类别 主 ||| 摘要:浦东小湾村将变身高新产业园区。2024年1月3日,浦东唐镇小湾村“城中村”改造项目提前3天实现100%居民征收签约。与此同时,首批征收安置房地块启动建设,将提供2500余套安置房源,建筑面积共约 ||| 二、工作措施 (一)支持专业化规模化住房租赁企业参与 支持专业化规模化住房租赁企业参与“城中村”房源整租运营。一是支持村集体经济组织、村民自主成立专业化规模化住房租赁企业运营租赁房源;二是支持村集体经 ||| 关于申请唐镇小湾村暮二村等地块“城中村”改造项目地块八被征地人员就业和社会保障方案的公告确认 索引号 SY-310115-2024-01606 文件编号 浦唐府〔2024〕12号 发布机构 唐镇 公开",official ||| social_media ||| mainstream_news ||| official,https://www.pudong.gov.cn/zwgk/14527.gkml_ywl_cxjsgl/2024/9/321833.html ||| https://www.163.com/dy/article/INP4R12A055040N3.html ||| https://news.bbaqw.com/zh/14613.htm ||| https://www.pudong.gov.cn/zwgk/14526.gkml_ywl_shbz/2024/90/325278.html,,,uncertain,,,,,
E003,CHAIN_E003_001,开发商拖欠金钻豪园业主过渡安置费 ||| 业主向街道办事处及相关部门反映问题 ||| 官方回应正在协调解决资金和项目盘活方案 ||| 引入中信联合体签署盘活合作协议，解决安置费问题,ev-00056;ev-01438;ev-00059;ev-01440,"金钻豪园开发商拆迁户的22年的过渡安置费,开发商还未支付; 去年项目已经停工一段时间,见首轮哥公众号文章: 罗湖金钻豪园安居房,现在进度如何了? 对金钻豪园安居房不了解的可以看之前首轮哥公众号的文章: ||| [深圳市罗湖区] - 小区概况 罗湖区金钻豪园旧改拖欠租金安置费,原本今年4月份就应该收到旧改租金补偿款的我一直没收到这笔费用,其间去开发商办公室和街道办事处去咨询和反应这个问题,但是金钻豪园开发商一 ||| 深圳的城市更新项目推进遇阻,不少居民面临过渡安置费拖欠问题。资金紧缺、市场低迷成主要原因,开发商放慢了更新步伐,多项目停工。官方正在逐步协调解决,试图引入国企盘活项目,但进展缓慢。 楼市低迷,城市更新 ||| 困扰600余户回迁业主多年的深圳市罗湖区金钻豪园城市更新项目,近日取得了突破性进展。在多方的共同努力下,该项目正式签署了盘活合作协议,成功引入中信城开、中信金融资产联合体作为新的合作主体。这标志着这个",mainstream_news ||| public_web ||| mainstream_news ||| mainstream_news,https://news.sohu.com/a/654223283_121314735 ||| https://xiaoqushuo.com/shenzhen/JHKSCUAIDF ||| https://sz.news.fang.com/open/51083915.html ||| https://news.qq.com/rain/a/20251121A06X3800,,,uncertain,,,,,
E003,CHAIN_E003_002,金钻豪园旧改项目自2005年启动，经历多次波折 ||| 楼市下行导致项目停工，过渡费长期拖欠 ||| 罗湖区翠竹街道及区级部门介入协调 ||| 2025年项目获用地批复，盘活协议签订,ev-01439;ev-01435;ev-00059;ev-01436,"深圳市罗湖区金钻豪园城市更新项目:时间线和资金问题 金钻豪园城市更新项目位于深圳市罗湖区翠竹街道,是深圳城市更新单元首批旧住宅区更新改造的八个试点项目之一。该项目自2005年开始,经历了多个阶段的发展 ||| 楼市下行、城市更新受阻,深圳一批村民陷入无法按时获得过渡安置费的困局。过渡安置费(简称”过渡费“)指的是拆迁人(开发商/项目合作方)在拆迁过渡期对原业主可能发生费用的补偿。在深圳,不少城市更新项目的过 ||| 深圳的城市更新项目推进遇阻,不少居民面临过渡安置费拖欠问题。资金紧缺、市场低迷成主要原因,开发商放慢了更新步伐,多项目停工。官方正在逐步协调解决,试图引入国企盘活项目,但进展缓慢。 楼市低迷,城市更新 ||| 市规划和自然资源局罗湖管理局关于罗湖区翠竹街道金钻豪园城市更新单元项目(一期)用地批复的公告 日期: 2025-09-26 来源: 罗湖区翠竹街道金钻豪园城市更新单元项目(一期)用地已经审批通过,已取",social_media ||| social_media ||| mainstream_news ||| official,https://m.toutiao.com/article/7348835135548146226/ ||| https://www.163.com/dy/article/JBOFR0J60519DDQ2.html ||| https://sz.news.fang.com/open/51083915.html ||| http://pnr.sz.gov.cn/luohu/tzgg/content/post_12413904.html,,,uncertain,,,,,
E003,CHAIN_E003_003,拆迁户反映2022年过渡安置费未支付 ||| 居民多次咨询开发商和街道无果 ||| 新闻媒体报道揭露多项目过渡费拖欠困局 ||| 官方推动引入国企盘活项目，最终达成协议,ev-00056;ev-01438;ev-00057;ev-01440,"金钻豪园开发商拆迁户的22年的过渡安置费,开发商还未支付; 去年项目已经停工一段时间,见首轮哥公众号文章: 罗湖金钻豪园安居房,现在进度如何了? 对金钻豪园安居房不了解的可以看之前首轮哥公众号的文章: ||| [深圳市罗湖区] - 小区概况 罗湖区金钻豪园旧改拖欠租金安置费,原本今年4月份就应该收到旧改租金补偿款的我一直没收到这笔费用,其间去开发商办公室和街道办事处去咨询和反应这个问题,但是金钻豪园开发商一 ||| 楼市下行、城市更新受阻,深圳一批村民陷入无法按时获得过渡安置费的困局。 过渡安置费(简称“过渡费”)指的是拆迁人(开发商/项目合作方)在拆迁过渡期对原业主可能发生费用的补偿。在深圳,不少城市更新项目的 ||| 困扰600余户回迁业主多年的深圳市罗湖区金钻豪园城市更新项目,近日取得了突破性进展。在多方的共同努力下,该项目正式签署了盘活合作协议,成功引入中信城开、中信金融资产联合体作为新的合作主体。这标志着这个",mainstream_news ||| public_web ||| mainstream_news ||| mainstream_news,https://news.sohu.com/a/654223283_121314735 ||| https://xiaoqushuo.com/shenzhen/JHKSCUAIDF ||| https://finance.eastmoney.com/a/202409103180196151.html ||| https://news.qq.com/rain/a/20251121A06X3800,,,uncertain,,,,,
E005,CHAIN_E005_001,物业提出三年三连涨方案 ||| 居民激烈反对争吵 ||| 居民投诉至12345及媒体 ||| 媒体报道事件，暂无解决,ev-00096;ev-00097,"在12345市民热线系统中,关于物业服务的投诉总量排名前列,堪称基层治理的“硬骨头”。比如,虹凉馨苑小区就因为物业要涨物业费,引发了居民与物业之间的一场激烈争吵。“不需要你提醒,我说话不要插嘴。你说什 ||| 小区物业费要连涨三年?居民吵到拍台子 2025-06-26 20:24:40 看看新闻Knews记者 潘窈窈 在12345市民热线系统中,关于物业服务的投诉总量排名前列,堪称""基层治理的硬骨头"",比如",public_interaction ||| public_interaction,https://www.kankanews.com/detail/DgwMVGOYZ2W ||| https://www.kankanews.com/detail/RZ2n6xM072j,,,uncertain,,,,,
