topic_id,legacy_event_id,field,topic_name,candidate_event_id,candidate_event_name,candidate_event_description,location_province,location_city,location_district,location_site,event_start,event_end,trigger,anchor_entities,anchor_urls,discovery_queries,candidate_status,unique_occurrence,time_anchor_present,entity_anchor_present,trigger_present,stakeholders_identifiable,public_evidence_traceable,single_event_chain_feasible,rejection_reason,reviewer_id,notes
T001,E001,城市更新与住房民生,某市旧城改造补偿争议,CAND_T001_001,,,,,,,,,,,,旧城改造 补偿 争议; 旧改 安置 不满; 拆迁 补偿 方案 居民; 政府回应 旧改 补偿,new,,,,,,,,,,
T002,E002,城市更新与住房民生,某区老旧小区加装电梯费用分摊争议,CAND_T002_001,,,,,,,,,,,,加装电梯 费用分摊; 老旧小区 电梯 低层反对; 居民协商 加装电梯; 社区回应 电梯改造,new,,,,,,,,,,
T003,E003,城市更新与住房民生,某市保障性租赁住房申请资格争议,CAND_T003_001,,,,,,,,,,,,保障性租赁住房 申请资格; 保租房 分配 公平; 住房审核 不透明; 住建部门 回应 保租房,new,,,,,,,,,,
T004,E004,城市更新与住房民生,某市城中村改造租户安置问题,CAND_T004_001,,,,,,,,,,,,城中村改造 租户 安置; 租金上涨 城中村 拆迁; 外来务工人员 搬迁 困难; 街道回应 城中村改造,new,,,,,,,,,,
T005,E005,城市更新与住房民生,某地物业费上涨引发业主维权,CAND_T005_001,,,,,,,,,,,,物业费 上涨 业主维权; 物业服务 差 收费高; 业委会 物业费 争议; 住建局 回应 物业收费,new,,,,,,,,,,
T006,E006,城市更新与住房民生,某市棚户区改造延期交付争议,CAND_T006_001,,,,,,,,,,,,棚户区改造 延期交付; 回迁房 逾期 安置费; 棚改 过渡费 拖欠; 政府回应 回迁 延期,new,,,,,,,,,,
T007,E007,城市更新与住房民生,某小区停车位规划调整争议,CAND_T007_001,,,,,,,,,,,,停车位 规划调整 争议; 小区绿地 改停车位; 车位收费 业主 不满; 物业回应 停车位,new,,,,,,,,,,
T008,E008,城市更新与住房民生,某市历史街区商业化改造争议,CAND_T008_001,,,,,,,,,,,,历史街区 商业化 改造; 城市更新 文化保护 争议; 原住民 搬迁 历史街区; 文旅开发 居民生活,new,,,,,,,,,,
T009,E009,城市更新与住房民生,某市共有产权房定价争议,CAND_T009_001,,,,,,,,,,,,共有产权房 定价 争议; 产权比例 购房者 质疑; 共有产权房 退出机制; 住建部门 回应 定价,new,,,,,,,,,,
T010,E010,城市更新与住房民生,某地老旧小区改造施工扰民投诉,CAND_T010_001,,,,,,,,,,,,老旧小区改造 施工扰民; 施工噪声 居民投诉; 改造工期 拖延; 街道回应 施工扰民,new,,,,,,,,,,
T011,E011,教育与未成年人权益,某地中小学课后服务收费争议,CAND_T011_001,,,,,,,,,,,,课后服务 收费 争议; 中小学 延时服务 费用; 家长 课后服务 不满; 教育局 回应 课后服务,new,,,,,,,,,,
T012,E012,教育与未成年人权益,某校食堂食品安全投诉事件,CAND_T012_001,,,,,,,,,,,,学校食堂 食品安全; 学生 食堂 饭菜质量; 家长 投诉 校园餐; 市场监管 回应 学校食堂,new,,,,,,,,,,
T013,E013,教育与未成年人权益,某地校外培训机构退费难事件,CAND_T013_001,,,,,,,,,,,,培训机构 退费难; 校外培训 停课 退款; 家长 维权 培训费; 教育部门 回应 退费,new,,,,,,,,,,
T014,E014,教育与未成年人权益,某市学区划片调整争议,CAND_T014_001,,,,,,,,,,,,学区划片 调整 争议; 入学政策 家长 不满; 学区房 预期 变化; 教育局 回应 划片,new,,,,,,,,,,
T015,E015,教育与未成年人权益,某校教师不当言行引发关注,CAND_T015_001,,,,,,,,,,,,教师 不当言行 师德; 课堂 言论 家长投诉; 学校回应 教师处理; 师德师风 舆情,new,,,,,,,,,,
T016,E016,教育与未成年人权益,某地中考体育项目调整争议,CAND_T016_001,,,,,,,,,,,,中考体育 项目调整; 体育考试 评分标准 争议; 学生 备考压力 体育; 教育局 回应 中考体育,new,,,,,,,,,,
T017,E017,教育与未成年人权益,某幼儿园收费项目不透明事件,CAND_T017_001,,,,,,,,,,,,幼儿园 收费 不透明; 保教费 餐费 争议; 家长 投诉 幼儿园收费; 教育部门 回应 幼儿园,new,,,,,,,,,,
T018,E018,教育与未成年人权益,某地校园欺凌处置争议,CAND_T018_001,,,,,,,,,,,,校园欺凌 处置 争议; 学生 被欺凌 学校回应; 未成年人保护 校园安全; 家长 维权 校园欺凌,new,,,,,,,,,,
T019,E019,教育与未成年人权益,某高校宿舍条件引发学生吐槽,CAND_T019_001,,,,,,,,,,,,高校宿舍 条件 差; 宿舍收费 设施 老化; 学生 吐槽 后勤服务; 学校回应 宿舍改造,new,,,,,,,,,,
T020,E020,教育与未成年人权益,某地学生心理健康服务不足争议,CAND_T020_001,,,,,,,,,,,,学生心理健康 服务不足; 学校 心理咨询 资源; 家校沟通 心理问题; 教育局 回应 心理健康,new,,,,,,,,,,
T021,E021,医疗健康与养老服务,某医院挂号难和排队时间长争议,CAND_T021_001,,,,,,,,,,,,医院 挂号难 排队久; 预约挂号 系统 问题; 候诊时间 长 患者不满; 卫健委 回应 挂号难,new,,,,,,,,,,
T022,E022,医疗健康与养老服务,某地医保报销比例调整争议,CAND_T022_001,,,,,,,,,,,,医保报销 比例调整; 医保政策 个人负担; 患者 质疑 报销减少; 医保局 回应 报销,new,,,,,,,,,,
T023,E023,医疗健康与养老服务,某社区卫生服务中心药品短缺投诉,CAND_T023_001,,,,,,,,,,,,社区医院 药品短缺; 慢病患者 取药难; 基层医疗 常用药 不足; 卫健部门 回应 药品供应,new,,,,,,,,,,
T024,E024,医疗健康与养老服务,某养老院服务质量争议,CAND_T024_001,,,,,,,,,,,,养老院 服务质量 争议; 老人 护理 不到位; 养老机构 收费 标准; 民政部门 回应 养老院,new,,,,,,,,,,
T025,E025,医疗健康与养老服务,某地互联网医院处方审核争议,CAND_T025_001,,,,,,,,,,,,互联网医院 处方审核; 线上问诊 用药安全; 电子处方 监管 争议; 卫健委 回应 互联网医院,new,,,,,,,,,,
T026,E026,医疗健康与养老服务,某医院检查费用过高引发质疑,CAND_T026_001,,,,,,,,,,,,医院 检查费用 高; 过度检查 患者质疑; 医疗费用 不透明; 卫健部门 回应 检查费,new,,,,,,,,,,
T027,E027,医疗健康与养老服务,某地儿童疫苗预约困难事件,CAND_T027_001,,,,,,,,,,,,儿童疫苗 预约困难; 疫苗供应 不足 家长; 接种点 排队 时间长; 疾控中心 回应 疫苗,new,,,,,,,,,,
T028,E028,医疗健康与养老服务,某地长期护理保险服务争议,CAND_T028_001,,,,,,,,,,,,长期护理保险 评估标准; 长护险 服务 不足; 老人 家属 护理负担; 医保局 回应 长护险,new,,,,,,,,,,
T029,E029,医疗健康与养老服务,某医院陪护管理新规引发争议,CAND_T029_001,,,,,,,,,,,,医院 陪护管理 新规; 探视限制 家属 不满; 陪护人数 限制 争议; 医院回应 陪护制度,new,,,,,,,,,,
T030,E030,医疗健康与养老服务,某地家庭医生签约服务效果争议,CAND_T030_001,,,,,,,,,,,,家庭医生 签约 服务不足; 基层医疗 居民 感受; 家庭医生 上门服务; 卫健部门 回应 签约服务,new,,,,,,,,,,
T031,E031,生态环境与公共安全,某地化工异味扰民投诉事件,CAND_T031_001,,,,,,,,,,,,化工异味 扰民 投诉; 工业园区 气味 污染; 居民 健康 担忧 异味; 生态环境局 回应 异味,new,,,,,,,,,,
T032,E032,生态环境与公共安全,某市建筑工地扬尘污染争议,CAND_T032_001,,,,,,,,,,,,工地扬尘 污染 争议; 建筑施工 扬尘 扰民; 夜间施工 居民投诉; 城管回应 扬尘治理,new,,,,,,,,,,
T033,E033,生态环境与公共安全,某地生活垃圾分类执法争议,CAND_T033_001,,,,,,,,,,,,垃圾分类 执法 争议; 垃圾分类 罚款 居民; 社区 宣传 不足 垃圾分类; 城管回应 垃圾分类,new,,,,,,,,,,
T034,E034,生态环境与公共安全,某市内涝积水引发出行安全关注,CAND_T034_001,,,,,,,,,,,,城市内涝 积水 出行; 暴雨 排水 不畅; 道路积水 安全隐患; 应急部门 回应 内涝,new,,,,,,,,,,
T035,E035,生态环境与公共安全,某地饮用水水质异常投诉事件,CAND_T035_001,,,,,,,,,,,,自来水 异味 投诉; 饮用水 水质 异常; 供水公司 检测 回应; 政府回应 水质问题,new,,,,,,,,,,
T036,E036,生态环境与公共安全,某市电动车充电安全治理争议,CAND_T036_001,,,,,,,,,,,,电动车 充电 安全治理; 电动车 进楼 消防隐患; 集中充电 桩 不足; 消防回应 电动车治理,new,,,,,,,,,,
T037,E037,生态环境与公共安全,某地夜市噪声扰民投诉事件,CAND_T037_001,,,,,,,,,,,,夜市 噪声 扰民; 烟火气 居民 休息权; 摊贩经营 噪声 投诉; 城管回应 夜市管理,new,,,,,,,,,,
T038,E038,生态环境与公共安全,某地公园绿地改建停车场争议,CAND_T038_001,,,,,,,,,,,,公园绿地 改停车场; 公共空间 绿地 争议; 停车难 生态保护; 规划部门 回应 公园改造,new,,,,,,,,,,
T039,E039,生态环境与公共安全,某市燃气安全入户检查争议,CAND_T039_001,,,,,,,,,,,,燃气安全 入户检查; 燃气检查 收费 争议; 居民 隐私 入户 安检; 燃气公司 回应 安全检查,new,,,,,,,,,,
T040,E040,生态环境与公共安全,某地突发停电引发民生保障讨论,CAND_T040_001,,,,,,,,,,,,突发停电 民生保障; 电力抢修 时间长; 老旧电网 改造 争议; 供电公司 回应 停电,new,,,,,,,,,,
T041,E041,交通出行与数字平台治理,某市地铁早高峰拥挤引发投诉,CAND_T041_001,,,,,,,,,,,,地铁 早高峰 拥挤; 列车间隔 乘客 投诉; 通勤体验 地铁 安全; 轨道交通 回应 拥挤,new,,,,,,,,,,
T042,E042,交通出行与数字平台治理,某地公交线路调整引发居民不满,CAND_T042_001,,,,,,,,,,,,公交线路 调整 不满; 公交取消 居民 出行难; 站点调整 老人 不便; 交通局 回应 公交调整,new,,,,,,,,,,
