event_id,candidate_id,stakeholder,opinion,sentiment,rationale,evidence_ids,evidence_title,evidence_text_excerpt,support_label,suspected_issue
E001,LLM_E001_001,三元里村村民,总体上同意城中村改造，但对补偿安置方案的支持率偏低，存在诉求和不满,mixed,ev-00023显示改造同意率超过80%，但补偿方案支持率仅33.62%；ev-00010显示村民对征拆启动感到振奋，但支持率低表明存在不满,ev-00023|ev-00010,,"属于白云新城辐射带的三元里村,改造已是大势所趋。截至5月30日,三元里城中村的居民同意城中村改造比率超过了80%,拆迁补偿方案支持比率为33.62%。城中村改造,集体和居民最直接的得益是什么?改造后,",supported,sentiment_questionable|too_long_or_not_atomic
E001,LLM_E001_003,对改造持积极态度的村民,对征拆工作组进驻感到振奋，并主动前往咨询征收事宜,positive,"ev-00010 описано, что村民激动并咨询工作组",ev-00010,,"经过长达十年的停滞,广州市白云区三元里村的旧城改造项目迎来了实质性进展。根据最新消息,白云区已成立13个征收工作组进驻三元里村,正式启动征拆工作。居民对这一变化感到振奋,已有多人主动前往工作组咨询征收",supported,no_issue_detected
E001,LLM_E001_004,对补偿方案不满的村民,仅33.62%的村民支持拆迁补偿方案，多数人可能对补偿标准不满,negative,ev-00023显示补偿方案支持率低，暗示负面情绪,ev-00023,,"属于白云新城辐射带的三元里村,改造已是大势所趋。截至5月30日,三元里城中村的居民同意城中村改造比率超过了80%,拆迁补偿方案支持比率为33.62%。城中村改造,集体和居民最直接的得益是什么?改造后,",supported,no_issue_detected
E002,LLM_E002_002,浦东新区唐镇政府,积极推动改造，提供安置房源和就业保障方案,positive,官方文件显示政府批复实施方案、启动安置房建设，并针对被征地人员制定就业和社会保障方案。,ev-00042|ev-00046|ev-00047|ev-00048,,"摘要:浦东小湾村将变身高新产业园区。2024年1月3日,浦东唐镇小湾村“城中村”改造项目提前3天实现100%居民征收签约。与此同时,首批征收安置房地块启动建设,将提供2500余套安置房源,建筑面积共约",supported,sentiment_questionable
E006,LLM_E006_001,美心翡翠明庭小区业主,质疑物业费涨价投票结果真实性，要求调查投票造假行为,negative,根据新闻报道，业主对公示的投票结果与实际调查的差异提出质疑，追问造假者。,ev-00116,,"2025-04-17 21:13 两个星期过去,围绕着小区物业费涨价的争论在广州市番禺区大龙街道美心翡翠明庭小区还是日益激烈,大家都在追问:公示的投票结果与实际调查为什么相差那么大?是谁在作假?",supported,no_issue_detected
E007,LLM_E007_001,蓝色康园小区业主,业主集中反映物业费从每平方米一块多涨到两块多且未签新合同、公共花园被占用改作员工宿舍、相关水电费未公示，要求物业方整改并公示费用。,negative,ev-00137和ev-00139均报道了业主的投诉和不满。,ev-00137|ev-00139,,"近日,广州海珠区蓝色康园小区的业主向新快报记者反映,小区物业疑似占用公共空间做宿舍,并在公共区域堆放杂物等,且当中产生的水电费并没有公示,业主们怀疑这些费用被均算,作为公摊费用向所有业主进行收费。记者",supported,too_long_or_not_atomic
E008,LLM_E008_001,白马庙街2号小区2单元四五六楼四户业主,针对一楼业主阻挠加装电梯的行为，向温江区人民法院提起诉讼，要求停止阻挠并继续施工,positive,直接证据显示高层业主作为原告提起诉讼,ev-00179|ev-00180,,"成都市温江区白马庙街2号小区四五六楼四户业主,因为一楼2户业主变卦阻挠加装电梯,将一楼业主告上法庭。这也是成都市首例因“电梯加装”引起的诉讼案。 成都市温江区白马庙街2号小区修建于2004年前后,只有",supported,too_long_or_not_atomic
E010,LLM_E010_EXP_002,媒体,媒体对衢州市柯城区百家坊未来社区安置房延期交付事件进行跟踪报道，呼吁加强监管和制度建设,neutral,新闻报道ev-00225记录了媒体对事件的关注,ev-00225,,"了解到, 绍兴市柯桥区杭越府项目 发布《告知函》, 向市民表达歉意,并宣布延期交付。 关于杭越府项目交付的告知函 亲爱的杭越府业主家人: 由于施工单位与项目公司合同纠纷,致使杭越府未能顺利竣工备案,",partially_supported,evidence_weak_support|stakeholder_too_generic
E012,LLM_E012_005,公众,网友呼吁严查学校食品安全问题，表达愤怒,negative,网络舆论强烈谴责，要求严惩涉事方，保护学生健康。,ev-00260,,"长丰中学“臭肉事件”:黑心学校,何时能止? 云南长丰中学竟然拿变质臭肉给孩子们吃!这事儿一传出来,网上立马就炸了,家长们气不打一处来,网友们也是纷纷声援,要求严查严惩。 揭开食堂的“黑锅盖” 你想象一",supported,stakeholder_too_generic
E013,LLM_E013_002,海口市市场监督管理局,接到反映后立即赶赴现场检查、立案调查，并通报对学校作出警告和5万元罚款的处理结果,neutral,官方通报显示迅速响应，依法处罚涉事学校,ev-00284|ev-01612|ev-01621,,"央视网消息: 海口市市场监督管理局12月29日通报,近日,接到学生家长反映北京大学附属小学海口学校食堂存在鼠迹等食品安全问题后,该局立即赶赴现场进行检查并立案调查。 经调查,涉事学校食堂存在防鼠设施不",supported,no_issue_detected
