event_id,gold_tuple_count,unique_stakeholder_count,unique_sentiment_count,unique_gold_evidence_count,tuple_without_evidence_count,missing_evidence_ref_count,source_type_distribution,domain_distribution,avg_evidence_ids_per_tuple,issue_distribution
E001,4,4,3,4,0,0,"{""mainstream_news"": 2, ""official"": 1, ""public_web"": 1}","{""m.110ask.com"": 1, ""new.qq.com"": 1, ""www.gz.gov.cn"": 1, ""www.sohu.com"": 1}",1.5,"{""no_issue_detected"": 2, ""sentiment_questionable"": 2, ""too_long_or_not_atomic"": 2}"
E002,3,3,1,7,0,0,"{""mainstream_news"": 2, ""official"": 4, ""social_media"": 1}","{""m.thepaper.cn"": 1, ""www.163.com"": 1, ""www.jfdaily.com"": 1, ""www.pudong.gov.cn"": 4}",2.6667,"{""no_issue_detected"": 1, ""sentiment_questionable"": 2}"
E003,3,2,2,5,0,0,"{""mainstream_news"": 3, ""official"": 1, ""public_web"": 1}","{""m.sohu.com"": 1, ""news.qq.com"": 1, ""news.sohu.com"": 1, ""pnr.sz.gov.cn"": 1, ""xiaoqushuo.com"": 1}",2.0,"{""no_issue_detected"": 3}"
E004,3,3,2,4,0,0,"{""forum"": 2, ""official"": 1, ""social_media"": 1}","{""www.163.com"": 1, ""www.hp.gov.cn"": 1, ""www.sohu.com"": 2}",1.3333,"{""no_issue_detected"": 1, ""sentiment_questionable"": 1, ""stakeholder_too_generic"": 1, ""too_long_or_not_atomic"": 1}"
E005,3,3,2,2,0,0,"{""public_interaction"": 2}","{""www.kankanews.com"": 2}",1.6667,"{""evidence_weak_support"": 1, ""no_issue_detected"": 2}"
E006,3,3,2,3,0,0,"{""mainstream_news"": 1, ""official"": 1, ""social_media"": 1}","{""www.panyu.gov.cn"": 1, ""www.sohu.com"": 1, ""www.toutiao.com"": 1}",1.0,"{""evidence_weak_support"": 1, ""no_issue_detected"": 2, ""stakeholder_too_generic"": 1}"
E007,3,3,2,3,0,0,"{""mainstream_news"": 2, ""social_media"": 1}","{""api.app.anhuinews.com"": 1, ""ghzyj.gz.gov.cn"": 1, ""k.sina.com.cn"": 1}",1.3333,"{""evidence_weak_support"": 1, ""no_issue_detected"": 1, ""stakeholder_too_generic"": 1, ""too_long_or_not_atomic"": 2}"
E008,3,3,3,2,0,0,"{""forum"": 1, ""official"": 1}","{""ykbyq.lncourt.gov.cn"": 1, ""zhuanlan.zhihu.com"": 1}",1.6667,"{""no_issue_detected"": 2, ""too_long_or_not_atomic"": 1}"
E009,3,3,2,3,0,0,"{""public_web"": 2, ""social_media"": 1}","{""news.cnr.cn"": 2, ""www.toutiao.com"": 1}",1.6667,"{""no_issue_detected"": 3}"
E010,3,3,3,3,0,0,"{""forum"": 1, ""mainstream_news"": 1, ""social_media"": 1}","{""www.gov.cn"": 1, ""www.sohu.com"": 2}",1.0,"{""evidence_weak_support"": 2, ""no_issue_detected"": 1, ""stakeholder_too_generic"": 2}"
