event_id,tuple_id,stakeholder,opinion,sentiment,rationale,evidence_ids,event_chain_stage,support_status,confidence
E001,E001_SOA_001,三元里村居民,对城中村改造项目取得进展感到振奋,positive,居民对白云区成立13个征收工作组启动征拆感到振奋,ev-00010,trigger,candidate_supported,0.9
E001,E001_SOA_002,三元里村居民,对拆迁补偿方案支持率较低,negative,调查显示拆迁补偿方案支持比率为33.62%,ev-00023,unknown,candidate_supported,0.8
E001,E001_SOA_003,三元里村居民,城中村改造同意率超过80%,positive,截至5月30日居民同意城中村改造比率超过80%,ev-00023,unknown,candidate_supported,0.8
E003,E003_SOA_001,金钻豪园旧改项目业主,过渡安置费被长期拖欠，希望尽快解决,negative,业主反映拆迁过渡安置费多年未支付，多次咨询无果,ev-00056|ev-01438|ev-00060,conflict,candidate_supported,0.9
E003,E003_SOA_002,政府部门,推进项目盘活，引入中信联合体,neutral,多部门协调，签署盘活合作协议，用地获批,ev-01440|ev-01436,resolution,candidate_supported,0.8
E003,E003_SOA_003,金钻豪园旧改项目业主,希望政府参照木头龙模式解决钉子户问题,neutral,业主表达希望像木头龙一样由政府帮助解决房屋征收问题,ev-01442,conflict,candidate_supported,0.7
E004,E004_SOA_001,横沙社区,赞成申请行政处理解决留守户补偿安置争议,neutral,横沙社区投票通过决议，向黄埔区政府申请行政处理留守户房屋拆迁补偿争议,ev-01460|ev-00081,trigger,candidate_supported,0.9
E004,E004_SOA_002,留守户村民,担忧拆迁现场围蔽不足危及未签约房屋,negative,村民发现拆迁现场未做足安全围蔽处理，担心危及未签房屋,ev-00084,unknown,candidate_supported,0.9
E005,E005_SOA_001,虹凉馨苑小区居民,反对物业费连续三年涨价,negative,因物业费连涨三年引发居民激烈争吵和投诉,ev-00096|ev-00097,conflict,candidate_supported,0.8
E006,E006_SOA_001,美心翡翠明庭小区业主,质疑物业费涨价投票结果与实际调查相差大，有造假嫌疑,negative,公示的投票结果与实际调查相差很大，追问谁在作假,ev-00116,conflict,candidate_supported,0.8
E007,E007_SOA_001,蓝色康园小区业主,物业占用公共空间做宿舍且水电费未公示,negative,业主反映物业疑似占用公共空间做宿舍，堆放杂物，水电费未公示,ev-00137,unknown,candidate_supported,0.9
E007,E007_SOA_002,蓝色康园小区业主,物业费未经公示上涨且无新合同,negative,业主怀疑物业费从1元多涨到2元多，未见新合同,ev-00139,resolution,candidate_supported,0.9
E007,E007_SOA_003,广州市物业管理行业协会,督促物业方尽快整改相关投诉问题,neutral,市物管协会正在督促该小区物业方尽快整改,ev-00139,resolution,candidate_supported,0.9
E008,E008_SOA_001,高层业主,认为一楼业主不应阻挠电梯加装，应依法施工,negative,四五六楼四户业主因一楼变卦阻挠加装电梯而起诉,ev-00179|ev-00180|ev-00164,conflict,candidate_supported,1.0
E008,E008_SOA_002,一楼业主,反对加装电梯，变卦阻挠施工,negative,一楼2户业主原来同意后反悔，并阻挠加装电梯,ev-00179|ev-00180|ev-00164,conflict,candidate_supported,1.0
E008,E008_SOA_003,李阿姨,期盼电梯早日安装，方便出行,positive,住在4层的李阿姨期盼电梯入户，再也不用爬楼,ev-00197|ev-00198,follow_up,candidate_supported,1.0
E008,E008_SOA_004,温江区人民法院,依法判决支持高层业主诉求,neutral,法院受理此案并作出判决，认定一楼业主应停止阻挠,ev-00179|ev-00180,conflict,candidate_supported,1.0
E009,E009_SOA_001,绿地新都会小区公租房住户,商品房业主圈占车位导致停车困难,negative,反映至少上百个车位被圈占，停车困难,ev-00205|ev-01536,conflict,candidate_supported,0.9
E009,E009_SOA_002,政府部门,依法处置并督促化解纠纷,neutral,对网传信息核实处理，督促开发商和物业做好纠纷化解,ev-00206,response,candidate_supported,0.8
E011,E011_SOA_001,学生,食堂异物是老鼠牙齿,negative,学生拍摄视频并质疑异物为老鼠牙齿,ev-00242,trigger,candidate_supported,0.9
E011,E011_SOA_002,网友,质疑学校官方鸭脖说法,negative,网友认为照片明显是鼠头，不信任校方解释,ev-00242|ev-00248,diffusion,candidate_supported,0.9
E011,E011_SOA_003,江西工业职业技术学院,经当事人确认异物为鸭脖,neutral,学校官方微博发布通报称当事人确认异物为鸭脖,ev-01584,response,candidate_supported,0.9
E011,E011_SOA_004,联合调查组,认定饭菜中异物为鼠头,neutral,联合调查组经勘察现场、专家辨识认定异物为鼠头并通报,ev-01572,resolution,candidate_supported,0.9
E012,E012_SOA_001,家长,要求严查食堂食品安全问题,negative,家长发现食堂猪肉有异味并举报质疑,ev-01603|ev-01591|ev-00260,conflict,candidate_supported,0.8
E012,E012_SOA_002,网友,声援家长要求严惩学校和企业,negative,网友在网络发文声援家长要求严查,ev-00260,diffusion,candidate_supported,0.7
E012,E012_SOA_003,官渡区联合调查组,认定猪肉不合格并处罚涉事单位,neutral,官方通报调查结果及处理决定,ev-00268|ev-00263|ev-00266,response,candidate_supported,0.9
E012,E012_SOA_004,媒体,称赞调查实事求是处理及时有力,positive,媒体评论官方通报正面评价调查处理,ev-01597,diffusion,candidate_supported,0.7
E013,E013_SOA_001,学生家长,食堂卫生未达标有鼠迹，担忧孩子饮食安全,negative,家长反映食堂角落发现鼠迹，感到忧心忡忡,ev-01630,trigger,candidate_supported,0.9
E013,E013_SOA_002,海口市市场监督管理局,学校存在鼠迹等问题，已依法处罚,neutral,接到反映后立案调查，对学校作出警告罚款5万元,ev-00284|ev-01621,response,candidate_supported,0.9
E013,E013_SOA_003,北京大学附属小学海口学校,开展食品安全现场会落实整改,neutral,执行校长出席食品安全现场工作会,ev-00289,resolution,candidate_supported,0.8
E014,E014_SOA_001,南宁市公安局良庆分局,依法对涉案8人作出行政拘留等处罚,neutral,接到报警后立即开展调查处理，依法对涉案8人作出行政拘留等处罚,ev-01640|ev-01642|ev-01644|ev-00309,response,candidate_supported,0.9
E015,E015_SOA_001,网友,呼吁公正处理并制裁未成年嫌疑人,negative,网友因自媒体误导行为而愤怒，呼吁公正处理,ev-00346,diffusion,candidate_supported,0.0
E016,E016_SOA_001,遇难学生家属,要求查明真相并处分责任人,negative,遇难学生家属表示想要真相并应处分责任人,ev-00400,conflict,candidate_supported,0.9
E016,E016_SOA_002,河南省政府调查组,发布事故调查报告，认定原因并处理责任人,neutral,河南省发布调查报告，认定事故原因并处理25名责任人员,ev-00366|ev-00380,response,candidate_supported,0.95
E017,E017_SOA_001,绍兴市第一中学,教师徐某课堂言论不当违反职业准则,neutral,学校调查确认教师存在不当言论并通报处理,ev-00407|ev-00404|ev-00403,response,candidate_supported,0.9
E018,E018_SOA_001,暨南大学学生,宿舍环境恶劣，霉菌甲醛超标，导致健康问题,negative,学生反映墙面霉菌、家具破损，疑似甲醛超标引发皮肤过敏,ev-01658|ev-00437|ev-01654|ev-00439,conflict,candidate_supported,0.9
E018,E018_SOA_002,暨南大学,当前无法提供解决方案，建议学生克服困难或回家,neutral,校方走访后反馈无法满足更换设施请求，建议暂时克服,ev-01651,response,candidate_supported,0.8
E019,E019_SOA_001,家长,预付课时费无法退还，要求退费,negative,家长反映上万元课时费无处可退,ev-00458,trigger,candidate_supported,0.9
E019,E019_SOA_002,美吉姆总部,积极寻求措施支持加盟中心继续经营,neutral,总部声明称积极寻求措施支持加盟中心经营,ev-00458,trigger,candidate_supported,0.8
E019,E019_SOA_003,美吉姆常营华联中心,上市公司拒绝救助，无法继续经营,negative,常营华联中心称向上市公司借钱被拒，无法支付工资房租,ev-01676,unknown,candidate_supported,0.9
E019,E019_SOA_004,家长,西直门中心撤店跑路，高额学费无人处理,negative,家长投诉西直门中心撤店跑路，要求处理学费,ev-00461,unknown,candidate_supported,0.9
E020,E020_SOA_001,学生家长,反映食堂食品发霉变质，质疑学校管理,negative,学生家长向媒体反映学校食堂食品发霉变质，引发关注,ev-01697,trigger,candidate_supported,1.0
E020,E020_SOA_002,网友,曝光食堂卫生差，存在发霉变质食材，危害健康,negative,网友在微博上发布食堂食品发霉照片，质疑学校食品安全,ev-01702,trigger,candidate_supported,1.0
E020,E020_SOA_003,成都市联合调查组,召开新闻发布会通报调查情况，回应公众关切,neutral,成都市联合调查组举行新闻发布会，由多部门负责人介绍情况,ev-00485,response,candidate_supported,1.0
E020,E020_SOA_004,成都七中实验学校,发布情况说明，表示配合调查，确保食品安全,neutral,成都七中实验学校通过微信公众号发布关于食品问题的情况说明,ev-00481,response,candidate_supported,1.0
E021,E021_SOA_001,无锡市医保局,正会同公安、卫健部门全面彻查并依法依规严肃查处,neutral,无锡市医保局通报已根据举报线索受理调查、初步查实并行政立案,ev-00502|ev-00505,trigger,candidate_supported,0.82
E021,E021_SOA_002,国家医保局,派出飞行检查组专项核查并通报违规使用医保基金情况,neutral,国家医保局通报检查发现医院涉嫌违规使用医保基金2228.4万元,ev-01712|ev-00501,response,candidate_supported,0.82
