event_id,gold_tuple_count,old_pred_count,new_pred_count,pred_count_delta,old_parse_success,new_parse_success,old_parse_error,new_parse_error,old_api_calls_made,new_api_calls_made,old_prompt_chars,new_prompt_chars,old_selected_evidence_count,new_selected_evidence_count,parse_repaired
E001,4,0,0,0,True,True,,,1,1,6750,6750,12,12,False
E002,3,0,0,0,True,True,,,1,1,6588,6588,12,12,False
E003,3,1,3,2,True,True,,,1,1,6605,6605,12,12,False
E004,3,2,3,1,True,True,,,1,1,6748,6748,12,12,False
E005,3,2,2,0,True,True,,,1,1,6671,6671,12,12,False
E006,3,1,1,0,True,True,,,1,1,6717,6717,12,12,False
E007,3,2,3,1,True,True,,,1,1,6669,6669,12,12,False
E008,3,2,2,0,True,True,,,2,1,6709,6709,12,12,False
E009,3,2,2,0,True,True,,,1,1,6656,6656,12,12,False
E010,3,0,0,0,True,True,,,1,1,6667,6667,12,12,False
E011,5,0,4,4,False,True,empty_llm_content,,2,1,6595,6595,12,12,True
E012,5,0,4,4,False,True,incomplete_or_malformed_json,,1,1,6668,6668,12,12,True
E013,3,3,2,-1,True,True,,,1,1,6711,6711,12,12,False
E014,3,1,1,0,True,True,,,1,1,6654,6654,12,12,False
E015,3,0,2,2,False,True,incomplete_or_malformed_json,,1,1,6676,6676,12,12,True
E016,4,0,3,3,True,True,,,1,1,6677,6677,12,12,False
E017,3,1,1,0,True,True,,,1,1,6647,6647,12,12,False
E018,4,3,2,-1,True,True,,,2,1,6671,6671,12,12,False
E019,5,0,2,2,False,True,empty_llm_content,,2,1,6678,6678,12,12,True
E020,5,0,3,3,False,True,incomplete_or_malformed_json,,1,1,6621,6621,12,12,True
E021,3,2,4,2,True,True,,,2,1,6634,6634,12,12,False
E022,3,2,2,0,True,True,,,1,1,6699,6699,12,12,False
E023,5,2,2,0,True,True,,,1,1,6669,6669,12,12,False
E024,3,3,3,0,True,True,,,2,1,6585,6585,12,12,False
E025,3,0,2,2,False,True,empty_llm_content,,2,1,6661,6661,12,12,True
E026,3,0,3,3,False,True,incomplete_or_malformed_json,,1,1,6675,6675,12,12,True
E027,4,2,1,-1,True,True,,,1,1,6630,6630,12,12,False
E028,3,0,1,1,True,True,,,1,1,6684,6684,12,12,False
E029,3,1,1,0,True,True,,,1,1,6617,6617,12,12,False
E030,3,1,1,0,True,True,,,1,1,6686,6686,12,12,False
E031,4,2,3,1,True,True,,,2,1,6711,6711,12,12,False
E032,4,2,0,-2,True,True,,,2,1,6604,6604,12,12,False
E033,5,1,0,-1,True,True,,,1,1,6767,6767,12,12,False
E034,5,2,2,0,True,True,,,1,1,6738,6738,12,12,False
E035,4,3,3,0,True,True,,,2,1,6898,6898,12,12,False
E036,4,0,3,3,False,True,empty_llm_content,,2,1,6722,6722,12,12,True
E037,4,0,0,0,True,True,,,1,1,6720,6720,12,12,False
E038,4,1,0,-1,True,True,,,2,1,6625,6625,12,12,False
E039,5,4,4,0,True,True,,,1,1,6784,6784,12,12,False
E040,4,1,1,0,True,True,,,2,1,6762,6762,12,12,False
E041,5,0,4,4,False,True,empty_llm_content,,2,1,6645,6645,12,12,True
E042,5,4,1,-3,True,True,,,1,1,6813,6813,12,12,False
E043,4,0,3,3,False,True,empty_llm_content,,2,1,6698,6698,12,12,True
E044,5,3,2,-1,True,True,,,2,1,6700,6700,12,12,False
E045,5,1,3,2,True,True,,,1,1,6608,6608,12,12,False
E046,3,1,1,0,True,True,,,1,1,6556,6556,12,12,False
E047,3,1,0,-1,True,True,,,1,1,6769,6769,12,12,False
E048,3,0,1,1,True,True,,,1,1,6872,6872,12,12,False
E049,5,4,2,-2,True,True,,,1,1,6744,6744,12,12,False
E050,3,2,4,2,True,True,,,1,1,6666,6666,12,12,False
