event_id,candidate_id,sentiment,support_label,stakeholder,opinion,rationale,tuple_evidence_ids,chain_ids,chain_evidence_overlap,chain_steps,evidence_id,source_type,title,url,text,review_decision,review_note
E028,LLM_E028_001,positive,supported,福州市疾控中心,上线紧缺疫苗排队预约系统以回应群众预约公平需求,官方报道显示福州疾控上线系统，旨在优化疫苗资源配置，回应预约公平和透明需求。,ev-00669;ev-00664,CHAIN_E028_001;CHAIN_E028_002,"CHAIN_E028_001:ev-00664,ev-00669 || CHAIN_E028_002:ev-00664,ev-00669",CHAIN_E028_001 => 群众反映HPV疫苗预约难 | 福州疾控上线紧缺疫苗排队预约系统 | 福州市卫健委公布200家接种单位名单 || CHAIN_E028_002 => 福州疾控上线紧缺疫苗排队预约系统 | 系统运行并发布常见问答 | 福州市卫健委扩大接种点覆盖,ev-00669,social_media,,http://fjnews.fjsen.com/2023-12/25/content_31487387.htm,"东南网12月25日讯(福建日报记者 张静雯 通讯员 林文婧)近日,“福州疾控”微信公众号上线“紧缺疫苗排队预约”系统。目前已推出HPV疫苗排队预约,今后将视情况推出其他紧缺疫苗排队服务。 据介绍,该排",,
E028,LLM_E028_001,positive,supported,福州市疾控中心,上线紧缺疫苗排队预约系统以回应群众预约公平需求,官方报道显示福州疾控上线系统，旨在优化疫苗资源配置，回应预约公平和透明需求。,ev-00669;ev-00664,CHAIN_E028_001;CHAIN_E028_002,"CHAIN_E028_001:ev-00664,ev-00669 || CHAIN_E028_002:ev-00664,ev-00669",CHAIN_E028_001 => 群众反映HPV疫苗预约难 | 福州疾控上线紧缺疫苗排队预约系统 | 福州市卫健委公布200家接种单位名单 || CHAIN_E028_002 => 福州疾控上线紧缺疫苗排队预约系统 | 系统运行并发布常见问答 | 福州市卫健委扩大接种点覆盖,ev-00664,mainstream_news,,https://news.fznews.com.cn/fzxw/20231220/e347r3N0KQ.shtml,"福州市紧缺疫苗排队预约系统上线
HPV疫苗线上免费预约!
2023-12-20
17:08:41来源:福州新闻网
福州市紧缺疫苗排队预约系统上线!HPV疫苗线上免费预约!
福州新闻网版权与免责声明:1",,
E028,LLM_E028_002,negative,supported,福州市民,反映HPV疫苗预约难、排队时间长，一针难求,新闻报道指出市民反映HPV疫苗预约困难，排队需等一年。,ev-01257,CHAIN_E028_001;CHAIN_E028_003,CHAIN_E028_001:ev-01257 || CHAIN_E028_003:ev-01257,CHAIN_E028_001 => 群众反映HPV疫苗预约难 | 福州疾控上线紧缺疫苗排队预约系统 | 福州市卫健委公布200家接种单位名单 || CHAIN_E028_003 => HPV疫苗紧缺引发排队难投诉 | 福州推出线上排队预约系统 | 系统持续优化并更新接种单位信息,ev-01257,social_media,,https://www.163.com/dy/article/FU5Q7RM00550HO04.html,"预约数量达数万人 排队注射需等一年 ...... 近日,不少市民反映称 福州地区四价和九价 宫颈癌(HPV)疫苗一针难求 记者走访了多家社区卫生服务中心 了解情况 约苗近一年还排在1.45万位之后 小",,
E028,LLM_E028_003,positive,supported,福州市卫健委,公布全市200家HPV疫苗接种单位名单及信息，提升信息透明度,福州市卫健委在公众号公布接种单位名单，回应群众信息需求。,ev-00688;ev-01274,CHAIN_E028_001;CHAIN_E028_002;CHAIN_E028_003,CHAIN_E028_001:ev-00688 || CHAIN_E028_002:ev-00688 || CHAIN_E028_003:ev-00688,CHAIN_E028_001 => 群众反映HPV疫苗预约难 | 福州疾控上线紧缺疫苗排队预约系统 | 福州市卫健委公布200家接种单位名单 || CHAIN_E028_002 => 福州疾控上线紧缺疫苗排队预约系统 | 系统运行并发布常见问答 | 福州市卫健委扩大接种点覆盖 || CHAIN_E028_003 => HPV疫苗紧缺引发排队难投诉 | 福州推出线上排队预约系统 | 系统持续优化并更新接种单位信息,ev-00688,social_media,,https://news.fznews.com.cn/fzxw/20240320/39E68A1521.shtml,"福州公布200家HPV疫苗接种单位
2024-03-20
08:28:45来源:福州晚报
作者:陈丹
19日,福州市卫健委在“福州卫生健康”微信公众号上公布了全市200家HPV疫苗接种单位名单及相关信",,
E028,LLM_E028_003,positive,supported,福州市卫健委,公布全市200家HPV疫苗接种单位名单及信息，提升信息透明度,福州市卫健委在公众号公布接种单位名单，回应群众信息需求。,ev-00688;ev-01274,CHAIN_E028_001;CHAIN_E028_002;CHAIN_E028_003,CHAIN_E028_001:ev-00688 || CHAIN_E028_002:ev-00688 || CHAIN_E028_003:ev-00688,CHAIN_E028_001 => 群众反映HPV疫苗预约难 | 福州疾控上线紧缺疫苗排队预约系统 | 福州市卫健委公布200家接种单位名单 || CHAIN_E028_002 => 福州疾控上线紧缺疫苗排队预约系统 | 系统运行并发布常见问答 | 福州市卫健委扩大接种点覆盖 || CHAIN_E028_003 => HPV疫苗紧缺引发排队难投诉 | 福州推出线上排队预约系统 | 系统持续优化并更新接种单位信息,ev-01274,social_media,,http://women.fjsen.com/2024-03/21/content_31543133.htm,"3月19日,福州市卫健委在“福州卫生健康”微信公众号上公布了全市200家HPV疫苗接种单位名单及相关信息,包括地址、联系方式、门诊时间等。据了解,去年底,“福州疾控”微信公众号上线了“紧缺疫苗排队预约",,
E030,LLM_E030_001,negative,supported,深圳市人民检察院,部分医院线上及自助挂号机未实现无障碍功能，导致残障人士、老年人无法便捷就诊，因此启动公益诉讼,检察院收到线索并调查，发现医院无障碍服务缺失，从而发起公益诉讼,ev-00714;ev-00711,CHAIN_E030_001;CHAIN_E030_003,"CHAIN_E030_001:ev-00711,ev-00714 || CHAIN_E030_003:ev-00711",CHAIN_E030_001 => 2024年4月，深圳市检察院收到部分医院挂号系统无障碍服务不到位的公益诉讼线索 | 深圳市检察院开展调查并启动公益诉讼程序 | 深圳市卫生健康委员会等相关部门推动医院进行挂号无障碍改造 | 2025年，最高检与民政部、残联联合发布典型案例，深圳案例入选 || CHAIN_E030_003 => 部分医院线上挂号系统及自助机缺乏无障碍功能，老年人和残疾人就医不便 | 深圳市人民检察院收到线索后，对相关医院及主管单位立案调查 | 深圳市卫健委作为上级主管部门，协调医院实施无障碍及适老化改造 | 改造完成后，深圳市检察院督促实施就医挂号无障碍、适老化改造案例被最高检发布,ev-00714,official,,https://www.shenzhen.jcy.gov.cn/Dynamic/Media/8465.html,"线上预约挂号就医,对于熟练使用电子设备的年轻人来说易如反掌,但对于残障人士、老年人等特殊群体而言,却不是一件容易的事。今年4月,深圳市检察院收到一条无障碍挂号就医的公益诉讼线索,反映我市部分医院线上及",,
E030,LLM_E030_001,negative,supported,深圳市人民检察院,部分医院线上及自助挂号机未实现无障碍功能，导致残障人士、老年人无法便捷就诊，因此启动公益诉讼,检察院收到线索并调查，发现医院无障碍服务缺失，从而发起公益诉讼,ev-00714;ev-00711,CHAIN_E030_001;CHAIN_E030_003,"CHAIN_E030_001:ev-00711,ev-00714 || CHAIN_E030_003:ev-00711",CHAIN_E030_001 => 2024年4月，深圳市检察院收到部分医院挂号系统无障碍服务不到位的公益诉讼线索 | 深圳市检察院开展调查并启动公益诉讼程序 | 深圳市卫生健康委员会等相关部门推动医院进行挂号无障碍改造 | 2025年，最高检与民政部、残联联合发布典型案例，深圳案例入选 || CHAIN_E030_003 => 部分医院线上挂号系统及自助机缺乏无障碍功能，老年人和残疾人就医不便 | 深圳市人民检察院收到线索后，对相关医院及主管单位立案调查 | 深圳市卫健委作为上级主管部门，协调医院实施无障碍及适老化改造 | 改造完成后，深圳市检察院督促实施就医挂号无障碍、适老化改造案例被最高检发布,ev-00711,mainstream_news,,https://news.qq.com/rain/a/20251112A067EI00,"医疗机构不提供电话预约的挂号方式,挂号平台及自助挂号机也没有实现无障碍功能,那些不会上网、不会使用智能手机和存在视力障碍的老年人与残疾人该如何便捷就医呢?
2024年5月,广东省深圳市人民检察院收到志",,
E030,LLM_E030_002,negative,supported,残障人士和老年人群体,因不会使用智能手机或存在视力障碍，无法通过线上或自助挂号机预约挂号，面临就医困难,证据中直接描述了该群体在就医挂号中遇到的障碍,ev-00714;ev-00711,CHAIN_E030_001;CHAIN_E030_003,"CHAIN_E030_001:ev-00711,ev-00714 || CHAIN_E030_003:ev-00711",CHAIN_E030_001 => 2024年4月，深圳市检察院收到部分医院挂号系统无障碍服务不到位的公益诉讼线索 | 深圳市检察院开展调查并启动公益诉讼程序 | 深圳市卫生健康委员会等相关部门推动医院进行挂号无障碍改造 | 2025年，最高检与民政部、残联联合发布典型案例，深圳案例入选 || CHAIN_E030_003 => 部分医院线上挂号系统及自助机缺乏无障碍功能，老年人和残疾人就医不便 | 深圳市人民检察院收到线索后，对相关医院及主管单位立案调查 | 深圳市卫健委作为上级主管部门，协调医院实施无障碍及适老化改造 | 改造完成后，深圳市检察院督促实施就医挂号无障碍、适老化改造案例被最高检发布,ev-00714,official,,https://www.shenzhen.jcy.gov.cn/Dynamic/Media/8465.html,"线上预约挂号就医,对于熟练使用电子设备的年轻人来说易如反掌,但对于残障人士、老年人等特殊群体而言,却不是一件容易的事。今年4月,深圳市检察院收到一条无障碍挂号就医的公益诉讼线索,反映我市部分医院线上及",,
E030,LLM_E030_002,negative,supported,残障人士和老年人群体,因不会使用智能手机或存在视力障碍，无法通过线上或自助挂号机预约挂号，面临就医困难,证据中直接描述了该群体在就医挂号中遇到的障碍,ev-00714;ev-00711,CHAIN_E030_001;CHAIN_E030_003,"CHAIN_E030_001:ev-00711,ev-00714 || CHAIN_E030_003:ev-00711",CHAIN_E030_001 => 2024年4月，深圳市检察院收到部分医院挂号系统无障碍服务不到位的公益诉讼线索 | 深圳市检察院开展调查并启动公益诉讼程序 | 深圳市卫生健康委员会等相关部门推动医院进行挂号无障碍改造 | 2025年，最高检与民政部、残联联合发布典型案例，深圳案例入选 || CHAIN_E030_003 => 部分医院线上挂号系统及自助机缺乏无障碍功能，老年人和残疾人就医不便 | 深圳市人民检察院收到线索后，对相关医院及主管单位立案调查 | 深圳市卫健委作为上级主管部门，协调医院实施无障碍及适老化改造 | 改造完成后，深圳市检察院督促实施就医挂号无障碍、适老化改造案例被最高检发布,ev-00711,mainstream_news,,https://news.qq.com/rain/a/20251112A067EI00,"医疗机构不提供电话预约的挂号方式,挂号平台及自助挂号机也没有实现无障碍功能,那些不会上网、不会使用智能手机和存在视力障碍的老年人与残疾人该如何便捷就医呢?
2024年5月,广东省深圳市人民检察院收到志",,
E040,LLM_E040_001,positive,supported,应急管理部,立即派出工作组和医疗专家组赶赴现场指导救援处置工作,从官方通报中可见应急管理部在火灾发生后迅速调度资源，体现了高效应急响应。,ev-01362;ev-01364,CHAIN_E040_001,"CHAIN_E040_001:ev-01362,ev-01364",CHAIN_E040_001 => 永聚煤业办公楼浴室火灾发生 | 应急管理部派出工作组和医疗专家组救援 | 吕梁市新闻办发布情况通报，山西省召开新闻发布会 | 调查报告公布，18名企业人员被采取刑事强制措施,ev-01362,official,,https://www.chinamine-safety.gov.cn/xw/mkaqjcxw/202311/t20231116_468905.shtml,"山西吕梁市永聚煤矿一办公楼发生火灾
应急管理部持续调度指导救援处置工作
派出工作组和医疗专家组赶赴现场
11月16日7时许,山西吕梁市永聚煤矿一办公楼发生火灾,造成重大人员伤亡。
接报后,应急管理部部",,
