event_id,tuple_id,stakeholder,opinion,sentiment,rationale,stakeholder_cluster_id,stakeholder_aliases,canonical_tuple,opinion_split_reason,evidence_ids,evidence_texts,evidence_source_types,evidence_urls,independent_source_count,confidence_route,required_action,adjudication_priority_score,priority_bucket,priority_reason,review_decision,revised_stakeholder,revised_opinion,revised_sentiment,revised_rationale,revised_evidence_ids,reviewer_note,reviewer_id,adjudication_status,annotator_id
E006,LLM_CANON_E006_002,广州市创佳物业管理有限公司,发起并推进小区物业费上调表决程序，但在公示后遭遇业主对表决结果及服务质量的强烈质疑。,neutral,证据表明该公司为小区实际物业管理方并主导了此次涨价表决，但文本未提供其针对业主质疑的直接回应或辩护声明。,SC_E006_002,创佳物业;小区物业管理方,True,,ev-00116,两个星期过去，围绕着小区物业费涨价的争论在广州市番禺区大龙街道美心翡翠明庭小区还是日益激烈，大家都在追问：公示的投票结果与实际调查为什么相差那么大？是谁在作假？ 翡翠明庭已是一个20多年的小区 对服务不满却同意涨价？ 17日中午，记者来到该小区，注意到虽然刚搞了卫生，但仍掩不住这个2004年就建成的有近千户业主的小区老旧之态：有些出口的门卫室闲置无人，地下车库里电动车混杂在过道及角落里，一些楼门禁损坏随意出入。业主李小姐告诉记者，她居住在此已有10多年了，感觉物业服务态度恶劣，对业主诉求置若罔闻，大家都一直在忍，却因物业费要涨价而爆发了。 门卫室里没人 李小姐介绍，长久以来，该小区物业费收取标准较为稳定，楼梯楼为0.9元/平方米，电梯楼为1.2 元/平方米。负责小区物业的广州市创佳物业管理有限公司，是番禺本地颇具规模的物业公司，管理着多个小区。就在翡翠明庭小区对面，有个同样是2004年建成的老小区，也由创佳物业负责管理，其物业费仅0.8元/平方米。 2024年8月23日，美心翡翠明庭小区物业管理委员会骤然提出一系列重要议题，其中最为引人关注的便是物业费涨价方案：楼梯楼物业费计划提升至1.26元/平方米，涨幅高达40%；电梯楼涨至 1.68元/平方米，涨幅同样为40%；商铺物业费更是飙升至3.5元/平方米。物业给出的调价依据是，2023年度美心翡翠明庭物业管理费财务收支净额为-140,mainstream_news,https://www.sohu.com/a/885914198_100116740,1,low_confidence,human_review_required,0.970,high,weak_support_label;low_confidence_cross_source;few_evidence;single_source_type,accept,,,,,,证据ev-00116充分支持创佳物业作为管理方推进调价程序及业主对表决结果与服务质量的质疑；文本未提供物业直接回应，情感标注中性合理。关键主张与证据覆盖一致，符合金标准。,annotator_A,adjudicated_final,annotator_A
E001,LLM_CANON_E001_003,三元里村党委及村集体,明确支持旧改项目，认为改造将推动产业升级并提升集体收益，同时牵头成立投资公司专项管理资金以防范项目烂尾风险。,positive,村党委书记公开表态支持改造并阐述经济收益，同时披露成立专项公司监管资金运作的具体安排。,SC_E001_003,三元里村党委;村集体;三元里建设投资有限公司,True,,ev-00023,100%回答 最快3分钟有回复 本地专业对口律师 3重资质审核 Word版本可编辑 5万+标准合同模板 快速取保 刑事案件3阶段方案 企业专区 工伤赔偿计算 法师姐-律所SaaS系统 属于白云新城辐射带的三元里村，改造已是大势所趋。截至5月30日，三元里城中村的居民同意城中村改造比率超过了80%，拆迁补偿方案支持比率为33.62%。城中村改造，集体和居民最直接的得益是什么?改造后，这里的区域优势将会凸显，我们可以将集体物业由过去的简单租赁提升到以商贸、文化、饮食、旅业、服务为主体的产业，从中获得更大的收益。三元里村党委书记韦联建如是说。 成立公司防止烂尾 改造过程中，上级下拨的资金将如何运作?会否出现改造烂尾的现象?为此，三元里村成立了三元里建设投资有限公司，服务于整个城中村改造的过程。 这个公司承担的职能很多，将来与村民签订拆迁补偿安置协议以及运作市政府下拨的3.58亿元启动资金。韦联建说，公司的资金运作要接受市、区、街和银行的严格监管，建立一套完善的资金运作流程，保证改造过程中不会出现烂尾现象。 拆迁方案有待完善 目前《三元里旧村改造房屋拆迁补偿和安置办法》和《三元里旧村改造集体经济组织驻村单位房屋和物业拆迁补偿和安置办法》正式稿已经出台，但村民对方案的支持率不高，这说明拆迁方案仍有待完善。 下一步，村里将对照拆迁补偿安置办法中存在的不足，逐步将村民的意见融入其中，使补偿方案更,public_web,https://m.110ask.com/zhishi/4553253002018355922.html,1,low_confidence,human_review_required,0.890,high,low_confidence_cross_source;few_evidence;single_source_type;no_chain_evidence_overlap,accept,,,,,,候选元组的核心主张（支持旧改、产业升级提升收益、成立投资公司防烂尾）均在证据文本中有明确对应，情感与理由准确，证据覆盖充分，符合金标准。,annotator_A,adjudicated_final,annotator_A
E032,LLM_CANON_E032_004,国务院安委办,针对“五一”假期发布安全提示，要求生产经营单位深入排查风险隐患，强化重大危险源管理与值班值守，完善应急处置预案以防范事故发生。,neutral,证据明确记载国务院安委办联合应急管理部发布假期安全防范要求，强调隐患排查与应急准备。,SC_E032_004,国务院安全生产委员会办公室,True,,ev-00764,国务院安委办、应急管理部：“五一”假期，生产经营单位要深入排查风险隐患，强化重大危险源管理，加强值班值守，完善应急处置预案，防范事故发生。 国务院安委办、应急管理部：“五一”假期，交通运输、旅游景点、人员密集场所安全风险较高，注意加强安全防范。 国务院安委办、应急管理部：“五一”假期，公众出行出游集中，进入旅游景区、宾馆饭店、商场市场等场所时，注意查看逃生通道及消防设施位置，熟悉安全出口位置及自救方法。 国务院安委办、应急管理部：“五一”假期，出行旅游增多，要做好缆车、索道、大型游乐设施等设备安全检查，强化对水上浮桥、玻璃栈道等高风险项目的监管措施，落实网红打卡点等安全警示和管理措施。 国务院安委办、应急管理部：“五一”假期，出行旅游增多，离家前谨记“三清三关”：清走道、清阳台、清厨房，关火源、关气源、关电源。 国务院安委办、应急管理部：“五一”假期，餐饮行业迎来消费高峰，要加强餐饮场所燃气安全检查，严禁违规使用“问题瓶”“问题软管”“问题灶具”，一旦发现燃气泄漏要迅速切断气源，前往室外拨打燃气抢修报警电话。 国务院安委办、应急管理部：电气焊动火作业要严格落实动火审批、持证上岗、现场看护等要求。 国务院安委办、应急管理部：随着气温回升，有限空间作业安全风险增加，在污水池、发酵池、腌菜池、窨井、地沟等有限空间场所作业易发生硫化氢中毒，注意采取防护措施，要严格遵守“先通风、再检测、后作,official,https://www.gov.cn/lianbo/bumen/202504/content_7022025.htm,1,low_confidence,human_review_required,0.890,high,low_confidence_cross_source;few_evidence;single_source_type;no_chain_evidence_overlap,accept,,,,,,候选元组意见与证据原文首条高度一致，关键主张（排查隐患、重大危险源管理、值班值守、完善预案）均有明确证据支撑，情感判定准确，符合接受标准。,annotator_A,adjudicated_final,annotator_A
E014,LLM_CANON_E014_005,公众与网友,对欺凌视频在网络传播表示震惊与痛心，强烈关注未成年人校园安全问题。,negative,多篇文章指出事件视频在网上引发轩然大波，触动社会敏感神经，公众对校园暴力频发表示心痛与担忧。,SC_E014_005,社会;网络舆论;无数人,True,,ev-00300;ev-00320;ev-00323;ev-01649,"4月18日,发生在广西南宁三中初中部五象校区的一起校园欺凌事件,如同一场黑色风暴,迅速席卷了网络,触动了社会的敏感神经。事件的主人公是一名无辜的女生,她的遭遇,不仅暴露了校园暴力的残酷,更折射出当前社 ||| 近日,广西南宁三中初中部五象校区的一则校园霸凌事件在网上引起轩然大波,触动了无数人的神经。这是怎么一回事呢? ||| 信息源:本文陈述所有内容皆有可靠信息来源赘述在文章结尾校园霸凌,这个让人心痛的话题,总是不时地出现在我们的视线中。在广西南宁五象校区三中初中部,一名初中女孩被同学霸凌,施暴者更是展现了与年龄完全不符的 ||| 近日,在我国广西省南宁市发生了一起疑似校园暴力的事件。有人录制了一段现场的视频,并发布到了网络上,这段视频立刻在网络世界掀起了巨浪。",social_media ||| social_media ||| social_media ||| social_media,https://www.toutiao.com/article/7364311323125334580/ ||| https://www.toutiao.com/article/7363605978396508672/ ||| https://www.toutiao.com/article/7363681928232305186/ ||| https://www.toutiao.com/article/7363571804927836707/,1,low_confidence,human_review_required,0.690,high,low_confidence_cross_source;single_source_type;no_chain_evidence_overlap,accept,,,,,,证据充分覆盖核心主张：多篇来源均指出视频网络传播引发轩然大波并触动公众神经，明确表达对校园暴力/霸凌的心痛与担忧，stakeholder、情感倾向与事实依据均准确匹配，符合接受标准。,annotator_A,adjudicated_final,annotator_A
E003,LLM_CANON_E003_004,行业专家/研究员,分析指出旧改项目停滞的实质是房价下行导致预期销售收入无法覆盖旧改成本，叠加民营房企融资困难所致。,neutral,专家基于市场数据与房企融资环境，客观剖析了深圳旧改项目普遍放缓及资金链紧张的根本经济原因。,SC_E003_004,广东省住房政策研究中心研究员;李宇嘉,True,,ev-01449,楼市下行、城市更新受阻，深圳一批村民陷入无法按时获得过渡安置费的困局。 过渡安置费指的是拆迁人（开发商/项目合作方）在拆迁过渡期对原业主可能发生费用的补偿。在深圳，不少城市更新项目的过渡费按照被拆迁房屋的面积计算，例如，深圳市龙岗区有项目过渡费按照“20元/月/平方米”支付。 第一财经梳理人民网留言板上的信息发现，近一年来，深圳有超过10个城市更新项目的居民称，旧改项目的开发商拖欠过渡安置费数月，另外，还有城市更新项目存在停工的问题。 广东省住房政策研究中心研究员李宇嘉对记者表示，近年来深圳不少城市更新项目进度放缓，表面上看，是因为资金紧张，而实质是，按照目前商品房销售情况来看，旧改后的商品房入市，销售收入可能不足以覆盖旧改项目的成本，开发商从而放慢了城市更新的步伐。“这些项目大多是在房价快速上涨时期签约或者批复的，补偿原业主的价格相对较高，现在房价下行，销售去化放缓，尤其对民营房企来说融资难度加大，房企的销售预期也减弱。”李宇嘉表示说。（第一财经）,mainstream_news,https://finance.sina.com.cn/7x24/2024-09-10/doc-incnspwf7727033.shtml,1,low_confidence,human_review_required,0.670,high,low_confidence_cross_source;few_evidence;single_source_type,accept,,,,,,证据ev-01449完整支撑利益相关者身份、核心观点及情感倾向，表述与原文高度一致，无事实或语义偏差，符合收录标准。,annotator_A,adjudicated_final,annotator_A
E006,LLM_CANON_E006_001,美心翡翠明庭小区业主,质疑物业费涨价表决结果的真实性与程序合法性，认为现有物业服务态度恶劣且设施维护不到位，反对在服务质量未改善的情况下提高物业费。,negative,证据明确指出业主追问公示投票结果与实际调查差异巨大并怀疑作假，同时列举门卫闲置、门禁损坏、服务态度恶劣等现状，认为不应涨价。,SC_E006_001,业主;居民;业主李小姐,True,,ev-00116,两个星期过去，围绕着小区物业费涨价的争论在广州市番禺区大龙街道美心翡翠明庭小区还是日益激烈，大家都在追问：公示的投票结果与实际调查为什么相差那么大？是谁在作假？ 翡翠明庭已是一个20多年的小区 对服务不满却同意涨价？ 17日中午，记者来到该小区，注意到虽然刚搞了卫生，但仍掩不住这个2004年就建成的有近千户业主的小区老旧之态：有些出口的门卫室闲置无人，地下车库里电动车混杂在过道及角落里，一些楼门禁损坏随意出入。业主李小姐告诉记者，她居住在此已有10多年了，感觉物业服务态度恶劣，对业主诉求置若罔闻，大家都一直在忍，却因物业费要涨价而爆发了。 门卫室里没人 李小姐介绍，长久以来，该小区物业费收取标准较为稳定，楼梯楼为0.9元/平方米，电梯楼为1.2 元/平方米。负责小区物业的广州市创佳物业管理有限公司，是番禺本地颇具规模的物业公司，管理着多个小区。就在翡翠明庭小区对面，有个同样是2004年建成的老小区，也由创佳物业负责管理，其物业费仅0.8元/平方米。 2024年8月23日，美心翡翠明庭小区物业管理委员会骤然提出一系列重要议题，其中最为引人关注的便是物业费涨价方案：楼梯楼物业费计划提升至1.26元/平方米，涨幅高达40%；电梯楼涨至 1.68元/平方米，涨幅同样为40%；商铺物业费更是飙升至3.5元/平方米。物业给出的调价依据是，2023年度美心翡翠明庭物业管理费财务收支净额为-140,mainstream_news,https://www.sohu.com/a/885914198_100116740,1,low_confidence,human_review_required,0.670,high,low_confidence_cross_source;few_evidence;single_source_type,accept,,,,,,候选元组的关键主张（质疑投票结果真实性、指出物业服务态度恶劣及设施维护不到位、反对涨价）均被证据ev-00116原文充分支撑，利益相关者身份与情感倾向判定准确，符合接受标准。,annotator_A,adjudicated_final,annotator_A
E007,LLM_CANON_E007_002,广州市瑞丰物业管理有限公司,回应称收取的“违约金”系针对2、3月份历史欠费而非当月费用，并声明员工宿舍虽位于公共用地，但产生的水电费未纳入业主公摊范围。,neutral,物业公司在记者询问后作出针对性回应，解释违约金性质及宿舍水电费分摊情况，否认将宿舍水电费转嫁给业主。,SC_E007_002,瑞丰物业;小区物业方;物业公司,True,,ev-00139,业主反映蓝色康园物业方存在多种问题，市物管协会正在督促该小区物业方尽快整改 原本每平方米一块多的物业费，如今涨到了两块多，又看不到新合同，业主们怀疑物业偷偷涨价。前段时间，广州市海珠区赤岗街道蓝色康园小区的业主就碰上这种事情。据业主们反映，该小区的物业公司——广州市瑞丰物业管理有限公司（下称“瑞丰物业”）还存在用公共区域改造成员工宿舍和安全疏忽等多项问题。 近日，记者对该小区展开走访，也向物业公司进行了询问。物业公司回复向新快报记者称，发给部分业主的“违约金”不针对当个月，而是属于上一阶段2、3月份没有及时缴纳所产生的违约金；员工宿舍属于公共用地，水电未纳入业主公摊中。广州市物业管理协会引用相关条例指出，物业不得直接收取违约金，并且不能私自调整收费标准。 业主反映 物业提前收取物业费 还收取业主水费违约金 5月23日，记者来到位于海珠区滨江东路的蓝色康园小区。业主黄先生（化姓）告诉新快报记者，他每月都有按时缴费，此前不存在欠费行为。他提供的收费单显示，瑞丰物业在2025年5月3日发交款通知书时，要求黄先生缴纳2025年5月的物业服务费违约金，同时还要预收5-6月的物业服务费。 业主小敏（化名）也收到了缴费通知，但她打电话向供水公司确认过，并不存在欠缴水费的情况，却被物业要求交水费违约金以及预收5-6月的物业服务费。小敏质疑：“物业是否有权利直接在缴费单上收违约金？而且还是收的水费违,mainstream_news,https://k.sina.com.cn/article_1652484947_627eeb5302001q30e.html?from=news&subch=onews,1,low_confidence,human_review_required,0.670,high,low_confidence_cross_source;few_evidence;single_source_type,accept,,,,,,关键主张与证据原文高度一致，违约金指向及宿舍水电公摊说明均有明确出处，情感与理由判断准确，符合接受标准。,annotator_A,adjudicated_final,annotator_A
E007,LLM_CANON_E007_003,广州市物业管理行业协会,引用相关条例指出物业公司不得直接收取违约金且不能私自调整收费标准，并督促涉事物业尽快整改。,negative,协会明确表态物业收费和违约金收取行为违规，并行使行业监督职能督促整改。,SC_E007_003,市物管协会;广州市物业管理协会,True,,ev-00139,业主反映蓝色康园物业方存在多种问题，市物管协会正在督促该小区物业方尽快整改 原本每平方米一块多的物业费，如今涨到了两块多，又看不到新合同，业主们怀疑物业偷偷涨价。前段时间，广州市海珠区赤岗街道蓝色康园小区的业主就碰上这种事情。据业主们反映，该小区的物业公司——广州市瑞丰物业管理有限公司（下称“瑞丰物业”）还存在用公共区域改造成员工宿舍和安全疏忽等多项问题。 近日，记者对该小区展开走访，也向物业公司进行了询问。物业公司回复向新快报记者称，发给部分业主的“违约金”不针对当个月，而是属于上一阶段2、3月份没有及时缴纳所产生的违约金；员工宿舍属于公共用地，水电未纳入业主公摊中。广州市物业管理协会引用相关条例指出，物业不得直接收取违约金，并且不能私自调整收费标准。 业主反映 物业提前收取物业费 还收取业主水费违约金 5月23日，记者来到位于海珠区滨江东路的蓝色康园小区。业主黄先生（化姓）告诉新快报记者，他每月都有按时缴费，此前不存在欠费行为。他提供的收费单显示，瑞丰物业在2025年5月3日发交款通知书时，要求黄先生缴纳2025年5月的物业服务费违约金，同时还要预收5-6月的物业服务费。 业主小敏（化名）也收到了缴费通知，但她打电话向供水公司确认过，并不存在欠缴水费的情况，却被物业要求交水费违约金以及预收5-6月的物业服务费。小敏质疑：“物业是否有权利直接在缴费单上收违约金？而且还是收的水费违,mainstream_news,https://k.sina.com.cn/article_1652484947_627eeb5302001q30e.html?from=news&subch=onews,1,low_confidence,human_review_required,0.670,high,low_confidence_cross_source;few_evidence;single_source_type,accept,,,,,,证据文本明确记载协会引用条例指出物业不得直接收取违约金及私自调价，并督促整改，关键主张、情感倾向与依据均获充分支持，符合接受标准。,annotator_A,adjudicated_final,annotator_A
E009,LLM_CANON_E009_004,小区物业公司,执行移除地下车库内圈占车位的石墩，后续将配合主管部门加强小区停车秩序引导与管理。,neutral,证据显示物业于29日已对地下车库石墩进行移除，并将按住建局要求优化停车秩序管理。,SC_E009_004,物业公司;物业主管,True,,ev-00207,央广网北京4月29日消息（记者张胜坡）4月28日，央广网发布独家报道《私自用水泥墩圈占小区停车位？商品房业主与公租房住户停车位之争背后》，引发关注。 据此前报道，近日，深圳市光明区绿地新都会小区的公租房住户反映，该小区至少上百个车位被同小区的商品房业主圈占，导致公租房住户停车困难。 官方资料显示，绿地新都会小区是光明区2022年第一批次公共租赁住房，供应房源共计408套，已全部租赁完毕。 4月29日，深圳市光明区住房和建设局回应央广网称，小区物业公司29日已对地下车库内的石墩进行移除。接下来，住建局将督促物业公司加强引导，进一步优化小区停车秩序管理。 深圳市光明区住建局相关负责人介绍，绿地新都会小区共1052套住房。小区于2022年7月起陆续入住，现已入住757户，入住率约72%。因小区停车位紧张，商品房住户用石墩将小区地下车库负一楼和负二楼停车区域隔断起来，因而与公租房住户产生纠纷。 对于地面停车场的路障，光明区住建局副局长钟炽东解释，因为此前开发商承诺划拨给商品房业主部分临时车位使用，商品房业主为了保障使用这部分车位，自行设置了路障，“就是一条分界线的意思”。 4月29日，绿地新都会小区商品房业主钟女士证实了该说法。钟女士提供的一份“绿地新都会公馆业主代表座谈会会议备忘”显示，2022年6月30日下午，光明区副区长彭颖组织召开了绿地新都会公馆业主代表座谈会，区住建局、区信访局、,mainstream_news,https://m.sohu.com/a/777771356_121687421/?pvid=000115_3w_a,1,low_confidence,human_review_required,0.670,high,low_confidence_cross_source;few_evidence;single_source_type,accept,,,,,,证据明确记载物业已于29日移除石墩，并将按住建局要求优化停车秩序，候选元组的事实、情感与理由均准确对应，无需修改。,annotator_A,adjudicated_final,annotator_A
E027,LLM_CANON_E027_004,涉事中医诊所/场地出租方,违规将诊室出租给诈骗团伙使用，为“医托”骗局提供场地便利，沦为医疗诈骗帮凶并损害行业公信力。,negative,媒体评论明确指出诈骗团伙连续租用多家诊所诊室实施诈骗，正规诊所的出租行为被批评为助长犯罪、透支医疗信任。,SC_E027_004,指定医馆;正规诊所;出租诊室方,True,,ev-01818,分享到微信X 打开微信，点击底部的“发现”，使用 “扫一扫” 即可将网页分享到我的朋友圈。 中国经济网版权所有 中国经济网新媒体矩阵 网络传播视听节目许可证(0107190) (京ICP040090) 近期，上海公安机关破获了一起“医托”团伙诈骗案，涉及被害人1800余人，涉案金额达700余万元。（7月17日《中国青年报》） 根据媒体披露的相关信息，这个医托团伙队伍庞大、分工明确，游走于多个沪上知名三甲医院。他们先伪装成病友搭讪患者，再将其推荐到特定的中医诊所就诊、开药，借此收取高额提成。但患者可能怎么都没想到，整个过程不仅病友是假扮的、医师是串通好的、药是动过手脚的，甚至连诊室都可能是租的！招牌高挂的正规诊所本是治病救人的地方，岂能将诊室租给医疗骗子，任凭医托骗局压榨患者“钱包”、耽误患者病情。这些诊所沦为医疗诈骗的帮凶，也有损医疗行业的公信力。 据判决，两名主犯均被判处十年以上有期徒刑，结果大快人心，但根治医托犯罪不能只靠秋后算账。正规诊所何以出租诊室？医托连续租用多家诊所的诊室并非短期行为，为何监管机构一直没有察觉？诸多有待追问的细节，暴露出一些医疗机构管理失序、缺乏职业操守，同时也说明监管仍存漏洞。 个别正规诊所、医院成了医托骗局生长的温床，让老百姓如何防范？可见，要想打到医托骗局的“七寸”，必须找到“巢穴”、严加监管，让医托无所“依托”。 （责任编辑：邓浩）,public_web,http://views.ce.cn/view/ent/202407/19/t20240719_39075110.shtml,1,low_confidence,human_review_required,0.670,high,low_confidence_cross_source;few_evidence;single_source_type,accept,,,,,,证据ev-01818明确提及正规诊所出租诊室给医托团伙，媒体评论直接批评该行为使其沦为诈骗帮凶并损害行业公信力。候选元组的主张、情感倾向与理由均获证据充分支持，表述与原文高度一致，无需修订。,annotator_A,adjudicated_final,annotator_A
