event_id,tuple_id,stakeholder,opinion,sentiment,rationale,stakeholder_cluster_id,stakeholder_aliases,canonical_tuple,opinion_split_reason,event_chain,evidence_ids,evidence_texts,evidence_source_types,evidence_urls,evidence_titles,evidence_dates,independent_source_count,confidence_route,required_action,adjudication_priority_score,priority_bucket,priority_reason,review_decision,revised_stakeholder,revised_opinion,revised_sentiment,revised_rationale,revised_evidence_ids,reviewer_note,reviewer_id,adjudication_status,annotator_id
E009,LLM_CANON_E009_003,深圳市相关方面,表示正依法依规处置该事件并核实处理网传信息，后续将督促开发商、物业公司化解停车位使用权相关纠纷。,neutral,证据显示深圳市相关方面正在处置、核实，并将督促开发商和物业公司做好纠纷化解工作；但该证据未明确点名为光明区住建局。,SC_E009_003,深圳市相关方面;相关方面,True,,,ev-00206,"记者6日在采访中了解到,深圳市相关方面正在依法依规对该起事件进行处置,并对网传信息进行核实处理,后续还将针对事件中暴露出的停车位使用权问题,督促开发商、物业公司做好相关纠纷化解工作。",social_media,https://www.toutiao.com/article/7106408237708100100/,,,1,low_confidence,human_review_required,0.970,high,weak_support_label;low_confidence_cross_source;few_evidence;single_source_type,uncertain,,,,,,,annotator_B,independent_review,annotator_B
E012,LLM_CANON_E012_008,媒体评论者王军荣,王军荣引用官渡区通报指出涉事猪肉片被判定为不合格，原因是运输及存储不当导致变质变臭，并关注学校食品安全责任问题。,negative,证据为王军荣的评论文章，转述官方通报中猪肉不合格及变质原因，并围绕学生餐桌安全进行评论。,SC_E012_008,王军荣,True,,,ev-00268,"王军荣 昆明市官渡区人民政府新闻办公室10月19日发布通报称,针对网上反映的昆明市官渡区长丰学校食品安全问题,经过联合调查组调查,该批次鲜猪肉片判定为不合格,原因是运输及存储不当导致变质变臭;学校对食",mainstream_news,https://opinion.voc.com.cn/mobile/news/202410/20914692.html,,,1,low_confidence,human_review_required,0.970,high,weak_support_label;low_confidence_cross_source;few_evidence;single_source_type,uncertain,,,,,,,annotator_B,independent_review,annotator_B
E015,LLM_CANON_E015_004,司法机关,将依法处理犯罪行为。,neutral,证据转述“微观肥乡”通报称司法机关将对犯罪行为依法处理，但文本末尾存在截断。,SC_E015_004,司法机关,True,,,ev-00331,"“微观肥乡”17日发布通报:3月10日,邯郸市肥乡区初一学生王某某被杀害。案件发生后,肥乡区公安机关立即开展侦破工作。3月11日,涉案犯罪嫌疑人被全部抓获,现已依法采取刑事强制措施。司法机关将对犯罪行",official,http://fzsx.gov.cn/sx/fcsh/80475.htm,,,1,low_confidence,human_review_required,0.970,high,weak_support_label;low_confidence_cross_source;few_evidence;single_source_type,uncertain,,,,,,,annotator_B,independent_review,annotator_B
E015,LLM_CANON_E015_006,自媒体博主,在事件传播中存在误导行为，引发网友愤怒。,negative,证据称自媒体博主的误导行为引起网友愤怒，但未具体说明误导内容。,SC_E015_006,自媒体;博主,True,,,ev-00346,"在河北邯郸市肥乡区,一起令人震惊的初中生被害案引发了全国网友的广泛关注。自媒体博主的误导行为引起了网友的愤怒,同时,他们呼吁公正处理并制裁未成年嫌疑人。",social_media,https://www.toutiao.com/article/7347732695205888527/,,,1,low_confidence,human_review_required,0.970,high,weak_support_label;low_confidence_cross_source;few_evidence;single_source_type,uncertain,,,,,,,annotator_B,independent_review,annotator_B
E019,LLM_CANON_E019_003,美吉姆（中国）总部,美吉姆（中国）总部发布声明称仍在积极寻求措施支持加盟中心继续经营，并督促闭店、并店中心处理相关问题。,neutral,新浪财经证据提到2023年12月31日美吉姆（中国）总部发布声明，称积极寻求措施支持加盟中心继续经营，并督促闭店、并店中心后续处理。,SC_E019_003,美吉姆中国总部;美吉姆(中国);美吉姆总部,True,,,ev-00458,"近日,美吉姆北京多家分店被曝关店停业,家长上万元课时费无处可退。2023年12月31日,美吉姆(中国)总部发布声明称,目前美吉姆(中国)仍然积极寻求各种措施支持加盟中心继续经营,并督促闭店、并店的美吉",mainstream_news,https://finance.sina.com.cn/chanjing/wddc/2024-01-04/doc-inaaimzf6347381.shtml,,,1,low_confidence,human_review_required,0.970,high,weak_support_label;low_confidence_cross_source;few_evidence;single_source_type,uncertain,,,,,,,annotator_B,independent_review,annotator_B
E019,LLM_CANON_E019_005,上市公司美吉姆,上市公司美吉姆被常营华联中心称在其请求借款周转救助时，以无法扶持为由拒绝提供支持。,negative,该说法来自常营华联中心的单方表述，证据显示其称多次沟通无果并被上市公司以无法扶持为由拒绝。,SC_E019_005,上市公司美吉姆,True,,,ev-01676,"美吉姆常营华联中心称,鉴于现阶段公司经营中遇到的诸多问题,他们向上市公司美吉姆提出借钱周转进行救助的需求,但多次沟通无果,被上市公司以无法扶持为由拒绝。由于实在无以为继,无法支付房租和员工工资、社保,",mainstream_news,https://sd.china.com/shangye/20000940/20231231/25830498_1.html,,,1,low_confidence,human_review_required,0.970,high,weak_support_label;low_confidence_cross_source;few_evidence;single_source_type,uncertain,,,,,,,annotator_B,independent_review,annotator_B
E028,LLM_CANON_E028_001,福州市紧缺疫苗排队预约系统运营方,上线福州市紧缺疫苗排队预约系统，并将首批服务面向HPV疫苗线上免费预约。,neutral,证据明确报道“福州市紧缺疫苗排队预约系统上线”以及“HPV疫苗线上免费预约”，但证据文本未直接写明运营方为福州疾控。,SC_E028_001,福州疾控;福州市紧缺疫苗排队预约系统;福州市紧缺疫苗排队预约系统上线方,True,,,ev-00664,福州市紧缺疫苗排队预约系统上线 HPV疫苗线上免费预约! 2023-12-20 17:08:41来源:福州新闻网 福州市紧缺疫苗排队预约系统上线!HPV疫苗线上免费预约! 福州新闻网版权与免责声明:1,mainstream_news,https://news.fznews.com.cn/fzxw/20231220/e347r3N0KQ.shtml,,,1,low_confidence,human_review_required,0.970,high,weak_support_label;low_confidence_cross_source;few_evidence;single_source_type,uncertain,,,,,,,annotator_B,independent_review,annotator_B
E044,LLM_CANON_E044_004,爱民区老科协铁北街道分会,提出加强市区共享单车管理的建议，认为共享单车为市民中短途出行提供便利，但投放数量增加后需要加强规范管理。,mixed,证据标题为“关于加强市区共享单车管理的建议”，同时提到共享单车成为绿色便捷新选择、企业入驻后投放数量与日俱增，体现既肯定便利性又主张加强管理。,SC_E044_004,爱民区老科协铁北街道分会,True,,,ev-01126,"关于加强市区共享单车管理的建议 爱民区老科协铁北街道分会 共享单车已成为市民中短途绿色便捷的新选择,随着各类品牌的共享电动自行车企业入驻牡丹江,城区共享单车的投放数量与日俱增,这些车辆在为市民的中短途",public_web,http://www.mlkx.net/show.asp?id=2976,,,1,low_confidence,human_review_required,0.970,high,weak_support_label;low_confidence_cross_source;few_evidence;single_source_type,uncertain,,,,,,,annotator_B,independent_review,annotator_B
E011,LLM_CANON_E011_007,律师,提出学生可以依法主张十倍赔偿。,neutral,证据称有律师发言表示学生可以十倍索赔。,SC_E011_006,有律师,True,,,ev-00246,"6月17日,广受社会关注的“鼠头鸭脖”事件的官方调查结果盖棺定论,据国内权威动物专家专业辨识,该异物为老鼠类啮齿动物头部。在此之后,网友发现此前涉事学校的调查声明已经不见。有律师发言:学生可以十倍索赔",social_media,https://www.163.com/dy/article/I7ESNDE2055616LO.html?spss=dy_author,,,1,low_confidence,human_review_required,0.830,high,low_confidence_cross_source;few_evidence;single_source_type;short_candidate_text,uncertain,,,,,,,annotator_B,independent_review,annotator_B
E039,LLM_CANON_E039_007,网友,通过行车记录仪和视频传播事故现场信息，有网友称发生二次爆炸并提醒围观群众迅速撤离。,negative,证据称燕郊网友的行车记录仪记录爆燃全过程，另有网友发视频称发生二次爆炸并提示围观群众撤离。,SC_E039_007,燕郊网友;发视频网友,True,,,ev-00976,"3月13日7时54分,一燕郊网友的行车记录仪记录下了爆燃事故的全程。三河市应急管理局通报,爆燃事故疑似燃气泄漏引发。有网友发视频称发生二次爆炸,请围观群众迅速撤离!",mainstream_news,https://www.sohu.com/a/763881410_698473,,,1,low_confidence,human_review_required,0.830,high,low_confidence_cross_source;few_evidence;single_source_type;short_candidate_text,uncertain,,,,,,,annotator_B,independent_review,annotator_B
